663099c1319e683393788b187065df4681a4d317467aae8d037ca648ef312cf9,a5df53e1bfd9983594614dbf25d275aaf23b7d4f980f1543fc5080648bcca976,87f512f521935a7714db16449fa6d5af3ac552f4f21f84afb3bf8a210fdf9765,77973ee788f0d07008442e3576e71d435569e919fbfe78af201786a12aebe9b4,bcdee6ba7cc669e244f314974a3f494ce871f8f439f60ae48e0b88c6323972b1,3bb79b6a0c0bb37d76f763cb18b60134256560daa865e3184a9c650785d92533,37fd5f57b7ba695ce4c7710c5bfa88b0c814f201dcab1051ca752d11698efbf6,87f22c4f83eb306fdd9f3d5d25ebd02d2af8c41c722a128308d3fa4bec7db0e1,77256439dd3625a29c5fad4815b65db8ab6a12b53179654f5dbc0b7ba5a68b0c,a644dcb878c3fd002c1cdb1a62ed511fb266ad88a7f1cbe964708b166d07b7dc,0ab553debb5df258cab8b0acf7b252539aa0f835c847895ab8ddaf09414471d2,e6fb838b8840c675e3e376c70568c8098d5159e44735e11d45e2391ed0ceeab3,54dc62b122da45362985f41887b07e3cecd01a5371910845449a6843495fda09
"0","1","vo_minigame_1012_correct_107","8","1","1201","11120101","0","0","8","這樣子就好！","0","0"
"0","1","vo_minigame_1012_correct_108","8","1","1201","11120102","0","0","8","嗯，OK！","0","0"
"0","1","vo_minigame_1012_correct_109","1","1","1201","11120103","0","0","1","狀況不錯喔！","0","0"
"0","1","vo_minigame_1012_correct_115","1","1","1202","11120201","0","-1","1","慢慢來沒關係！","13333","0"
"0","1","vo_minigame_1012_correct_117","9","1","1202","11120202","0","-1","9","答對就可以了！","13333","0"
"0","1","vo_minigame_1012_correct_118","1","1","1203","11120301","0","0","1","好厲害喔！","0","0"
"0.01","1","vo_minigame_1012_correct_119","5","1","1203","11120302","0","0","5","你知道這個啊！？","0","8"
"0","1","vo_minigame_1012_correct_125","1","1","1204","11120401","0","0","1","看來沒問題吧！","0","0"
"0.01","1","vo_minigame_1012_correct_123","7","1","1205","11120501","0","0","7","複習得很完美呢！","0","4"
"0","1","vo_minigame_1012_correct_128","8","1","1206","11120601","0","-1","8","連續答對了！","3","0"
