d35565ce076441ae07d31057df9c9fc4fead6bef8375b589b40f0791023e1b65,d0884ccd667cd175a14c856cf555edec7717fdd07acfdcff5204ac2ceac59eed,24344e533073ec9257b2d1650e4b7414fdc50f96ffc95cdf6669078be2018611,51f08f4ba899e76b27627aece095e4e3a01ad5ed51b70d4f263bd3a107f8fded
"20","1","20","2"
"30","1","30","3"
"80","2","50","3"
"160","3","80","3"
"60","1","60","4"
"160","2","100","4"
"340","3","180","4"
"700","4","360","4"
"1200","5","500","4"
"100","1","100","5"
"260","2","160","5"
"540","3","280","5"
"1020","4","480","5"
"1800","5","780","5"
"100","1","100","6"
"260","2","160","6"
"540","3","280","6"
"1020","4","480","6"
"1800","5","780","6"
"100","1","100","7"
"260","2","160","7"
"540","3","280","7"
"1020","4","480","7"
"1800","5","780","7"
"100","1","100","8"
"260","2","160","8"
"540","3","280","8"
"1020","4","480","8"
"1800","5","780","8"
"100","1","100","9"
"260","2","160","9"
"540","3","280","9"
"1020","4","480","9"
"1800","5","780","9"
"100","1","100","10"
"260","2","160","10"
"540","3","280","10"
"1020","4","480","10"
"1800","5","780","10"
