19babfaa311a6b1bc38878d70e00418dded01bddc331bc442d5c49f0e16f951f,61bbcd8f08bafe370852f3c2bb0d21d160422c8aa9c61830151a3ee564170131,83aa098369e39a8e554ddec6f17a24b146e7ea8b8a88404fa0de53d8e5c35f5c,35f1ed81741988a8eda92299aec22a4e98f1111114161044eabab2169ae7096c,8cd71933c91cf1a0ab85e4fb8dd7af8840282e35d3f3f5a83ccce3effa21f69b,3b12dece0c44ca17fd482409a11e4cfa394b3d98875283c35e502a8954e4b9ac,fd5fbe201655a77d1fa91e24a73d9fa5ad9549cde64a491ef6c943090910035a,973f0a46d2d38b45ef831ce12e9fa719c8ed849f86b73f9203b892e5b0267ed5,daa0cdff2d246839883b7ea164bb66d29ed8d3d06c2fcc26bcc4085fefa4aaed,1eaa7cc0a501460011eed0f041363ac4c9cd27658123087ab8f4bd79b7a198d9,e1d87b1e7c510e889409ca7fee98fa3d384c6d8b7d5a7bdbe8a97fbdfe08295b,7a93b55ec88b33a45876ab27762ed28e72bfc642c34d73c89da0f31aa78ac74a,5b488efc5227bc7d17b0aa45a5b6a5d41f20ed9c3816a1cea92948c2d124790f
"0","0","這樣子就好！","8","1","0","vo_minigame_1012_correct_107","0","11120101","1201","1","8","0"
"0","0","嗯，OK！","8","1","0","vo_minigame_1012_correct_108","0","11120102","1201","1","8","0"
"0","0","狀況不錯喔！","1","1","0","vo_minigame_1012_correct_109","0","11120103","1201","1","1","0"
"-1","13333","慢慢來沒關係！","1","1","0","vo_minigame_1012_correct_115","0","11120201","1202","1","1","0"
"-1","13333","答對就可以了！","9","1","0","vo_minigame_1012_correct_117","0","11120202","1202","1","9","0"
"0","0","好厲害喔！","1","1","0","vo_minigame_1012_correct_118","0","11120301","1203","1","1","0"
"0","0","你知道這個啊！？","5","1","0","vo_minigame_1012_correct_119","8","11120302","1203","1","5","0.01"
"0","0","看來沒問題吧！","1","1","0","vo_minigame_1012_correct_125","0","11120401","1204","1","1","0"
"0","0","複習得很完美呢！","7","1","0","vo_minigame_1012_correct_123","4","11120501","1205","1","7","0.01"
"-1","3","連續答對了！","8","1","0","vo_minigame_1012_correct_128","0","11120601","1206","1","8","0"
"-1","3","挽回劣勢！","2","1","0","vo_minigame_1012_correct_131","0","11120701","1207","1","2","0"
"0","0","重整心情！","2","1","0","vo_minigame_1012_incorrect_107","0","11130101","1301","1","2","0"
"0","0","也會有這種事啊！","9","1","0","vo_minigame_1012_incorrect_108","0","11130102","1301","1","9","0"
"0","0","那樣子不行喔！","4","1","0","vo_minigame_1012_incorrect_109","0","11130103","1301","1","4","0"
"-1","20000","時間到了！","4","1","0","vo_minigame_1012_incorrect_116","0","11130201","1302","1","4","0"
"-1","20000","不是，你回答啊！","5","1","0","vo_minigame_1012_incorrect_117","0","11130202","1302","1","5","0"
"0","0","好難啊……","3","1","0","vo_minigame_1012_incorrect_118","6","11130301","1303","1","3","0.01"
"0","0","難度真高……","4","1","0","vo_minigame_1012_incorrect_119","0","11130302","1303","1","4","0"
"0","0","不能忘記喔！","2","1","0","vo_minigame_1012_incorrect_123","0","11130401","1304","1","2","0"
"0","0","不是全錯呢！","1","1","0","vo_minigame_1012_incorrect_126","0","11130501","1305","1","1","0"
"10","10","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","8","1","1","vo_minigame_1012_result_1000","4","11300101","3001","1","7","3.18"
"10","10","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","7","1","1","vo_minigame_1012_result_1001","10","11300102","3001","1","8","3.33"
"10","10","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","1","1","1","vo_minigame_1012_result_1002","10","11300103","3001","1","8","5.41"
"10","10","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","8","1","2","vo_minigame_1012_result_1003","10","11300104","3001","1","5","8.11"
"10","10","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","5","1","2","vo_minigame_1012_result_1004","0","11300105","3001","1","10","1.31"
"10","10","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","8","1","2","vo_minigame_1012_result_1005","0","11300106","3001","1","9","4.93"
"10","10","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","8","1","3","vo_minigame_1012_result_1006","4","11300107","3001","1","5","2.99"
"10","10","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","7","1","3","vo_minigame_1012_result_1007","4","11300108","3001","1","8","8.37"
"10","10","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","5","1","3","vo_minigame_1012_result_1008","8","11300109","3001","1","7","5.32"
"9","7","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","1","1","1","vo_minigame_1012_result_1009","4","11300110","3001","1","7","4.77"
"9","7","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","7","1","1","vo_minigame_1012_result_1010","4","11300111","3001","1","8","2.97"
"9","7","啊～好可惜！\n差一點就滿分了！\n下次一定可以很完美的！\n加油吧！","1","1","1","vo_minigame_1012_result_1011","0","11300112","3001","1","5","3.47"
"9","7","好厲害，你答對了很多喔！\n題目這麼難，你很行嘛！\n之後就以滿分為目標吧！","7","1","2","vo_minigame_1012_result_1012","4","11300113","3001","1","8","5.32"
"9","7","嗯，很不錯喔！\n看來完～全不用擔心你會不及格呢♪\n但還是不會讓你停止學習的！","7","1","2","vo_minigame_1012_result_1013","10","11300114","3001","1","8","6.49"
"9","7","啊～\n只差一點點就能全部答對的說！\n雖然題目很難但你沒問題的，\n下次可以以滿分為目標！","1","1","2","vo_minigame_1012_result_1014","0","11300115","3001","1","5","3.56"
"9","7","嗯，幾乎都答對囉！\n裡面這麼多困難的題目，\n你很厲害嘛！\n你果然不是個普通人！","1","1","3","vo_minigame_1012_result_1015","10","11300116","3001","1","8","5.67"
"9","7","感覺你很紮實地在進步嘛？\n如果是你的話，即使面對難題，\n總有一天搞不好也能拿滿分…………！","1","1","3","vo_minigame_1012_result_1016","10","11300117","3001","1","7","2.85"
"9","7","哇啊～好可惜！\n差一點就滿分了！\n不過連我也有不會的難題，\n你拿這個分數已經可以抬頭挺胸了！","1","1","3","vo_minigame_1012_result_1017","0","11300118","3001","1","5","3.88"
"6","4","答對率一半左右啊～\n是不差啦，\n不過是你的話，應該不只這樣吧？","1","1","1","vo_minigame_1012_result_1018","0","11300119","3001","1","3","4.12"
"6","4","嗯～我就老實說了，\n這分數很不上不下呢……\n不過沒關係！\n接下來要咻咻咻地提高分數喔！","1","1","1","vo_minigame_1012_result_1019","0","11300120","3001","1","9","4.34"
"6","4","嗯～老實說這分數有點讓人不滿意呢！\n我對你抱有很大的期待，\n再更加油一些吧！","1","1","1","vo_minigame_1012_result_1020","0","11300121","3001","1","3","3.15"
"6","4","答對率一半左右啊……\n題目很難所以也沒辦法呢……\n不過你一定能更進步的！\n因為有我陪著你！","1","1","2","vo_minigame_1012_result_1021","0","11300122","3001","1","9","5.3"
"6","4","嗯，答得還行嘛！\n繼續努力學習，\n以更高的分數為目標吧！","1","1","2","vo_minigame_1012_result_1022","0","11300123","3001","1","8","2.55"
