e8b7510fad60a1bcfad2c0ce2e60c0d1df8f5cbb8273ab7c69771c3913a405e4,be199bbf1f893722cf28e93e89076207c64ebba7c208d7ec51b9480e8e9a29a4,59341552dd1089a0b5504bb18b15252724359031fcb07122988eafa493ca5fa4,9904ab526652af5048ae4edd5e0d5f524764e9a7e23a51b0eff48e015dbdac81,6be2dadff7bf786222ca6a1e2acd68dab62a0c64a3d4e8e3e595acbe926a1440
"3001","803100201","1","0","3"
"3001","803100202","2","0","3"
"3001","803100203","3","0","3"
"3002","803100204","1","0","3"
"3002","803100205","2","0","3"
"3002","803100206","3","0","3"
"3003","803100207","1","0","3"
"3003","803100208","2","0","3"
"3003","803100209","3","0","3"
"3004","803100210","1","0","3"
"3004","803100211","2","0","3"
"3004","803100212","3","0","3"
"3005","803100213","1","0","3"
"3005","803100214","2","0","3"
"3005","803100215","3","0","3"
"3006","803100216","1","0","3"
"3006","803100217","2","0","3"
"3006","803100218","3","0","3"
"3007","803100219","1","0","3"
"3007","803100220","2","0","3"
"3007","803100221","3","0","3"
