9983e0a669e94aa0838e91a4a133e4ff47f4c491210633f8c593d370010fd394,93c19cec02a724b2e2361ccfaabd1c1de298de5a85b8276d20af4374ed557d72,c33ccda94f4890e75d745fb371cc27d875ae7546d2ab308d09601aae02f6ff71,ff9cb923a72313303a34f0203cf504feea610851feb679057f7d080a47e66f17,23d6d0bd4d1724c9ebffbca11af12144e70abb5f81d90c11fa60b6a0750f4c5c,b5d57949c6a7825289edc4d1419df35bf998bdca8cb9bd44678cbad753a93c1c,0831dfeeb86191558ebd0401f4c7249ea7660dccd48301485e69f04469d40807,84ed99e2cc009e8a7005e46ba3f6692c8520b45b60198045fc3ac55dd976f86f,09208b611987e33194a7bd0a4b856ba91e9fae1ace12e48b7c641110bbd24e82
"10000","90001","0","1","10","90043","12000","1","30000"
"10000","90002","0","2","20","90047","24000","2","30000"
"10000","90002","0","3","20","90047","24000","3","30000"
"10000","90002","0","4","20","90047","24000","4","30000"
"10000","90002","0","5","20","90047","24000","5","30000"
"10000","90002","0","6","20","90047","24000","6","30000"
"10000","90002","0","7","20","90047","24000","7","30000"
"10000","90002","0","8","20","90047","24000","8","30000"
"10000","90002","0","9","20","90047","24000","9","30000"
"10000","90002","0","10","20","90047","24000","10","30000"
"10000","90003","90011","11","40","90051","48000","11","30000"
"10000","90003","90011","12","40","90051","48000","12","30000"
"10000","90003","90011","13","40","90051","48000","13","30000"
"10000","90003","90011","14","40","90051","48000","14","30000"
"10000","90003","90011","15","40","90051","48000","15","30000"
"10000","90003","90011","16","40","90051","48000","16","30000"
"10000","90003","90011","17","40","90051","48000","17","30000"
"10000","90003","90011","18","40","90051","48000","18","30000"
"10000","90003","90011","19","40","90051","48000","19","30000"
"10000","90003","90011","20","40","90051","48000","20","30000"
"10000","90004","90015","21","60","90055","72000","21","30000"
"10000","90004","90015","22","60","90055","72000","22","30000"
"10000","90004","90015","23","60","90055","72000","23","30000"
"10000","90004","90015","24","60","90055","72000","24","30000"
"10000","90004","90015","25","60","90055","72000","25","30000"
"10000","90004","90015","26","60","90055","72000","26","30000"
"10000","90004","90015","27","60","90055","72000","27","30000"
"10000","90004","90015","28","60","90055","72000","28","30000"
"10000","90004","90015","29","60","90055","72000","29","30000"
"10000","90004","90015","30","60","90055","72000","30","30000"
"10000","90005","90015","31","80","90059","96000","31","30000"
"10000","90005","90015","32","80","90059","96000","32","30000"
"10000","90005","90015","33","80","90059","96000","33","30000"
"10000","90005","90015","34","80","90059","96000","34","30000"
"10000","90005","90015","35","80","90059","96000","35","30000"
"10000","90005","90015","36","80","90059","96000","36","30000"
"10000","90005","90015","37","80","90059","96000","37","30000"
"10000","90005","90015","38","80","90059","96000","38","30000"
"10000","90005","90015","39","80","90059","96000","39","30000"
"10000","90005","90015","40","80","90059","96000","40","30000"
"10000","90005","90017","41","120","90063","144000","41","30000"
"10000","90005","90017","42","120","90063","144000","42","30000"
"10000","90005","90017","43","120","90063","144000","43","30000"
"10000","90005","90017","44","120","90063","144000","44","30000"
"10000","90005","90017","45","120","90063","144000","45","30000"
"10000","90005","90017","46","120","90063","144000","46","30000"
"10000","90005","90017","47","120","90063","144000","47","30000"
"10000","90005","90017","48","120","90063","144000","48","30000"
"10000","90005","90017","49","120","90063","144000","49","30000"
"10000","90005","90017","50","120","90063","144000","50","30000"
"10000","90006","90019","51","150","90067","180000","51","30000"
"10000","90006","90019","52","150","90067","180000","52","30000"
"10000","90006","90019","53","150","90067","180000","53","30000"
"10000","90006","90019","54","150","90067","180000","54","30000"
"10000","90006","90019","55","150","90067","180000","55","30000"
"10000","90006","90019","56","150","90067","180000","56","30000"
"10000","90006","90019","57","150","90067","180000","57","30000"
"10000","90006","90019","58","150","90067","180000","58","30000"
"10000","90006","90019","59","150","90067","180000","59","30000"
"10000","90006","90019","60","150","90067","180000","60","30000"
"10000","90007","90021","61","180","90071","216000","61","30000"
"10000","90007","90021","62","180","90071","216000","62","30000"
"10000","90007","90021","63","180","90071","216000","63","30000"
"10000","90007","90021","64","180","90071","216000","64","30000"
"10000","90007","90021","65","180","90071","216000","65","30000"
"10000","90007","90021","66","180","90071","216000","66","30000"
"10000","90007","90021","67","180","90071","216000","67","30000"
"10000","90007","90021","68","180","90071","216000","68","30000"
"10000","90007","90021","69","180","90071","216000","69","30000"
"10000","90007","90021","70","180","90071","216000","70","30000"
