f57accfa0ee3e4886d14d7e43e953c75aadbd1b65534a8e6f702ef5b3e51a19a,199f8d9433f9c92e6c5580fba2292de24766d15bd846e1e034150b185aa4987f,c36ca912762279d73f98e160c4567a826755c5104a98e7b9757103342e5efbd2,34f1811a73273f2e52b52871cce20a8508ae2028ebf355ceced518d666f13171,baffa702abedbbb93d6b1f5cd9f283aa596b4137ad2035ab435d3c01be891171,a0a3ef425a1fca3f67d151fed343b1fa1a86752595e6639a38843b22ea3318f3,b1777a9b7e3d3c3321674e0d047d0ca72fa4529e1c3dbbbccde4d664091bea4c,e78caeec0747336f4a8ab767684f596ac2691b723ed5d00526c31ecd3b31c957
"1","760100011","376010001","2025/02/15 16:00:00","76010001","90","276010001","1"
"1","760100021","376010002","2025/02/15 16:00:00","76010002","90","276010002","2"
"1","760100031","376010003","2025/02/15 16:00:00","76010003","90","276010003","3"
"1","760100041","376010004","2025/02/15 16:00:00","76010004","90","276010004","4"
"1","760100051","376010005","2025/02/15 16:00:00","76010005","90","276010005","5"
"1","760100061","376010006","2026/02/15 16:00:00","76010006","90","276010006","6"
"1","760100071","376010007","2026/02/15 16:00:00","76010007","90","276010007","7"
"1","760100081","376010008","2026/02/15 16:00:00","76010008","90","276010008","8"
"1","760100091","376010009","2026/02/15 16:00:00","76010009","90","276010009","9"
"1","760100101","376010010","2026/02/15 16:00:00","76010010","90","276010010","10"
"2","760200011","376020001","2025/02/15 16:00:00","76020001","90","276020001","1"
"2","760200021","376020002","2025/02/15 16:00:00","76020002","90","276020002","2"
"2","760200031","376020003","2025/02/15 16:00:00","76020003","90","276020003","3"
"2","760200041","376020004","2025/02/15 16:00:00","76020004","90","276020004","4"
"2","760200051","376020005","2025/02/15 16:00:00","76020005","90","276020005","5"
"2","760200061","376020006","2026/02/15 16:00:00","76020006","90","276020006","6"
"2","760200071","376020007","2026/02/15 16:00:00","76020007","90","276020007","7"
"2","760200081","376020008","2026/02/15 16:00:00","76020008","90","276020008","8"
"2","760200091","376020009","2026/02/15 16:00:00","76020009","90","276020009","9"
"2","760200101","376020010","2026/02/15 16:00:00","76020010","90","276020010","10"
"3","760300011","376030001","2025/12/15 16:00:00","76030001","90","276030001","1"
"3","760300021","376030002","2025/12/15 16:00:00","76030002","90","276030002","2"
"3","760300031","376030003","2025/12/15 16:00:00","76030003","90","276030003","3"
"3","760300041","376030004","2025/12/15 16:00:00","76030004","90","276030004","4"
"3","760300051","376030005","2025/12/15 16:00:00","76030005","90","276030005","5"
