2c311ff09f1f38ff6e167fe254b32609a39952f9284e13037bf05202be1ae5e9,fa185cec578f62254e751f67857a92f8687bea0876095bbd2e5ffd66fd89ab08,6cb6a5cb1cda0f867cf2e2c57cf83112f7e4f35a06bfa3e374e7fd249ba655e3,6cf1697856e51e148ad3210e05f64b49ec1a0308b546c7b45366eb832cd5ba8b,a66412761b0733a88b5fde8399ab2cd49e85a55c64823528a01a754a8f570f42,85c4c6e1a0898f9dabea60b519b4c066e4a996f4af13627af173fe3f0818ad2f,0956dea8fe0ce6fcf4aa9985c07cf5bd983da4af1cc51d64d3b2588806e2db93,fe22e630573907ee6278d8cf58e183bf832e5cf5e97ef1d2e3ee358f112d88f6
"2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：大）","短時間內，展開障礙物護盾！","3","0","0","101"
"3","0","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","中時間內，小幅度提升速度與跳躍力！","5","5","5","102"
"1","0","短時間內，中幅度提升速度　　　　（TP上升率：中）","短時間內，中幅度提升速度！","4","0","6","103"
"2001","0","中時間內，展開障礙物護盾　　　　（TP上升率：小）","中時間內，展開障礙物護盾！","5","0","0","104"
"1","0","中時間內，小幅度提升速度　　　　（TP上升率：小）","中時間內，小幅度提升速度！","6","0","3","105"
"1001","0","中時間內，對戰對手小幅度減速　　（TP上升率：大）","中時間內，對戰對手小幅度減速！","6","0","4","106"
"3","0","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","中時間內，特大幅度提升速度與跳躍力！","5","16","17","107"
"1","0","回合內，中幅度提升速度　　　　　（TP上升率：小）","回合內，中幅度提升速度！","40","0","8","108"
"1","0","短時間內，特大幅度提升速度　　　（TP上升率：特小）","短時間內，特大幅度提升速度！","4","0","30","109"
"1001","0","回合內，對戰對手中幅度減速　　　（TP上升率：小）","回合內，對戰對手大幅度減速！","40","0","10","110"
"2001","0","極短時間內，展開障礙物護盾　　　（TP上升率：大）","極短時間內，展開障礙物護盾！","1","0","0","111"
"1004","0","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","短時間內，最前方對戰對手大幅度減速！","4","0","15","112"
"1","0","中時間內，小幅度提升速度　　　　（TP上升率：大）","中時間內，小幅度提升速度！","6","0","5","113"
"2","0","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","中時間內，小幅度提升跳躍力！","5","0","5","114"
"2002","0","長時間內，以護盾防止能力降低　　（TP上升率：特大）","長時間內，以護盾防止能力降低！","7","0","0","115"
"1","0","累積時，小幅度提升速度　　　　　（TP上升率：特大）","累積時，小幅度提升速度！","25","0","3","116"
"1001","0","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","25","0","3","117"
"3","0","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","長時間內，特大幅度提升速度與跳躍力！","7","20","30","118"
"1004","0","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","短時間內，最前方對戰對手大幅度減速！","4","0","15","119"
"2002","0","長時間內，以護盾防止能力降低　　（TP上升率：大）","長時間內，以護盾防止能力降低！","7","0","0","120"
"2","0","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","長時間內，特大幅度提升跳躍力！","12","0","30","121"
"1004","0","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","累積時，最前方的對戰對手大幅度減速！","30","0","15","122"
"4","8","短時間大幅度加速後，減速　　　　（TP上升率：大）","短時間大幅度加速後，極短時間減速！","4","2","11","123"
"1","0","長時間內，中幅度提升速度　　　　（TP上升率：大）","長時間內，中幅度提升速度！","8","0","9","124"
"2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：中）","短時間內，展開障礙物護盾！","4","0","0","125"
"1001","0","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","累積時，對戰對手小幅度減速！","30","0","3","126"
"1","0","長時間內，特大幅度提升速度　　　（TP上升率：特小）","長時間內，特大幅度提升速度！","10","0","22","127"
"2","0","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","中時間內，特大幅度提升跳躍力！","4","0","30","128"
"1001","0","短時間內，對戰對手特大幅度減速　（TP上升率：大）","短時間內，對戰對手特大幅度減速！","3","0","20","129"
"1","0","短時間內，特大幅度提升速度　　　（TP上升率：大）","短時間內，特大幅度提升速度！","4","0","30","130"
