16a363e2668d23508f504e9b5c49847551bd10460550b48b9e8fa3658718abe3,7054ae07499b368f93aceac1829039bf58c55fbbc3641546c4929db9ca9c5c75,4731fdc1f4b961c4ee27bd89c4e6ea2cfe72fcba95566c717587f86a1c61f2af,11a8561500b82c0327ac893334a7e8f78c5dc08e22ea198ac11fab09713fe1f9,cdf1f69b6096871acff121de4586523611dbdda8fb76bd99b36f48643d478efb,ac1e7c435dad87d389fd4c680d16fcdbfa411334161ade301584596eb8a6afcb,ace5c283107f49db4213b7ef7ccd0c0f5cd6d7d26991a87144cb8ff90414ae1f,cd08444b107eac188c4e9e5dcf971f18ef3598e2d25e8881ed1e3b4eb4a5add9,1cac1c491ceaae70c9547242626e24e7baa20736696083016093b39cf1539c8d
"1","100101","3","1001","3","累積獲得3個★","100000001","0","4101"
"2","100102","6","1001","6","累積獲得6個★","100000002","0","4101"
"3","100103","9","1001","9","累積獲得9個★","100000003","1","4101"
"4","100104","12","1001","12","累積獲得12個★","100000004","0","4101"
"5","100105","15","1001","15","累積獲得15個★","100000005","0","4101"
"6","100106","18","1001","18","累積獲得18個★","100000006","0","4101"
"7","100107","21","1001","21","累積獲得21個★","100000007","1","4101"
"8","100108","24","1001","24","累積獲得24個★","100000008","0","4101"
"9","100109","27","1001","27","累積獲得27個★","100000009","1","4101"
"10","100110","30","1001","30","累積獲得30個★","100000010","0","4101"
"11","100111","33","1001","33","累積獲得33個★","100000011","0","4101"
"12","100112","36","1001","36","累積獲得36個★","100000012","1","4101"
"13","100113","39","1001","39","累積獲得39個★","100000013","0","4101"
"14","100114","42","1001","42","累積獲得42個★","100000014","0","4101"
"15","100115","45","1001","45","累積獲得45個★","100000015","1","4101"
"16","100116","48","1001","48","累積獲得48個★","100000016","0","4101"
"17","100117","51","1001","51","累積獲得51個★","100000017","1","4101"
"18","100118","54","1001","54","累積獲得54個★","100000018","0","4101"
"1","100201","3","1002","3","累積獲得3個★","100200001","0","4101"
"2","100202","6","1002","6","累積獲得6個★","100200002","0","4101"
"3","100203","9","1002","9","累積獲得9個★","100200003","1","4101"
"4","100204","12","1002","12","累積獲得12個★","100200004","0","4101"
"5","100205","15","1002","15","累積獲得15個★","100200005","0","4101"
"6","100206","18","1002","18","累積獲得18個★","100200006","0","4101"
"7","100207","21","1002","21","累積獲得21個★","100200007","1","4101"
"8","100208","24","1002","24","累積獲得24個★","100200008","0","4101"
"9","100209","27","1002","27","累積獲得27個★","100200009","1","4101"
"10","100210","30","1002","30","累積獲得30個★","100200010","0","4101"
"11","100211","33","1002","33","累積獲得33個★","100200011","0","4101"
"12","100212","36","1002","36","累積獲得36個★","100200012","1","4101"
"13","100213","39","1002","39","累積獲得39個★","100200013","0","4101"
"14","100214","42","1002","42","累積獲得42個★","100200014","0","4101"
"15","100215","45","1002","45","累積獲得45個★","100200015","1","4101"
"16","100216","48","1002","48","累積獲得48個★","100200016","0","4101"
"17","100217","51","1002","51","累積獲得51個★","100200017","1","4101"
"18","100218","54","1002","54","累積獲得54個★","100200018","0","4101"
"1","100301","3","1003","3","累積獲得3個★","100300001","0","4101"
"2","100302","6","1003","6","累積獲得6個★","100300002","0","4101"
"3","100303","9","1003","9","累積獲得9個★","100300003","1","4101"
"4","100304","12","1003","12","累積獲得12個★","100300004","0","4101"
"5","100305","15","1003","15","累積獲得15個★","100300005","0","4101"
"6","100306","18","1003","18","累積獲得18個★","100300006","0","4101"
"7","100307","21","1003","21","累積獲得21個★","100300007","1","4101"
"8","100308","24","1003","24","累積獲得24個★","100300008","0","4101"
"9","100309","27","1003","27","累積獲得27個★","100300009","1","4101"
"10","100310","30","1003","30","累積獲得30個★","100300010","0","4101"
"11","100311","33","1003","33","累積獲得33個★","100300011","0","4101"
"12","100312","36","1003","36","累積獲得36個★","100300012","1","4101"
"13","100313","39","1003","39","累積獲得39個★","100300013","0","4101"
"14","100314","42","1003","42","累積獲得42個★","100300014","0","4101"
"15","100315","45","1003","45","累積獲得45個★","100300015","1","4101"
"16","100316","48","1003","48","累積獲得48個★","100300016","0","4101"
"17","100317","51","1003","51","累積獲得51個★","100300017","1","4101"
"18","100318","54","1003","54","累積獲得54個★","100300018","0","4101"
"1","100401","3","1004","3","累積獲得3個★","100400001","0","4101"
"2","100402","6","1004","6","累積獲得6個★","100400002","0","4101"
"3","100403","9","1004","9","累積獲得9個★","100400003","1","4101"
"4","100404","12","1004","12","累積獲得12個★","100400004","0","4101"
"5","100405","15","1004","15","累積獲得15個★","100400005","0","4101"
"6","100406","18","1004","18","累積獲得18個★","100400006","0","4101"
"7","100407","21","1004","21","累積獲得21個★","100400007","1","4101"
"8","100408","24","1004","24","累積獲得24個★","100400008","0","4101"
"9","100409","27","1004","27","累積獲得27個★","100400009","1","4101"
"10","100410","30","1004","30","累積獲得30個★","100400010","0","4101"
"11","100411","33","1004","33","累積獲得33個★","100400011","0","4101"
"12","100412","36","1004","36","累積獲得36個★","100400012","1","4101"
"13","100413","39","1004","39","累積獲得39個★","100400013","0","4101"
"14","100414","42","1004","42","累積獲得42個★","100400014","0","4101"
"15","100415","45","1004","45","累積獲得45個★","100400015","1","4101"
"16","100416","48","1004","48","累積獲得48個★","100400016","0","4101"
"17","100417","51","1004","51","累積獲得51個★","100400017","1","4101"
"18","100418","54","1004","54","累積獲得54個★","100400018","0","4101"
"1","100501","3","1005","3","累積獲得3個★","100500001","0","4101"
"2","100502","6","1005","6","累積獲得6個★","100500002","0","4101"
"3","100503","9","1005","9","累積獲得9個★","100500003","1","4101"
"4","100504","12","1005","12","累積獲得12個★","100500004","0","4101"
"5","100505","15","1005","15","累積獲得15個★","100500005","0","4101"
"6","100506","18","1005","18","累積獲得18個★","100500006","0","4101"
