fc9953322ac697e231cac7c8d3d8344bd78764891581307d4a0fc82752854e3e,5b7472b6d67d7abddecbd4198c63ea2dc212528f76a81a4a74d377557b76299a,fefce575f2dc3951b55c6f64c0a44cd785136de5218d3d2d852408f105dcf5a0,3478e5c9464eaed2945ff82b7fcb3677b3678bd1ca9311e48e111603b6577589,c261b897ffb119b200b462a1b8c9d2200d7b75ba744d0b231079833fdcdad4a6,e2a9229143d96c8c56ee724326bcef59e3640dd35135b5bcad2ad4db77bc7084,f3594e8e7ea2b5fcafb7b41ca644b60ca71c1c325ed3416500559ff9a4b76da4,9642b0cd194aa28bc6bf0ff152d9d203371218228cc4d28e69a50c967dd60f03,d59ad9d078cf609147fbeab5eeddc7add911ee70c94aa81edad55d422a5ea171,40e7c2f101af3327311bdc4d6db9a7c67fb49749d2a952657d37a37b3772040b,7de597fd9b18f3493e7312ba3b9650b04b108a5e5b9facfb5a6b7c4958f31059
"","0","1001","","","se_travel_finish_assemble","","se_travel","","23","1010010001"
"-160","1","1001","-275","0","1000001","1.46","1","travel_exdrama_r_100_run","1","1010010002"
"-200","2","1001","-575","0","1000002","1.46","1","travel_exdrama_r_100_run","1","1010010003"
"-250","3","1001","-750","0","1000003","1.46","1","travel_exdrama_r_100_run","1","1010010004"
"-175","4","1001","575","1","1000004","1.46","1","travel_exdrama_r_100_run","1","1010010005"
"-250","5","1001","750","1","1000005","1.46","1","travel_exdrama_r_100_run","1","1010010006"
"0","-160","1001","1","","-100","","1000001","","2","1010010007"
"0","-200","1001","1","","-275","","1000002","","2","1010010008"
"0","-250","1001","1","","-450","","1000003","","2","1010010009"
"0","-175","1001","1","","275","","1000004","","2","1010010010"
"0","-250","1001","1","","450","","1000005","","2","1010010011"
"0","0","1001","0","","0","","1","","93","1010010012"
"0","0","1001","","0","travel_exdrama_r_100_raiseup","0.2","1000001","","3","1010010013"
"0","1","1001","","0","travel_exdrama_r_100_idle","0","1000002","","3","1010010014"
"0","1","1001","","0","travel_exdrama_r_100_idle","0","1000003","","3","1010010015"
"0","1","1001","","0","travel_exdrama_r_100_idle","0","1000004","","3","1010010016"
"0","1","1001","","0","travel_exdrama_r_100_idle","0","1000005","","3","1010010017"
"-160","11","1001","-100","0","1","1.46","1","travel_exdrama_r_100_raiseup","5","1010010018"
"","","1001","","","0","","1","","93","1010010019"
"0","","1001","","","","0.12","1000001","","6","1010010020"
"0","","1001","","","","0.12","1000002","","6","1010010021"
"0","","1001","","","","0.12","1000003","","6","1010010022"
"0","","1001","","","","0.12","1000004","","6","1010010023"
"0","","1001","","","","0.12","1000005","","6","1010010024"
"0","","1001","","","","0.12","1","","6","1010010025"
"","","1001","","","0","","0.12","","93","1010010026"
"","","1001","","","","","0","","91","1010010027"
"","0","1002","","","se_travel_finish_assemble","","se_travel","","23","1010020001"
"-160","1","1002","-275","0","1000001","1.46","1","travel_exdrama_r_100_run","1","1010020002"
"-200","2","1002","-575","0","1000002","1.46","1","travel_exdrama_r_100_run","1","1010020003"
"-250","3","1002","-750","0","1000003","1.46","1","travel_exdrama_r_100_run","1","1010020004"
"-175","4","1002","575","1","1000004","1.46","1","travel_exdrama_r_100_run","1","1010020005"
"-250","5","1002","750","1","1000005","1.46","1","travel_exdrama_r_100_run","1","1010020006"
"1","-40","1002","20","","10000","0","10000","","31","1010020007"
"0","-160","1002","1","","-100","","1000001","","2","1010020008"
"0","-200","1002","1","","-275","","1000002","","2","1010020009"
"0","-250","1002","1","","-450","","1000003","","2","1010020010"
"0","-175","1002","1","","275","","1000004","","2","1010020011"
"0","-250","1002","1","","450","","1000005","","2","1010020012"
"0","0","1002","0","","0","","1","","93","1010020013"
"0","0","1002","","0","travel_exdrama_r_100_raiseup","0.2","1000001","","3","1010020014"
"0","1","1002","","0","travel_exdrama_r_100_idle","0","1000002","","3","1010020015"
"0","1","1002","","0","travel_exdrama_r_100_idle","0","1000003","","3","1010020016"
"0","1","1002","","0","travel_exdrama_r_100_idle","0","1000004","","3","1010020017"
"0","1","1002","","0","travel_exdrama_r_100_idle","0","1000005","","3","1010020018"
"-160","11","1002","-100","0","1","1.46","1","travel_exdrama_r_100_raiseup","5","1010020019"
"0","0","1002","0","","0","0","0.4","","93","1010020020"
"0","","1002","","","1","","10000","","32","1010020021"
"","","1002","","","0","","0.6","","93","1010020022"
"0","","1002","","","","0.12","1000001","","6","1010020023"
"0","","1002","","","","0.12","1000002","","6","1010020024"
"0","","1002","","","","0.12","1000003","","6","1010020025"
"0","","1002","","","","0.12","1000004","","6","1010020026"
"0","","1002","","","","0.12","1000005","","6","1010020027"
"0","","1002","","","","0.12","1","","6","1010020028"
"","","1002","","","0","","0.12","","93","1010020029"
"","","1002","","","","","0","","91","1010020030"
"1","-350","1011","5","","10100","1","10100","","31","1010110001"
"1","-525","1011","50","","10002","0","10002","","31","1010110002"
"1","-184","1011","-121","","10101","1","10101","","31","1010110003"
"1","-350","1011","5","","10102","0","10102","","31","1010110004"
"1","-350","1011","5","","10103","0","10103","","31","1010110005"
"1","-350","1011","5","","10104","0","10104","","31","1010110006"
"-200","11","1011","-470","0","1000001","1.46","1","travel_exdrama_r_101_walk","1","1010110007"
"-150","1","1011","-320","0","1000002","1.46","1","travel_exdrama_r_101_walk","1","1010110008"
"-200","12","1011","-470","0","1","1.46","1","travel_exdrama_r_101_walk","5","1010110009"
"-150","2","1011","-320","0","2","1.46","1","travel_exdrama_r_101_walk","5","1010110010"
"","0","1012","","","se_travel_finish_cave_rare","","se_travel","","23","1010120001"
"0","-200","1012","0.1","","-500","","1000001","","2","1010120002"
"0","-150","1012","0.1","","-350","","1000002","","2","1010120003"
"0","-200","1012","0.1","","-500","","1","","2","1010120004"
"0","-150","1012","0.1","","-350","","2","","2","1010120005"
