b58488b89523d948d90bec3c5ca2b40625c9485d1488434235b27d6486efe911,85a0aabc580f2641cd39ef1cf195a0e8dd01cfca4f2c5b04d817e3630496381e,d7312bb0986ae24e8ce6fca5ecb8d0256d35b6f3ff0428a418c3eeae5980eb64,da9a6f84b2d0f8ef02cc09e0ad5fafe6e68a70975d40571cad2197cea546b68a,ac6ec827301036016f518055ec68dcfda0e9f0ee6aa75e36dfb7ed1e75930fb5,c4767686b398e3b0079ac7855558b06b3c103ba950e8c3f38622c4e55303747b,47416c9d4bd784c1e63aba6eacaff14065cb5f4989f5b77b386beaf2c0bcd05b,2993cebe8c07b2bbb469d076cfa4d4673db402a1eceba7196888bbd4f810a834,89819b2cfa33c9a48e14e1ccac7e2c2d28736b9401f80429abacc2574f3f3851,c84599157163c71a76373c8420e29f872ed22a2b7ba4bd2bc92e9c3d014f01b3,8ca90db42e0970293e6dd59a47459b6c728326088297745ab24ebc56cfe55246,2939c765bc8d21cd61e2375a9693fbbd752e6f14b37264f202b8e5503fcf353b,a26049f9e4c4e681d064336a354a1919dc501aa76680e13a6555ff8e4ab1108d,27cba17ee9a8ff28e1b641a4fff8c21e946278531941acf7b472801de96eb6e0,d0595a51a5b33f1e509205bfc0b43dd8960ecb6918fc3772fb2ccd65c3efc44b,7dc33b624a30ba56e6069611a91ba73c92139d12de2361e47e15d93da7d572cc
"東山奈央","8","0","155","2","最愛幫助別人！　正向思考的格鬥少女","16","44","100101","日和","27","A","你好！我是日和！\n碰到有困難的人我會去幫助他們！\n你如果樂意要不要一起來呢？","助人、打氣加油","獸人族","破曉之星"
"種田梨沙","4","0","158","2","擅長支援戰鬥，心地善良的少女","17","47","100201","優衣","5","O","雖然不曉得能不能幫上忙……但我也會盡全力地\n支援大家哦！","料理、觀察人類","人族","破曉之星"
"早見沙織","1","0","163","2","冷酷又率直的劍士","18","46","100301","怜","12","B","能與你相遇一定是因為某種緣份。\n作為同樣以索爾之塔塔頂為目標的同伴，\n一起加油吧。請多指教。","讀書、騎馬、茶","魔族","破曉之星"
"諸星すみれ","8","0","128","5","愛好冒險的搗蛋鬼","9","27","100401","禊","10","O","惡作劇就交給禊吧！\n哥哥，小心別上鉤了唷──♪","惡作劇、探險","人族","小小甜心"
"下田麻美","11","0","146","8","仰慕英雄的見習騎士少女","12","40","100501","茉莉","25","O","？？？","英雄扮演遊戲","獸人族","王宮騎士團"
"浅倉杏美","11","0","150","7","愛撒嬌又受大家喜歡","13","42","100601","茜里","22","O","茜里不知道的事還有很多……\n所以，\n今後哥哥也要教茜里各種事情喔！","薩克斯風","魔族","惡魔偽王國軍"
"雨宮天","1","0","130","7","最愛布丁的幽靈少女","14","32","100701","宮子","23","B","太難的事情人家不懂來的～\n只要每天都能吃到布丁的話，\n宮子也可以繼續當幽靈喲～","吃布丁","魔族","惡魔偽王國軍"
"大空直美","10","0","150","15","我比任何人都還要美麗","14","40","100801","雪","10","AB","我真的好美啊……\n既可愛又美麗真是罪過，\n但這都是天生的，只能原諒我了吧♪","欣賞鏡中的自己","精靈族","純白之翼 蘭德索爾分部"
"髙野麻美","7","0","159","13","相信前世的中二病患「疾風之冥姬」","17","45","100901","杏奈","5","A","聽好了，千萬不要叫我的本名呦？\n隨時懷疑「機關」耳目的存在\n那就是活下去的方法……！","寫小說","魔族","暮光流星群"
"内田真礼","9","0","155","10","真步真步王國的公主","16","42","101001","真步","22","O","人家是真步真步王國的公主，真步公主！\n這奇怪的表情是怎麼了呢？\n真步真步王國是非常遙遠的國家？","幻想、蒐集玩偶","獸人族","哞哞自衛隊"
