6da3e1d9005a8d47780a8901f6e847fa3cbb6d91e578a7425f99e1bef4cbbf21,1f366ac12f925cd6270f7598883ba8a6ff3724c9dbca7b920e9897d26c755da1,946ac056dc01a37bee96c81c39524fdf651ebb3e78561b9f4c6af21c11981cd5,147a5ab1ffd562d9e5be7c26221b79894746db03583eb7211eed5915034c5ce0,320ef441864aa40cd0c3bdb6e59259ab3bdf0d3027d19eb5b94eabcd8588711c,4f21d26611e4d1ce7dca82c1a39da08ed19858e394d966dc0909ea0d7bd09ae1,1536607a0d1fdf670fb8cf556ca9fab571e90905534df32d53105f1274e83038,73a9168ac5d0a17a01524d166074dfbfd2f6eebb9b896427b3dfc246f5b62aae,ea302252ff6e6420438d7daafd19d27d94635836dd2a074287c3d74ae5c5bc8f,9d13075fce20cfa951db4cda26ed6f9e7d2ad95190cfc3c38d7562c3966b8922,5ab474723082a5313d6d4c2bddb57eea6468c5a344b8c040e64d148b6be9b699
"","se_travel_start_1pt","111","","0","","se_travel","101110001","","23",""
"","10010","111","1","0","0","10010","101110002","","31","1"
"","10011","111","1","0","0","10011","101110003","","31","1"
"","10020","111","1","0","0","10020","101110004","","31","0"
"<weapon>_idle","1001001","111","-150","62","-150","2","101110005","0","1","0.68"
"<weapon>_idle","1001002","111","-75","61","-250","2","101110006","0","1","0.68"
"<weapon>_idle","1001003","111","-180","63","-350","2","101110007","0","1","0.68"
"<weapon>_idle","1001004","111","-75","61","-450","2","101110008","0","1","0.68"
"<weapon>_idle","1001005","111","-150","62","-550","2","101110009","0","1","0.68"
"","1001001","111","0.68","-150","-150","10012","101110010","0","31","1"
"","1001002","111","0.68","-250","-75","10012","101110011","0","31","1"
"","1001003","111","0.68","-350","-180","10012","101110012","0","31","1"
"","1001004","111","0.68","-450","-75","10012","101110013","0","31","1"
"","1001005","111","0.68","-550","-150","10012","101110014","0","31","1"
"","10030","111","1","0","0","10030","101110015","","31","0"
"","10031","111","1","0","0","10031","101110016","","31","0"
"","0","111","","","","","101110017","","91",""
"","1","111","","","","10030","101110018","","32",""
"","0","111","","","","0","101110019","","91",""
"","<weapon>_run","111","0","1","","1001001","101110020","","3","0"
"","<weapon>_run","111","0","1","","1001002","101110021","","3","0"
"","<weapon>_run","111","0","1","","1001003","101110022","","3","0"
"","<weapon>_run","111","0","1","","1001004","101110023","","3","0"
"","<weapon>_run","111","0","1","","1001005","101110024","","3","0"
"","800","111","0","-150","3","1001001","101110025","","2",""
"","700","111","0","-75","3","1001002","101110026","","2",""
"","600","111","0","-180","3","1001003","101110027","","2",""
"","500","111","0","-75","3","1001004","101110028","","2",""
"","400","111","0","-150","3","1001005","101110029","","2",""
"","800","111","0","-150","3","1001001","101110030","","33",""
"","700","111","0","-75","3","1001002","101110031","","33",""
"","600","111","0","-180","3","1001003","101110032","","33",""
"","500","111","0","-75","3","1001004","101110033","","33",""
"","400","111","0","-150","3","1001005","101110034","","33",""
"","1","111","","","","10020","101110035","","32",""
"","0","111","","","","2.5","101110036","","93",""
"","1","111","","","","10031","101110037","","32",""
"","0","111","","","","0.4","101110038","","93",""
"","0","111","","","","0","101110039","","91",""
"","se_travel_start_2pt","211","","0","","se_travel","102110001","","23",""
"","10010","211","1","0","0","10010","102110002","","31","1"
"","10011","211","1","0","0","10011","102110003","","31","1"
"","10020","211","1","0","0","10020","102110004","","31","0"
"<weapon>_idle","1001001","211","-90","62","-100","2","102110005","0","1","0.68"
"<weapon>_idle","1001002","211","-15","61","-170","2","102110006","0","1","0.68"
"<weapon>_idle","1001003","211","-105","63","-240","2","102110007","0","1","0.68"
"<weapon>_idle","1001004","211","-15","61","-310","2","102110008","0","1","0.68"
"<weapon>_idle","1001005","211","-90","62","-380","2","102110009","0","1","0.68"
"","1001001","211","0.68","-100","-90","10012","102110010","0","31","1"
"","1001002","211","0.68","-170","-15","10012","102110011","0","31","1"
"","1001003","211","0.68","-240","-105","10012","102110012","0","31","1"
"","1001004","211","0.68","-310","-15","10012","102110013","0","31","1"
"","1001005","211","0.68","-380","-90","10012","102110014","0","31","1"
"<weapon>_idle","1002001","211","-240","52","-500","2","102110015","0","1","0.68"
"<weapon>_idle","1002002","211","-165","51","-570","2","102110016","0","1","0.68"
"<weapon>_idle","1002003","211","-255","53","-640","2","102110017","0","1","0.68"
"<weapon>_idle","1002004","211","-165","51","-710","2","102110018","0","1","0.68"
"<weapon>_idle","1002005","211","-240","52","-780","2","102110019","0","1","0.68"
"","1002001","211","0.68","-500","-240","10012","102110020","0","31","1"
"","1002002","211","0.68","-570","-165","10012","102110021","0","31","1"
"","1002003","211","0.68","-640","-255","10012","102110022","0","31","1"
"","1002004","211","0.68","-710","-165","10012","102110023","0","31","1"
"","1002005","211","0.68","-780","-240","10012","102110024","0","31","1"
"","10030","211","1","0","0","10030","102110025","","31","0"
"","10031","211","1","0","0","10031","102110026","","31","0"
"","0","211","","","","","102110027","","91",""
"","1","211","","","","10030","102110028","","32",""
"","0","211","","","","0","102110029","","91",""
"","<weapon>_run","211","0","1","","1001001","102110030","","3","0"
"","<weapon>_run","211","0","1","","1001002","102110031","","3","0"
"","<weapon>_run","211","0","1","","1001003","102110032","","3","0"
"","<weapon>_run","211","0","1","","1001004","102110033","","3","0"
"","<weapon>_run","211","0","1","","1001005","102110034","","3","0"
"","850","211","0","-90","3","1001001","102110035","","2",""
"","780","211","0","-15","3","1001002","102110036","","2",""
"","710","211","0","-105","3","1001003","102110037","","2",""
"","640","211","0","-15","3","1001004","102110038","","2",""
"","570","211","0","-90","3","1001005","102110039","","2",""
"","850","211","0","-90","3","1001001","102110040","","33",""
"","780","211","0","-15","3","1001002","102110041","","33",""
"","710","211","0","-105","3","1001003","102110042","","33",""
"","640","211","0","-15","3","1001004","102110043","","33",""
"","570","211","0","-90","3","1001005","102110044","","33",""
"","<weapon>_run","211","0","1","","1002001","102110045","","3","0"
"","<weapon>_run","211","0","1","","1002002","102110046","","3","0"
"","<weapon>_run","211","0","1","","1002003","102110047","","3","0"
"","<weapon>_run","211","0","1","","1002004","102110048","","3","0"
"","<weapon>_run","211","0","1","","1002005","102110049","","3","0"
"","450","211","0","-240","3","1002001","102110050","","2",""
"","380","211","0","-165","3","1002002","102110051","","2",""
"","310","211","0","-255","3","1002003","102110052","","2",""
"","240","211","0","-165","3","1002004","102110053","","2",""
"","170","211","0","-240","3","1002005","102110054","","2",""
"","450","211","0","-240","3","1002001","102110055","","33",""
"","380","211","0","-165","3","1002002","102110056","","33",""
"","310","211","0","-255","3","1002003","102110057","","33",""
"","240","211","0","-165","3","1002004","102110058","","33",""
"","170","211","0","-240","3","1002005","102110059","","33",""
"","1","211","","","","10020","102110060","","32",""
"","0","211","","","","2.5","102110061","","93",""
"","1","211","","","","10031","102110062","","32",""
"","0","211","","","","0.4","102110063","","93",""
"","0","211","","","","0","102110064","","91",""
"","se_travel_start_3pt","311","","0","","se_travel","103110001","","23",""
"","10010","311","1","0","0","10010","103110002","","31","1"
"","10011","311","1","0","0","10011","103110003","","31","1"
"","10020","311","1","0","0","10020","103110004","","31","0"
"<weapon>_idle","1001001","311","-240","62","0","2","103110005","0","1","0.68"
"<weapon>_idle","1001002","311","-165","61","-70","2","103110006","0","1","0.68"
"<weapon>_idle","1001003","311","-255","63","-140","2","103110007","0","1","0.68"
"<weapon>_idle","1001004","311","-165","61","-210","2","103110008","0","1","0.68"
"<weapon>_idle","1001005","311","-240","62","-280","2","103110009","0","1","0.68"
"","1001001","311","0.68","0","-240","10012","103110010","0","31","1"
"","1001002","311","0.68","-70","-165","10012","103110011","0","31","1"
"","1001003","311","0.68","-140","-255","10012","103110012","0","31","1"
"","1001004","311","0.68","-210","-165","10012","103110013","0","31","1"
"","1001005","311","0.68","-280","-240","10012","103110014","0","31","1"
"<weapon>_idle","1002001","311","-60","52","-250","2","103110015","0","1","0.68"
"<weapon>_idle","1002002","311","15","51","-320","2","103110016","0","1","0.68"
"<weapon>_idle","1002003","311","-75","53","-390","2","103110017","0","1","0.68"
"<weapon>_idle","1002004","311","15","51","-460","2","103110018","0","1","0.68"
"<weapon>_idle","1002005","311","-60","52","-530","2","103110019","0","1","0.68"
"","1002001","311","0.68","-250","-60","10012","103110020","0","31","1"
"","1002002","311","0.68","-320","15","10012","103110021","0","31","1"
"","1002003","311","0.68","-390","-75","10012","103110022","0","31","1"
"","1002004","311","0.68","-460","15","10012","103110023","0","31","1"
"","1002005","311","0.68","-530","-60","10012","103110024","0","31","1"
"<weapon>_idle","1003001","311","-250","62","-500","2","103110025","0","1","0.68"
"<weapon>_idle","1003002","311","-175","61","-570","2","103110026","0","1","0.68"
"<weapon>_idle","1003003","311","-265","63","-640","2","103110027","0","1","0.68"
"<weapon>_idle","1003004","311","-175","61","-710","2","103110028","0","1","0.68"
"<weapon>_idle","1003005","311","-250","62","-780","2","103110029","0","1","0.68"
"","1003001","311","0.68","-500","-250","10012","103110030","0","31","1"
"","1003002","311","0.68","-570","-175","10012","103110031","0","31","1"
"","1003003","311","0.68","-640","-265","10012","103110032","0","31","1"
"","1003004","311","0.68","-710","-175","10012","103110033","0","31","1"
"","1003005","311","0.68","-780","-250","10012","103110034","0","31","1"
"","10030","311","1","0","0","10030","103110035","","31","0"
"","10031","311","1","0","0","10031","103110036","","31","0"
"","0","311","","","","","103110037","","91",""
"","1","311","","","","10030","103110038","","32",""
