574a975b69bfb406ebff2890b945723d6abac160d5e1654ef8955399f4ed754e,60e105c9c54278ebf1a96ac63cb8b3d1b8ffcd427f2d256323a2da4b022d8620,c177b3e559edcf614d10f1db76dcc61ec420bf991a9254a5f71a42cb781da1f7,63872dd7d39db74f88003d70885f9d0c9438622ee3ce901a0894b32d85900e5a,4921850687ee6f96ddb0804d0f19ff6decc2dec393f92b3f65a40aa9ce301688,47e5096ab12d7f623ba85f06fd786a934b69300c5b32e0c77b9a0b808d82e598,c8ba55352d19031ecf93b864fd9890cc4fd758877ade76521e25b61d62e3f519,aae57b230483b70c849e67c3ff1c1f1f67ea145cce84b529fea41116f15e1e27,3e61a1544a57ddb4686c454fa7aa992800db49da41a7a7793785409c2778328d,965dda3c55632715615f4d8b4568071cbfef09e006cfb8951bcd42ebdf8ac635,1ad748ddc08d82aefaadcd3e72d007f8ee43f9ea524be2b58badd36fe2a17aa1,0578c02e3e2e3db3bd4fc7290820b419914c9df8abf0f507198a59bdc904a4e4
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140101","103","107511","2","0"
"15","1","10140","0","游泳圈游泳（藍）","0","0","10140102","102","107611","2","0"
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140103","103","107711","1","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140106","102","108011","2","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140107","101","110011","2","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140108","101","110111","1","0"
"3","1","10140","0","游泳圈游泳（黃）","0","0","10140109","103","110311","1","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140110","102","110411","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140111","102","110511","2","0"
"50","1","10140","0","游泳圈游泳（粉）","0","0","10140112","101","110611","2","0"
"5","1","10140","0","游泳圈游泳（藍）","0","0","10140113","102","113111","1","0"
"5","1","10140","0","游泳圈游泳（藍）","0","0","10140114","102","113211","1","0"
"5","1","10140","0","游泳圈游泳（藍）","0","0","10140115","102","113311","1","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140116","102","113411","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140117","102","113511","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140118","102","113611","2","0"
"5","1","10140","0","游泳圈游泳（藍）","0","0","10140119","102","115711","1","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140120","101","117011","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140121","102","117111","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140122","102","117211","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140123","102","117311","2","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140124","101","117411","2","0"
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140125","103","122411","2","0"
"5","1","10140","0","游泳圈游泳（藍）","0","0","10140126","102","122511","1","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140127","101","122611","2","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140128","102","122711","1","0"
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140129","103","122811","1","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140130","101","122911","1","0"
"5","1","10140","0","游泳圈游泳（粉）","0","0","10140132","101","126711","1","0"
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140133","103","126811","2","0"
"30","1","10140","0","游泳圈游泳（藍）","0","0","10140134","102","126911","2","0"
"5","1","10140","0","游泳圈游泳（粉）","0","0","10140135","101","127011","1","0"
"10","1","10140","0","游泳圈游泳（藍）","0","0","10140136","102","127111","2","0"
"10","1","10140","0","游泳圈游泳（黃）","0","0","10140138","103","129411","2","0"
"10","1","10140","0","游泳圈游泳（粉）","0","0","10140139","101","129511","2","0"
"10","1","10140","0","踢水","0","0","10140151","151","107511","2","0"
"10","1","10140","0","踢水","0","0","10140152","151","107611","2","0"
"10","1","10140","0","踢水","0","0","10140153","151","107711","1","0"
"10","1","10140","0","踢水","0","0","10140156","151","108011","2","0"
"10","1","10140","0","踢水","0","0","10140157","151","110011","2","0"
"3","1","10140","0","踢水","0","0","10140159","151","110311","1","0"
"10","1","10140","0","踢水","0","0","10140160","151","110411","2","0"
"10","1","10140","0","踢水","0","0","10140161","151","110511","2","0"
"5","1","10140","0","踢水","0","0","10140163","151","113111","1","0"
"5","1","10140","0","踢水","0","0","10140164","151","113211","1","0"
"5","1","10140","0","踢水","0","0","10140165","151","113311","1","0"
"10","1","10140","0","踢水","0","0","10140166","151","113411","2","0"
"10","1","10140","0","踢水","0","0","10140167","151","113511","2","0"
"10","1","10140","0","踢水","0","0","10140168","151","113611","2","0"
"5","1","10140","0","踢水","0","0","10140169","151","115711","1","0"
"10","1","10140","0","踢水","0","0","10140170","151","117011","2","0"
"10","1","10140","0","踢水","0","0","10140171","151","117111","2","0"
"10","1","10140","0","踢水","0","0","10140172","151","117211","2","0"
"10","1","10140","0","踢水","0","0","10140173","151","117311","2","0"
"10","1","10140","0","踢水","0","0","10140174","151","117411","2","0"
"10","1","10140","0","踢水","0","0","10140175","151","122411","2","0"
"5","1","10140","0","踢水","0","0","10140176","151","122511","1","0"
