df037cce79ad87222f80911e67f7ffeb424a6cec7fef9cb01fa14d11ac46e0b1,db0851c4d16972b9e5969647df712afaae8ea3bd825e98c0b2ef2d3221dacab9
"3000003","401702101"
"3000004","401702102"
"3000002","401702103"
"3000006","401702104"
"2000003","401702105"
"3000003","401702201"
"3000004","401702202"
"3000002","401702203"
"3000006","401702204"
"2000003","401702205"
"3000003","401702301"
"3000004","401702302"
"3000002","401702303"
"3000006","401702304"
"2000003","401702305"
"3000003","401702401"
"3000004","401702402"
"3000002","401702403"
"3000006","401702404"
"2000003","401702405"
"3000003","401702501"
"3000004","401702502"
"3000002","401702503"
"3000006","401702504"
"2000003","401702505"
"3000003","401702601"
"3000004","401702602"
"3000002","401702603"
"3000006","401702604"
"2000003","401702605"
"3000003","401702701"
"3000004","401702702"
"3000002","401702703"
"3000006","401702704"
"2000003","401702705"
"3000001","401703101"
"3000000","401703102"
"3000000","401703103"
"3000000","401703104"
"3000000","401703105"
"3000009","401703106"
"3000005","401703107"
"3000008","401703108"
"3000001","401703201"
"3000000","401703202"
"3000000","401703203"
"3000000","401703204"
"3000000","401703205"
"3000009","401703206"
"3000005","401703207"
"3000008","401703208"
"3000001","401703301"
"3000000","401703302"
"3000000","401703303"
"3000000","401703304"
"3000000","401703305"
"3000009","401703306"
"3000005","401703307"
"3000008","401703308"
"3000001","401703401"
"3000000","401703402"
"3000000","401703403"
"3000000","401703404"
"3000000","401703405"
"3000009","401703406"
"3000005","401703407"
"3000008","401703408"
"3000001","401703501"
"3000000","401703502"
"3000000","401703503"
"3000000","401703504"
"3000000","401703505"
"3000009","401703506"
"3000005","401703507"
"3000008","401703508"
"3000001","401703601"
"3000000","401703602"
"3000000","401703603"
"3000000","401703604"
"3000000","401703605"
"3000009","401703606"
"3000005","401703607"
"3000008","401703608"
"3000001","401703701"
"3000000","401703702"
"3000000","401703703"
"3000000","401703704"
"3000000","401703705"
"3000009","401703706"
"3000005","401703707"
"3000008","401703708"
"3000001","401704101"
"3000001","401704102"
"3000001","401704103"
"3000001","401704104"
"3000003","401704105"
"2000002","401704106"
"3000005","401704107"
"3000009","401704108"
"3000001","401704201"
"3000001","401704202"
"3000001","401704203"
"3000001","401704204"
"3000003","401704205"
"2000002","401704206"
"3000005","401704207"
"3000009","401704208"
"3000001","401704301"
"3000001","401704302"
"3000001","401704303"
"3000001","401704304"
"3000003","401704305"
"2000002","401704306"
"3000005","401704307"
"3000009","401704308"
"3000001","401704401"
"3000001","401704402"
"3000001","401704403"
"3000001","401704404"
"3000003","401704405"
"2000002","401704406"
"3000005","401704407"
"3000009","401704408"
"3000001","401704501"
"3000001","401704502"
"3000001","401704503"
"3000001","401704504"
"3000003","401704505"
"2000002","401704506"
"3000005","401704507"
"3000009","401704508"
"3000001","401704601"
"3000001","401704602"
"3000001","401704603"
"3000001","401704604"
"3000003","401704605"
"2000002","401704606"
"3000005","401704607"
"3000009","401704608"
"3000001","401704701"
"3000001","401704702"
"3000001","401704703"
"3000001","401704704"
"3000003","401704705"
"2000002","401704706"
"3000005","401704707"
"3000009","401704708"
"3000006","401705101"
"3000007","401705102"
"3000007","401705103"
"3000007","401705104"
"3000001","401705105"
"3000009","401705106"
"3000000","401705107"
"3000000","401705108"
"3000000","401705109"
"3000000","401705110"
"3000000","401705111"
"3000006","401705201"
"3000007","401705202"
"3000007","401705203"
"3000007","401705204"
"3000001","401705205"
"3000009","401705206"
"3000000","401705207"
"3000000","401705208"
"3000000","401705209"
"3000000","401705210"
"3000000","401705211"
"3000006","401705301"
"3000007","401705302"
"3000007","401705303"
"3000007","401705304"
"3000001","401705305"
"3000009","401705306"
"3000000","401705307"
"3000000","401705308"
"3000000","401705309"
"3000000","401705310"
"3000000","401705311"
"3000006","401705401"
"3000007","401705402"
"3000007","401705403"
"3000007","401705404"
"3000001","401705405"
"3000009","401705406"
"3000000","401705407"
"3000000","401705408"
"3000000","401705409"
"3000000","401705410"
"3000000","401705411"
"3000006","401705501"
"3000007","401705502"
"3000007","401705503"
"3000007","401705504"
"3000001","401705505"
"3000009","401705506"
"3000000","401705507"
"3000000","401705508"
"3000000","401705509"
"3000000","401705510"
"3000000","401705511"
"3000006","401705601"
"3000007","401705602"
"3000007","401705603"
"3000007","401705604"
"3000001","401705605"
"3000009","401705606"
"3000000","401705607"
"3000000","401705608"
"3000000","401705609"
"3000000","401705610"
"3000000","401705611"
"3000006","401705701"
"3000007","401705702"
"3000007","401705703"
"3000007","401705704"
"3000001","401705705"
"3000009","401705706"
"3000000","401705707"
"3000000","401705708"
"3000000","401705709"
"3000000","401705710"
"3000000","401705711"
"3000001","401706101"
"3000003","401706102"
"3000005","401706103"
"3000005","401706104"
"3000005","401706105"
"3000005","401706106"
"3000005","401706107"
"3000008","401706108"
"3000001","401706201"
"3000003","401706202"
"3000005","401706203"
"3000005","401706204"
"3000005","401706205"
"3000005","401706206"
"3000005","401706207"
"3000008","401706208"
"3000001","401706301"
"3000003","401706302"
"3000005","401706303"
"3000005","401706304"
"3000005","401706305"
"3000005","401706306"
"3000005","401706307"
"3000008","401706308"
"3000001","401706401"
"3000003","401706402"
"3000005","401706403"
"3000005","401706404"
"3000005","401706405"
"3000005","401706406"
"3000005","401706407"
"3000008","401706408"
"3000001","401706501"
"3000003","401706502"
"3000005","401706503"
"3000005","401706504"
"3000005","401706505"
"3000005","401706506"
"3000005","401706507"
"3000008","401706508"
"3000001","401706601"
"3000003","401706602"
"3000005","401706603"
"3000005","401706604"
"3000005","401706605"
"3000005","401706606"
"3000005","401706607"
"3000008","401706608"
"3000001","401706701"
"3000003","401706702"
"3000005","401706703"
"3000005","401706704"
"3000005","401706705"
"3000005","401706706"
"3000005","401706707"
"3000008","401706708"
"3000002","401707101"
"3000003","401707102"
"3000009","401707103"
"2000002","401707104"
"2000001","401707105"
"2000001","401707106"
"2000001","401707107"
"2000001","401707108"
"3000002","401707201"
"3000003","401707202"
"3000009","401707203"
"2000002","401707204"
"2000001","401707205"
"2000001","401707206"
"2000001","401707207"
"2000001","401707208"
"3000002","401707301"
"3000003","401707302"
"3000009","401707303"
"2000002","401707304"
"2000001","401707305"
"2000001","401707306"
"2000001","401707307"
"2000001","401707308"
"3000002","401707401"
"3000003","401707402"
"3000009","401707403"
"2000002","401707404"
"2000001","401707405"
"2000001","401707406"
"2000001","401707407"
"2000001","401707408"
"3000002","401707501"
"3000003","401707502"
"3000009","401707503"
"2000002","401707504"
"2000001","401707505"
"2000001","401707506"
"2000001","401707507"
"2000001","401707508"
"3000002","401707601"
"3000003","401707602"
"3000009","401707603"
"2000002","401707604"
"2000001","401707605"
"2000001","401707606"
"2000001","401707607"
"2000001","401707608"
"3000002","401707701"
"3000003","401707702"
"3000009","401707703"
"2000002","401707704"
"2000001","401707705"
"2000001","401707706"
"2000001","401707707"
"2000001","401707708"
"3000003","401708101"
"3000001","401708102"
"3000001","401708103"
"3000001","401708104"
"3000001","401708105"
"3000005","401708106"
"3000009","401708107"
"3000004","401708108"
"3000003","401708201"
"3000001","401708202"
"3000001","401708203"
"3000001","401708204"
"3000001","401708205"
"3000005","401708206"
"3000009","401708207"
"3000004","401708208"
"3000003","401708301"
"3000001","401708302"
"3000001","401708303"
"3000001","401708304"
"3000001","401708305"
"3000005","401708306"
"3000009","401708307"
"3000004","401708308"
"3000003","401708401"
"3000001","401708402"
"3000001","401708403"
"3000001","401708404"
"3000001","401708405"
"3000005","401708406"
"3000009","401708407"
"3000004","401708408"
"3000003","401708501"
"3000001","401708502"
"3000001","401708503"
"3000001","401708504"
"3000001","401708505"
"3000005","401708506"
"3000009","401708507"
"3000004","401708508"
"3000003","401708601"
"3000001","401708602"
"3000001","401708603"
"3000001","401708604"
"3000001","401708605"
"3000005","401708606"
"3000009","401708607"
"3000004","401708608"
"3000003","401708701"
"3000001","401708702"
"3000001","401708703"
"3000001","401708704"
"3000001","401708705"
"3000005","401708706"
"3000009","401708707"
"3000004","401708708"
"3000009","401709101"
"3000003","401709102"
"3000000","401709103"
"3000004","401709104"
"3000007","401709105"
"3000007","401709106"
"3000007","401709107"
"3000007","401709108"
"3000009","401709201"
"3000003","401709202"
"3000000","401709203"
"3000004","401709204"
"3000007","401709205"
"3000007","401709206"
"3000007","401709207"
"3000007","401709208"
"3000009","401709301"
"3000003","401709302"
"3000000","401709303"
"3000004","401709304"
"3000007","401709305"
"3000007","401709306"
"3000007","401709307"
"3000007","401709308"
"3000009","401709401"
"3000003","401709402"
"3000000","401709403"
"3000004","401709404"
"3000007","401709405"
"3000007","401709406"
"3000007","401709407"
"3000007","401709408"
"3000009","401709501"
"3000003","401709502"
"3000000","401709503"
"3000004","401709504"
"3000007","401709505"
"3000007","401709506"
"3000007","401709507"
"3000007","401709508"
"3000009","401709601"
"3000003","401709602"
"3000000","401709603"
"3000004","401709604"
"3000007","401709605"
"3000007","401709606"
"3000007","401709607"
"3000007","401709608"
"3000009","401709701"
"3000003","401709702"
"3000000","401709703"
"3000004","401709704"
"3000007","401709705"
"3000007","401709706"
"3000007","401709707"
"3000007","401709708"
"3000009","401710101"
"3000008","401710102"
"3000008","401710103"
"3000008","401710104"
"3000004","401710105"
"3000002","401710106"
"3000000","401710107"
"3000009","401710201"
"3000008","401710202"
"3000008","401710203"
"3000008","401710204"
"3000004","401710205"
"3000002","401710206"
"3000000","401710207"
"3000009","401710301"
"3000008","401710302"
"3000008","401710303"
"3000008","401710304"
"3000004","401710305"
"3000002","401710306"
"3000000","401710307"
"3000009","401710401"
"3000008","401710402"
"3000008","401710403"
"3000008","401710404"
"3000004","401710405"
"3000002","401710406"
"3000000","401710407"
"3000009","401710501"
"3000008","401710502"
"3000008","401710503"
"3000008","401710504"
"3000004","401710505"
"3000002","401710506"
"3000000","401710507"
"3000009","401710601"
"3000008","401710602"
"3000008","401710603"
"3000008","401710604"
"3000004","401710605"
"3000002","401710606"
"3000000","401710607"
"3000009","401710701"
"3000008","401710702"
"3000008","401710703"
"3000008","401710704"
"3000004","401710705"
"3000002","401710706"
"3000000","401710707"
"3000003","401711101"
"3000003","401711102"
"3000003","401711103"
"3000003","401711104"
"3000007","401711105"
"3000000","401711106"
"3000004","401711107"
"3000009","401711108"
"3000009","401711109"
"3000009","401711110"
"3000003","401711201"
"3000003","401711202"
"3000003","401711203"
"3000003","401711204"
"3000007","401711205"
"3000000","401711206"
"3000004","401711207"
"3000009","401711208"
"3000009","401711209"
"3000009","401711210"
"3000003","401711301"
"3000003","401711302"
"3000003","401711303"
"3000003","401711304"
"3000007","401711305"
"3000000","401711306"
"3000004","401711307"
"3000009","401711308"
"3000009","401711309"
"3000009","401711310"
"3000003","401711401"
"3000003","401711402"
"3000003","401711403"
"3000003","401711404"
"3000007","401711405"
"3000000","401711406"
"3000004","401711407"
"3000009","401711408"
"3000009","401711409"
"3000009","401711410"
"3000003","401711501"
"3000003","401711502"
"3000003","401711503"
"3000003","401711504"
"3000007","401711505"
"3000000","401711506"
"3000004","401711507"
"3000009","401711508"
"3000009","401711509"
"3000009","401711510"
"3000003","401711601"
"3000003","401711602"
"3000003","401711603"
