7ee2ea518414cabe4f1695b9e79b84880529b625956b9c91d47a210b438e7e6d,9737c81ef2ff90a261194d3a53adb16982f6e8565f04247d134e0225659286e6,06ae61f915175c4ffba104a177bb7f371f74e4f967e51b1e775baf92f48b0919,cd273afa7b7b386a727e86d6bc66d09e1df742632be7b774925bd10b507dcb60,c21ccab1161a47bc30a69770eb8f87f47dd71f6f4ed004d3a8912b19e9cbf1e3,daf306a34ace89a3d8f501919648948136c6b734c143c0bd80627baf58bac9b4,5e0b880110a802d71413d1e56e6e08f7574a3dfc221b86b8ea05de323c819fc6,fe3c91c4d9d2d23f6bf6b3777e380cb79e7849cd77c9b2ec8996a2bdfe10b5ec,40af350e7f1d34051840c579907d89e05413883dfb339e0aba93379b69826bca,cd7f88b37921a6e58adc7c370a0f226968f6a4aaeceec5dcea833f7242cf0ecd,e514b1532cd7b0a199dc9a04d7214009fb8af4f2e7e5852ebd7fc346aae85166
"12001","-250","30","5","52","talk_sad","12","0","2.2","1","1"
"12002","0","1","6","1","","12","0","0","1","1"
"12003","0","50","5","29","black","12","0","1","0","0"
"12004","0","1","6","1","","12","0","0","1","0"
"12005","","","91","","","12","","","","0"
"12006","1","1","6","1","","12","0","0.2","1","1"
"12007","1","1","6","1","","12","0","0.2","1","0"
"12008","2","0.3","2","-250","","12","","","-20","1"
"12009","2","0.3","2","0","","12","","","0","0"
"12010","","","93","","","12","","","0","0.6"
"12011","","0","21","0","","12","","","vo_asb_0121","vo_asb"
"12012","1","1","11","10","0","12","0","0","回想起來，\n我甚至連伴手禮都沒帶……","1"
"12013","","0","91","0","","12","","","","0"
"12014","","","3","1","","12","","0.2","guts2_talk_shy","1"
"12015","","0","21","0","","12","","","vo_asb_0122","vo_asb"
"12016","1","1","11","10","0","12","0","0","下次拜訪的時候必定……！","1"
"12017","","0","91","0","","12","","","","0"
"12018","","","3","1","","12","","0.2","sad_talk_surprise","1"
"12019","","0","21","0","","12","","","vo_asb_0123","vo_asb"
"12020","1","1","11","10","0","12","0","0","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","1"
"12021","","0","91","0","","12","","","","0"
"12022","","","3","1","","12","","0.3","surprise_talk_dere","1"
"12023","","0","21","0","","12","","","vo_asb_0124","vo_asb"
"12024","1","1","11","10","0","12","0","0","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","1"
"12025","","0","91","0","","12","","","","0"
"12026","1","sad_idle_red_riri","3","0","","12","0","0.4","sad_talk_riri_in","1"
"12027","","0","21","0","","12","","","vo_asb_0125","vo_asb"
"12028","1","1","11","10","0","12","0","0","……一起……挑伴手禮……\n……臉紅。","1"
"12029","","0","91","0","","12","","","","0"
"12030","","","101","","","12","","","","12031"
"12031","0","1","6","1","","12","0","0.3","1","1"
"12032","0","1","6","1","","12","0","0.3","1","0"
"12033","1","0.3","2","-250","","12","","","-120","1"
"12034","1","0.3","2","0","","12","","","-100","0"
"12035","","","22","","","12","","","0","0"
"12036","","","93","","","12","","","0","0.4"
"13001","-230","20","5","17","riri_idle_look_shy","13","0","2.2","1","1"
"13002","-255","-140","5","19","clear_idle_look_shy","13","0","2.2","2","2"
"13003","-245","270","5","18","idle_look_precia","13","1","2.2","3","3"
"13004","0","1","6","1","","13","0","0","1","1"
"13005","0","1","6","1","","13","0","0","1","2"
"13006","0","1","6","1","","13","0","0","1","3"
"13007","1","0","31","0","","13","","0","100","1"
"13008","","","35","","","13","","","0","100"
"13009","0","50","5","16","black","13","0","1","0","0"
"13010","0","1","6","1","","13","0","0","1","0"
"13011","","","91","","","13","","","","0"
"13012","","","93","","","13","","","0","0.1"
"13013","1","1","6","1","","13","0","0.2","1","1"
"13014","1","1","6","1","","13","0","0.2","1","2"
"13015","1","1","6","1","","13","0","0.2","1","3"
"13016","1","1","6","1","","13","0","0.2","1","0"
"13017","2","0.3","2","-230","","13","","","-30","1"
"13018","2","0.3","2","-255","","13","","","-190","2"
"13019","2","0.3","2","-245","","13","","","220","3"
"13020","2","0.3","2","0","","13","","","0","0"
"13021","","","32","","","13","","","1","100"
"13022","","","93","","","13","","","0","0.6"
"13023","","","3","1","","13","","0.2","sad_talk_look_shy_riri","1"
"13024","","0","21","0","","13","","","vo_asb_1521","vo_asb"
"13025","1","1","11","10","0","13","0","0","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","1"
"13026","","0","91","0","","13","","","","0"
"13027","","","3","1","","13","","0.2","sad_idle_normal_look_shy_riri","1"
"13028","","","3","1","","13","","0.2","clear_talk_look_shy","2"
"13029","","0","21","0","","13","","","vo_asb_1522","vo_asb"
"13030","1","1","11","10","0","13","0","0","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","2"
"13031","","0","91","0","","13","","","","0"
"13032","","","3","1","","13","","0.3","clear_idle_look_shy","2"
"13033","","","3","1","","13","","0.2","sad_talk_look_precia","3"
"13034","","0","21","0","","13","","","vo_asb_1523","vo_asb"
"13035","1","1","11","10","0","13","0","0","赤裸裸的，\n冒險記。","3"
"13036","","0","91","0","","13","","","","0"
"13037","","","3","1","","13","","0.2","idle_look_precia","3"
"13038","","","3","1","","13","","0.3","talk_look_shy_riri","1"
"13039","","0","21","0","","13","","","vo_asb_1524","vo_asb"
"13040","1","1","11","10","0","13","0","0","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","1"
"13041","","0","91","0","","13","","","","0"
"13042","","","3","1","","13","","0.2","wish_talk_look_shy_riri","1"
"13043","","0","21","0","","13","","","vo_asb_1525","vo_asb"
"13044","1","1","11","10","0","13","0","0","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","1"
"13045","","0","91","0","","13","","","","0"
"13046","","","3","1","","13","","0.2","idle_look_shy","2"
"13047","","","3","1","","13","","0.3","joy_idle_look_shy_precia","3"
"13048","","","3","1","","13","","0.2","wish_talk_Ex4","1"
"13049","","0","21","0","","13","","","vo_asb_1526","vo_asb"
"13050","1","1","11","10","0","13","0","0","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","1"
"13051","","0","91","0","","13","","","","0"
"13052","","","3","1","","13","","0.2","idle_look_shy_riri","1"
"13053","","","3","1","","13","","0.4","surprise_idle_lookR_precia","3"
"13054","","0","21","0","","13","","","vo_asb_1527","vo_asb"
"13055","1","1","11","10","0","13","0","0","哥……","3"
