c76be3c74fcef1148e1074d601dda747b639d13333f195cf961878041853caf7,d7771dbfbef95b8904c246fb55e4d1d6e37902e400843922e521f110179a973d,16f619f7f93601cebd2746eba6c5455bc68205bc35c57dcf660c17f33f0027b8,968c110a9a95e5993fc9803ba2fb477c38174b85c44b54d4a2da9b82e7a12a03,854ec95069e646fac7acd56dc22015abf6baa5198322e3119d208726e093822e,60bf37a7b726e17f50c2cf156e2d5ad03972dcee05feb561f516b4ce4062e0b3,788d1e88c3acea4ffe503c205a6e47fdfabaf0b355f3d968c2e14167f8416283,5d5c74cdf8ef63f4fddb979c85d42c1d968c817469a050a65c5f5ba06246f95d,dee672d49725ea2d6c69418707ad6a86d12c4c527563ec7e66fbe968d8f01d42,14d563bb3c358d1d2d472e73b58924faafc2c8fa1f784c536bbaa9c361235b56,0ffb1ef17e7849e58ed233946f58760bc00c7198ade8448aa02259104925669c
"130011","1","1","1","0","1001","bsm_idle_yamato","0","1.3","100","0"
"bsm_drama_arm_crossed","130011","3","1","1","1002","","bsm_drama_arm_crossed_loop","0.2","0","0"
"vo_minigame_1014_top_1000","vo_minigame_1014","21","1","","1003","","0","","0",""
"弱肉強食很好啊。\n從正面上贏不了的時候，\n也要去想怎樣才能出乎對方預料。","130011","11","1","0","1004","1","1","0","5","0"
"","0","91","1","","1005","","","","",""
"bsm_idle_yamato","130011","3","1","","1006","","","0.3","1",""
"130011","1","1","2","0","2001","bsm_idle_yamato","0","1.3","100","0"
"bsm_drama_thinking","130011","3","2","","2002","","","0.2","1",""
"vo_minigame_1014_top_1001","vo_minigame_1014","21","2","","2003","","0","","0",""
"總有一天\n我也來教若菜，\n戰勝敵人之後\n品嘗的八鹽折的滋味吧。","130011","11","2","0","2004","1","1","0","6","0"
"","0","91","2","","2005","","","","",""
"bsm_idle_yamato","130011","3","2","","2006","","","0.3","1",""
"130011","1","1","3","0","3001","bsm_idle_yamato","0","1.3","100","0"
"bsm_drama_doya","130011","3","3","1","3002","","bsm_drama_doya_loop","0.2","0","0"
"vo_minigame_1014_top_1002","vo_minigame_1014","21","3","","3003","","0","","0",""
"作為維修員，\n布武機的技術好到像神一樣啊……\n她是我妹妹\n真的是太好了。","130011","11","3","0","3004","1","1","0","7","0"
"","0","91","3","","3005","","","","",""
"bsm_idle_yamato","130011","3","3","","3006","","","0.3","1",""
"130111","1","1","4","0","4001","bsm_idle_wakana","0","1.3","100","0"
"bsm_drama_guts","130111","3","4","1","4002","","bsm_drama_guts_loop","0.2","0","0"
"vo_minigame_1014_top_2000","vo_minigame_1014","21","4","","4003","","0","","0",""
"雖然很對不起\n各位參加者……\n但是為了還錢，\n我要贏下這場比賽！","130111","11","4","0","4004","1","1","0","8","0"
"","0","91","4","","4005","","","","",""
"bsm_idle_wakana","130111","3","4","","4006","","","0.3","1",""
"130111","1","1","5","0","5001","bsm_idle_wakana","0","1.3","100","0"
"bsm_drama_wish","130111","3","5","","5002","","","0.2","1",""
"vo_minigame_1014_top_2001","vo_minigame_1014","21","5","","5003","","0","","0",""
"雖然這樣說\n有點那個……\n但是姊姊看起來很開心，\n我也很高興。","130111","11","5","0","5004","1","1","0","8","0"
"","0","91","5","","5005","","","","",""
"bsm_idle_wakana","130111","3","5","","5006","","","0.3","1",""
"130111","1","1","6","0","6001","bsm_idle_wakana","0","1.3","100","0"
"bsm_drama_pazzled","130111","3","6","","6002","","","0.2","1",""
"vo_minigame_1014_top_2002","vo_minigame_1014","21","6","","6003","","0","","0",""
"要怎麼樣\n才能讓布武機\n吃蔬菜呢……\n要、要更強硬一點……？","130111","11","6","0","6004","1","1","0","7","0"
"","0","91","6","","6005","","","","",""
"bsm_idle_wakana","130111","3","6","","6006","","","0.3","1",""
"130211","1","1","7","0","7001","bsm_idle_fubuki","0","1.3","100","0"
"bsm_drama_smile","130211","3","7","","7002","","","0.2","1",""
"vo_minigame_1014_top_3000","vo_minigame_1014","21","7","","7003","","0","","0",""
"對戰對手的工作是～\n替我們\n搬運獎金過來♪\n請多指教囉～♡","130211","11","7","0","7004","1","1","0","5","0"
"","0","91","7","","7005","","","","",""
"bsm_idle_fubuki","130211","3","7","","7006","","","0.2","1",""
"130211","1","1","8","0","8001","bsm_idle_fubuki","0","1.3","100","0"
"bsm_drama_doya","130211","3","8","1","8002","","bsm_drama_doya_loop","0.2","0",""
"vo_minigame_1014_top_3001","vo_minigame_1014","21","8","","8003","","0","","0",""
"倭姊已經\n穩拿第一了啊～♪\n把獎金全部拿走\n也沒關係吧～？","130211","11","8","0","8004","1","1","0","7","0"
"","0","91","8","","8005","","","","",""
"bsm_idle_fubuki","130211","3","8","","8006","","","0.2","1",""
"130211","1","1","9","0","9001","bsm_idle_fubuki","0","1.3","100","0"
"bsm_drama_laugh","130211","3","9","1","9002","","bsm_drama_laugh_loop","0.2","0","0"
"vo_minigame_1014_top_3002","vo_minigame_1014","21","9","","9003","","0","","0",""
"把大哥哥當子彈\n射出去的武器，如何啊～？\n呀哈哈，感覺很弱呢～♡","130211","11","9","0","9004","1","1","0","7","0"
"","0","91","9","","9005","","","","",""
"bsm_idle_fubuki","130211","3","9","","9006","","","0.2","1",""
