8373d38af189572810bf30c2b137b0bb4da09f9550a987997070759ec3a08564,fdbfd0af27442aeb0e914ba7d6fe759e4c262b0d9fdb13c2452d0f1fb0c0a3fb,bcead57832fe046e7ff220030e7e929d3f599f85e08851eaa43d9a034e93bd65,a2db653688e75cf3d7f9b0b9802a6275780b602ba0321a3461319b003720ceec,9c6894da6fa9a21154469ff4034898184d0293a89db51aae5a0d2f979c3a959c,50fff968f40c5fee07f01c2b4612e191b1efe7a4b9472bad67ddc366e31f9012,a8699900d8ddd9889bc69eb22b997b2801424f8181e20af05d4815cd430ff016,dc8dd384eb9b9838594a06cfd014cd252935d0b1ebce70b325e3284aa4b19019,68e4c3a18a9bdc4fadea95e92682d4c359fbe546024dc7db440b1fceb8e7a399,1799f38a78c6ed1ca11c112893575a2943ce6510e22d8e2e21504cd9b9ee4acf,ccb23d65dae604934a42329d7e80e932cc79463205059eed9af21d50606cb06b
"122611","-194","1","1","1","1001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_wish_look","","1","122611","3","1002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_001","","1","vo_minigame_1010","21","1003","","","0","0",""
"騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","0","1","122611","11","1004","1","0","1","10","0"
"","","1","0","91","1005","","","","",""
"sjr_talk_idle","","1","122611","3","1006","","0.2","","1",""
"122611","-194","2","1","1","2001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_mouth_hidden_shy","","2","122611","3","2002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_002","","2","vo_minigame_1010","21","2003","","","0","0",""
"要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","0","2","122611","11","2004","1","0","1","5","0"
"","","2","0","91","2005","","","","",""
"sjr_talk_idle","","2","122611","3","2006","","0.2","","1",""
"122611","-194","3","1","1","3001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_stepback_surprise_worry","1","3","122611","3","3002","","0.2","sjr_talk_stepback_worry","0","0"
"vo_minigame_1010_top_talk_1_003","","3","vo_minigame_1010","21","3003","","","0","0",""
"那個人的速度\n好像很快……！\n我贏得了嗎……？","0","3","122611","11","3004","1","0","1","7","0"
"","","3","0","91","3005","","","","",""
"sjr_talk_idle","","3","122611","3","3006","","0.2","","1",""
"122611","-194","4","1","1","4001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_thinking_surprise","","4","122611","3","4002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_004","","4","vo_minigame_1010","21","4003","","","0","0",""
"有很多奇特的\n路線呢。\n要選哪個呢……？","0","4","122611","11","4004","1","0","1","5","0"
"","","4","0","91","4005","","","","",""
"sjr_talk_idle","","4","122611","3","4006","","0.2","","1",""
"122611","-194","5","1","1","5001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_guts2_anger","1","5","122611","3","5002","","0.2","sjr_talk_guts2_anger_loop","0","0"
"vo_minigame_1010_top_talk_1_005","","5","vo_minigame_1010","21","5003","","","0","0",""
"怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！","0","5","122611","11","5004","1","0","1","6","0"
"","","5","0","91","5005","","","","",""
"sjr_talk_idle","","5","122611","3","5006","","0.2","","1",""
"122511","-194","6","1","1","6001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_arm_crossed_joy_look","1","6","122511","3","6002","","0.2","sjr_talk_arm_crossed_look_loop","0","0"
"vo_minigame_1010_top_talk_1_006","","6","vo_minigame_1010","21","6003","","","0","0",""
"像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。","0","6","122511","11","6004","1","0","1","5","0"
"","","6","0","91","6005","","","","",""
"sjr_talk_idle","","6","122511","3","6006","","0.2","","1",""
"122511","-194","7","1","1","7001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_mouth_hidden2_shy","","7","122511","3","7002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_007","","7","vo_minigame_1010","21","7003","","","0","0",""
"穿這樣跑\n好羞恥啊……\n別盯著我看……","0","7","122511","11","7004","1","0","1","4","0"
"","","7","0","91","7005","","","","",""
"sjr_talk_idle","","7","122511","3","7006","","0.2","","1",""
"122511","-194","8","1","1","8001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_mouth_hidden","","8","122511","3","8002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_008","","8","vo_minigame_1010","21","8003","","","0","0",""
"哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！","0","8","122511","11","8004","1","0","1","5","0"
"","","8","0","91","8005","","","","",""
"sjr_talk_idle","","8","122511","3","8006","","0.2","","1",""
"122511","-194","9","1","1","9001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_stepback_surprise","","9","122511","3","9002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_009","","9","vo_minigame_1010","21","9003","","","0","0",""
"路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？","0","9","122511","11","9004","1","0","1","5","0"
"","","9","0","91","9005","","","","",""
"sjr_talk_idle","","9","122511","3","9006","","0.2","","1",""
"122511","-194","10","1","1","10001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_thinking_blink","","10","122511","3","10002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_010","","10","vo_minigame_1010","21","10003","","","0","0",""
"優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。","0","10","122511","11","10004","1","0","1","4","0"
"","","10","0","91","10005","","","","",""
"sjr_talk_idle","","10","122511","3","10006","","0.2","","1",""
"122411","-194","11","1","1","11001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_eieio","1","11","122411","3","11002","","0.2","sjr_talk_eieio_loop","0","0"
"vo_minigame_1010_top_talk_1_011","","11","vo_minigame_1010","21","11003","","","0","0",""
"暖身運動也很完美！\n我會第一個\n搶到的──！","0","11","122411","11","11004","1","0","1","5","0"
"","","11","0","91","11005","","","","",""
"sjr_talk_idle","","11","122411","3","11006","","0.2","","1",""
"122411","-194","12","1","1","12001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_arm_opened_wink","","12","122411","3","12002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_012","","12","vo_minigame_1010","21","12003","","","0","0",""
"欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！","0","12","122411","11","12004","1","0","1","6","0"
"","","12","0","91","12005","","","","",""
"sjr_talk_idle","","12","122411","3","12006","","0.2","","1",""
"122411","-194","13","1","1","13001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_doya","1","13","122411","3","13002","","0.2","sjr_talk_doya_loop","0","0"
"vo_minigame_1010_top_talk_1_013","","13","vo_minigame_1010","21","13003","","","0","0",""
"啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪","0","13","122411","11","13004","1","0","1","8","0"
"","","13","0","91","13005","","","","",""
"sjr_talk_idle","","13","122411","3","13006","","0.2","","1",""
"122411","-194","14","1","1","14001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_watch_arm_opened","1","14","122411","3","14002","","0.2","sjr_talk_swing_joy","0","0"
"vo_minigame_1010_top_talk_1_014","","14","vo_minigame_1010","21","14003","","","0","0",""
"要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！","0","14","122411","11","14004","1","0","1","6","0"
"","","14","0","91","14005","","","","",""
"sjr_talk_idle","","14","122411","3","14006","","0.2","","1",""
"122411","-194","15","1","1","15001","sjr_talk_idle","1.65","40","100","1"
"sjr_talk_wish_doya","","15","122411","3","15002","","0.2","","1",""
"vo_minigame_1010_top_talk_1_015","","15","vo_minigame_1010","21","15003","","","0","0",""
"好想和優衣與怜\n她們兩人一起\n競爭呢！","0","15","122411","11","15004","1","0","1","5","0"
"","","15","0","91","15005","","","","",""
"sjr_talk_idle","","15","122411","3","15006","","0.2","","1",""
"122611","-194","16","1","1","16001","sjr_talk_idle","1.65","72","100","1"
"122511","-194","16","1","1","16002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_wish_doya","","16","122611","3","16003","","0.2","","1",""
"vo_minigame_1010_top_talk_2_001","","16","vo_minigame_1010","21","16004","","","0","0",""
"怜，\n彼此都要盡全力跑喔！\n我會以真本事挑戰的。","0","16","122611","11","16005","1","0","1","4","0"
"","","16","0","91","16006","","","","",""
"sjr_talk_idle","","16","122611","3","16007","","0.2","","1",""
"sjr_talk_arm_crossed_normal_joy","1","16","122511","3","16008","","0.2","sjr_talk_arm_crossed_joy_loop","0","0"
"vo_minigame_1010_top_talk_2_002","","16","vo_minigame_1010","21","16009","","","0","0",""
"優衣……\n有說到做到呢。\n呵呵，既然如此，\n我也要回應那股氣勢！","0","16","122511","11","16010","0.5","0","1","5","0"
"","","16","0","91","16011","","","","",""
"sjr_talk_idle","","16","122511","3","16012","","0.2","","1",""
"122611","-194","17","1","1","17001","sjr_talk_idle","1.65","72","100","1"
"122511","-194","17","1","1","17002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_worry_shy","","17","122511","3","17003","","0.2","","1",""
"vo_minigame_1010_top_talk_2_003","","17","vo_minigame_1010","21","17004","","","0","0",""
"我說優衣，\n要穿著泳裝跑步\n是不是有點……","0","17","122511","11","17005","0.5","0","1","7","0"
"","","17","0","91","17006","","","","",""
"sjr_talk_idle","","17","122511","3","17007","","0.2","","1",""
"sjr_talk_wish_shy","","17","122611","3","17008","","0.2","","1",""
"vo_minigame_1010_top_talk_2_004","","17","vo_minigame_1010","21","17009","","","0","0",""
"嗯，很害羞吧。\n一想到會被騎士先生\n看到就……\n……嗚嗚～～～！","0","17","122611","11","17010","0.5","0","1","5","0"
"","","17","0","91","17011","","","","",""
"sjr_talk_idle","","17","122611","3","17012","","0.2","","1",""
"sjr_talk_thinking_blink_light","1","17","122511","3","17013","","0.2","sjr_talk_thinking_light","0","0"
"vo_minigame_1010_top_talk_2_005","","17","vo_minigame_1010","21","17014","","","0","0",""
"不，等等……\n優衣害羞的時候\n逃跑速度就會變快……\n如果利用這點……！","0","17","122511","11","17015","0.5","0","1","6","0"
"","","17","0","91","17016","","","","",""
"sjr_talk_idle","","17","122511","3","17017","","0.2","","1",""
"122611","-194","18","1","1","18001","sjr_talk_idle","1.65","72","100","1"
"122511","-194","18","1","1","18002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_wish_surprise","","18","122611","3","18003","","0.2","","1",""
"vo_minigame_1010_top_talk_2_006","","18","vo_minigame_1010","21","18004","","","0","0",""
"總覺得所有路線\n都很厲害呢……\n是怎麼做出來\n的呢……","0","18","122611","11","18005","0.5","0","1","6","0"
"","","18","0","91","18006","","","","",""
"sjr_talk_idle","","18","122611","3","18007","","0.2","","1",""
"sjr_talk_arm_crossed_normal2","1","18","122511","3","18008","","0.2","sjr_talk_arm_crossed_normal2_loop","0","0"
"vo_minigame_1010_top_talk_2_007","","18","vo_minigame_1010","21","18009","","","0","0",""
"不能在意喔！\n這種時候坦率地\n享受是最好的！","0","18","122511","11","18010","0.5","0","1","6","0"
"","","18","0","91","18011","","","","",""
"sjr_talk_idle","","18","122511","3","18012","","0.2","","1",""
"122611","-194","19","1","1","19001","sjr_talk_idle","1.65","72","100","1"
"122411","-194","19","1","1","19002","sjr_talk_idle","1.65","-72","100","0"
"sjr_talk_wave_hand","1","19","122611","3","19003","","0.2","sjr_talk_idle_joy","0","0"
"vo_minigame_1010_top_talk_2_008","","19","vo_minigame_1010","21","19004","","","0","0",""
"日和\n覺得享受嗎？","0","19","122611","11","19005","0.5","0","1","8","0"
"","","19","0","91","19006","","","","",""
