fe4177a4071e516db0e5dec6804515b12317d032e04693f1e1d9389983d85b4b,2ac2aba330646fa60988b80f4e8f34b6e2457f0635d5c3f453ed2feb19d37280,25403db11eac9360c52fb4907a72d1f179ea3f2863cffaa66cd6c88134057bc5,5fdc5d6af5ab625ee787f8b4866ba7956c8a2b83b7b2a5696eeea3e67c03de61,09e6cac3f1d454bbea39b79b497fa8dfc1694354b624c16fc0f2c698519994e8
"1","1","100","8","91002"
"2","2","100","8","91002"
"3","3","100","8","91002"
"4","4","100","8","91002"
"5","5","100","8","91002"
"6","6","500","2","23003"
"7","7","100","4","140001"
"8","8","1","2","21953"
"9","9","500","2","23003"
"10","10","100","2","25001"
"11","11","100","2","90005"
"12","12","1","2","41000"
"13","13","500","2","23003"
"14","14","10000","2","25011"
"15","15","10000","2","25012"
"16","16","10000","2","25013"
"17","17","10000","2","25014"
"18","18","10000","2","25015"
"19","19","5000","2","25021"
"20","20","1","2","25101"
"21","21","100","2","23003"
"22","22","10000","2","25011"
"23","23","10000","2","25012"
"24","24","10000","2","25013"
"25","25","10000","2","25014"
"26","26","10000","2","25015"
"27","27","5000","2","25021"
"28","28","100","8","91002"
"29","29","150","2","23003"
"30","30","150","2","23003"
"31","31","150","2","23003"
"32","32","150","2","23003"
"33","33","150","2","23003"
"34","34","150","2","23003"
"35","35","50000","2","26202"
"36","36","50000","2","26202"
"37","37","1","2","26203"
"38","38","50000","2","26202"
"39","39","50000","2","26202"
"40","40","1","2","26203"
"41","41","50000","2","26202"
"42","42","50000","2","26202"
"43","43","1","2","26203"
"44","44","50000","2","26202"
"45","45","50000","2","26202"
"46","46","1","2","26203"
"47","47","50000","2","26202"
"48","48","50000","2","26202"
"49","49","1","2","26203"
"50","50","100000","2","26202"
"51","51","100000","2","26202"
"52","52","1","2","26203"
"53","53","100000","2","26202"
"54","54","100000","2","26202"
"55","55","1","2","26203"
"56","56","100000","2","26202"
"57","57","100000","2","26202"
"58","58","1","2","26203"
"59","59","100000","2","26202"
"60","60","100000","2","26202"
"61","61","1","2","26203"
"62","62","100000","2","26202"
"63","63","100000","2","26202"
"64","64","1","2","26203"
