b99b00de6bd131ccc615ab7a11db1dc5532ea3d1846e4c6179ca1be94bd0747c,3fa1932bc69bf5de025687b6b9ae2ba1f0ad5b6a19a736c1868ff268fbcf7808,7e7fc4099b3f57510605f78d5ff67c4220987830d8fda3a78d3bd494ab85a2bd,38d31ed64daa21b6b4a14b0b2a6cbf91d60672d0317789e9b8eb16bef6118790
"1001","無法戰鬥的角色為0人以下時獲勝","0","100101"
"1001","無法戰鬥的角色為1人以下時獲勝","1","100102"
"1001","無法戰鬥的角色為2人以下時獲勝","2","100103"
"1002","戰鬥剩餘時間為1:15以上時獲勝","74001","100201"
"1002","戰鬥剩餘時間為1:10以上時獲勝","69001","100202"
"1002","戰鬥剩餘時間為1:00以上時獲勝","59001","100203"
"1002","戰鬥剩餘時間為0:50以上時獲勝","49001","100204"
"1002","戰鬥剩餘時間為0:45以上時獲勝","44001","100205"
"1002","戰鬥剩餘時間為0:40以上時獲勝","39001","100206"
"1002","戰鬥剩餘時間為0:30以上時獲勝","29001","100207"
"1003","我方的Total HP為100%以上時獲勝","1000","100301"
"1003","我方的Total HP為90%以上時獲勝","900","100302"
"1003","我方的Total HP為80%以上時獲勝","800","100303"
"1003","我方的Total HP為70%以上時獲勝","700","100304"
"1003","我方的Total HP為60%以上時獲勝","600","100305"
"1003","我方的Total HP為50%以上時獲勝","500","100306"
"1003","我方的Total HP為99%以上時獲勝","990","100307"
