b4f03d63541413c55614d2cd9b53a59ec9b2b2ddae2520ccf6be1740b325b698,33370d199ed94e41d3e747da17ec8793d206cc6ac3a78de3501500816a639909,2f9787505ce4a43744268a2b941271891ae3149f2118adabef6a09998f979457,ce1deb4a76f533042a00ddb60a0edbd19b1ba6401710ed53cc5b0e10dd2b5c46,582e38b3531a04734a5c511f98f709e7fdee244c426d66581f9e4722f9712812,8c59db0d80ecf45a3110d2c7547b121dfd65c61b09acfb98dab84389ea367dcc,7c35143c72018937930d05c23a2044124be549081b74c4485cb096c80075c69a,15d4a6dfb43fc4054ac9692567d1ca4f7eb10aa220183f8b12b17d10f110f4df,7fb5effce196392e0f9b3e96ab6831b4052a6f7e8b69647fa59a5ee779dded3b,4fd057a8d784c81a0501c4de0c1f35b432b9fa55f5f3ca12a3b852eeba5c1c94,61a80dd657dc6d88f494936cb7d56ae5996a5fe8aba8461e0bf123603878e31c,ba0992207cb933dbbf96639ef0892e66e53c4eae97c29c1818c6f2abead3709d,8a2ba3a4ebab3bd49ce680c172566897753d96740ca958e9ddc9d31f80050dec,2073adf1098f1ac423c89ebed6a19a70de366208b2be45df18ed8826fd2fc460,e829f3b86a73e73960e87f4d0cec7d059bdd36f8d1e56d52e6dbacd5b3963a6b,049e4478298e6a3653654e3c30c5e2095d532a8ea5ae3936923f0e742bd1e512,bb6e2f0744afdeb1abb3971a1e894359e03368a7d75ed0609bb426c097cacaba,d22b8991b62780a89e35b169dc714815d968a71a66e3dd7fa8ae4d03d172354d
"20000","5000","分數累積獲得 20000 分","94002","0","0","0","0","0","1","0","0","0","0","0","0","0","12"
"40000","10000","分數累積獲得 40000 分","94002","0","0","0","0","0","2","0","0","0","0","0","0","0","12"
"60000","15000","分數累積獲得 60000 分","94002","0","0","0","0","0","3","0","0","0","0","0","0","0","12"
"80000","20000","分數累積獲得 80000 分","94002","0","0","0","0","0","4","0","0","0","0","0","0","0","12"
"100000","50","分數累積獲得 100000 分","91002","5","23001","0","0","2","5","0","0","0","0","0","0","0","8"
"120000","25000","分數累積獲得 120000 分","94002","0","0","0","0","0","6","0","0","0","0","0","0","0","12"
"140000","30000","分數累積獲得 140000 分","94002","0","0","0","0","0","7","0","0","0","0","0","0","0","12"
"160000","35000","分數累積獲得 160000 分","94002","0","0","0","0","0","8","0","0","0","0","0","0","0","12"
"180000","40000","分數累積獲得 180000 分","94002","0","0","0","0","0","9","0","0","0","0","0","0","0","12"
"200000","50","分數累積獲得 200000 分","91002","5","23001","0","0","2","10","0","0","0","0","0","0","0","8"
"220000","55000","分數累積獲得 220000 分","94002","0","0","0","0","0","11","0","0","0","0","0","0","0","12"
"240000","35000","分數累積獲得 240000 分","94002","0","0","0","0","0","12","0","0","0","0","0","0","0","12"
"260000","40000","分數累積獲得 260000 分","94002","0","0","0","0","0","13","0","0","0","0","0","0","0","12"
"280000","45000","分數累積獲得 280000 分","94002","0","0","0","0","0","14","0","0","0","0","0","0","0","12"
"300000","150","分數累積獲得 300000 分","91002","10","23001","0","0","2","15","0","0","0","0","0","0","0","8"
