ad550fd3355843b0884dd5e0f3bfbdaf1e295a512d31dac8440a6acb77e9e7fb,4ba96dd5a9f8a8dd2cbcb4cc4127226ab71c1eef26123b274b1acb7b9bfb5bfe,bc83ba97d919a79b977b2c7a5004b556ba2fafa2deb9d1d5ee94c61a25612b61,c9140e8d71987cd5c31b16f59e36a6887723a9901e91d4d379ac36548497d12c,4df7081f089e932a0e52fff4da2468005bbad9eb815bbca008c74c06ad4b0694,3d3ff84025d4cd1ee14fc9cdc71b549d01ee2d190c77429d87a89fec3fe5e7a0,bf153be973d73d23811250a85d46c6a8de57f90fee71de4ae0a3445fddd6d026,4195652828942ca5e78610dcd456327f0c5fe6bc44bff6b43acdbba2f9ef0aab,5dacf3380988785a4f30fbca1a31d3e24f4ca9d450622854b3b60ef1fe2dc085
"1","6","1","3","2","3","2","100101","2"
"2","5","3","2","1","3","1","100201","1"
"3","7","1","3","3","2","1","100301","2"
"3","13","1","3","2","2","2","100401","2"
"2","18","2","1","2","3","2","100501","3"
"2","25","1","2","2","3","1","100601","3"
"2","26","3","2","3","3","2","100701","1"
"3","40","3","1","3","2","2","100801","1"
"2","34","1","3","3","2","1","100901","3"
"2","8","3","2","1","3","1","101001","1"
"2","56","2","2","2","3","3","101101","1"
"2","43","1","3","2","1","3","101201","2"
"3","33","1","1","2","3","1","101301","3"
"2","11","3","1","1","2","1","101401","2"
"3","42","3","2","1","2","1","101501","1"
"3","46","2","1","2","3","3","101601","1"
"2","10","1","1","2","3","3","101701","2"
"3","45","3","1","1","2","1","101801","2"
"1","12","2","3","1","3","2","102001","2"
"3","30","1","2","1","3","1","102101","2"
"3","24","1","2","1","1","3","102201","2"
"1","31","1","3","2","3","2","102301","3"
"2","29","3","1","1","2","3","102501","1"
"1","51","3","2","1","3","2","102601","1"
"3","36","2","3","3","1","2","102701","1"
"3","28","2","1","1","2","2","102801","1"
"2","52","2","2","1","3","2","102901","1"
"3","39","2","1","2","3","1","103001","2"
"1","27","3","3","3","2","2","103101","1"
"2","19","3","3","2","1","2","103201","1"
"1","48","2","3","2","3","1","103301","2"
"2","20","2","2","1","1","2","103401","3"
"2","14","3","1","3","1","2","103601","3"
"3","17","1","1","3","2","2","103701","3"
"1","49","3","2","3","2","1","103801","3"
"1","44","2","2","1","1","3","104001","3"
"2","53","3","1","3","2","2","104201","2"
"2","9","1","3","3","2","3","104301","1"
"1","23","3","3","3","2","1","104401","2"
"2","38","2","2","1","2","1","104501","3"
"1","21","3","2","2","2","3","104601","1"
"2","15","1","1","3","2","3","104701","3"
"3","22","1","2","3","1","3","104801","2"
"2","55","2","3","1","2","2","104901","1"
"2","47","2","1","1","3","3","105001","2"
"1","35","3","1","3","1","3","105101","2"
"2","50","2","2","2","3","2","105201","1"
"3","37","1","3","3","2","2","105301","1"
"1","54","2","2","2","3","3","105401","1"
"1","41","2","3","1","2","1","105501","3"
"2","32","1","2","3","3","3","105601","1"
"2","67","1","2","1","3","2","105701","2"
"2","1","2","2","2","3","2","105801","1"
"2","2","3","2","1","2","1","105901","2"
"1","3","2","1","3","2","3","106001","3"
"2","58","1","3","2","3","2","106101","2"
"1","68","1","3","1","3","2","106301","2"
"2","4","1","2","1","3","2","106401","3"
"2","61","1","1","3","3","2","106501","3"
"1","62","3","1","2","3","2","106601","3"
"2","60","2","1","3","2","1","106701","2"
"2","57","1","1","1","1","2","106801","3"
"1","59","3","2","3","1","1","107001","2"
"3","16","1","2","3","1","2","107101","2"
"2","70","2","2","1","2","1","109201","2"
"2","72","2","2","2","3","3","109301","1"
"3","71","1","1","3","2","3","109401","2"
"2","64","1","2","1","2","3","110801","2"
"3","65","2","1","2","2","2","110901","1"
"1","63","3","1","3","3","1","111001","2"
"1","69","2","2","2","2","3","111401","3"
"2","66","3","1","2","1","3","118001","2"
