5514d0ee77a5bc4a3d4dd0c1eea372344f9cdf7e52fa63904c7c800d27733cb2,783228da3365d9773174d01d8b3ba2b0dacf43984a27ef8b1dea148a2ae82a05,cfef6262ce8e4757ba57ade549ebd2beccf97ff1cbe13183bb360b23d86292f4,013c3b41e5a74239938e2aef978b63b7cd53cf25459d23307c83b6ebcb557ed1,30938ec6cbbf5372d4aaf223e0eb97a64ad2efb1ea4eb389b62ad3768531c33e,2d81c5035359a5a4de9d5be3fc6573fd8b02e69e0c97a0bb57b9b45409a66c0d,7a42a67f478d1ed8f55e0c746589906cd704f5b85a324e7ef199fb180441dd49,37f91f90114b2c749a731ed58602645012f490b4fff64ee88eacec11ba2af371,263650eaf8ed7d5a3db2a801d29e60d13b4f41b8763f0bc9c9c28dbd4e3baa3d
"32000101","1","7008","32000101","1010","所有玩家合力打倒100,000次蠻賊三姊妹","100000","1002","1"
"32000102","1","7008","32000102","1010","所有玩家合力打倒150,000次蠻賊三姊妹","150000","1002","2"
"32000103","1","7008","32000103","1010","所有玩家合力打倒200,000次蠻賊三姊妹","200000","1002","3"
"32000104","1","7008","32000104","1010","所有玩家合力打倒100,000次芙蕾雅","100000","1003","4"
"32000105","1","7008","32000105","1010","所有玩家合力打倒150,000次芙蕾雅","150000","1003","5"
"32000106","1","7008","32000106","1010","所有玩家合力打倒200,000次芙蕾雅","200000","1003","6"
"32000107","0","7008","32000107","1010","所有玩家合力打倒200,000次阿剌克涅","200000","1004","7"
"32000108","0","7008","32000108","1010","所有玩家合力打倒300,000次阿剌克涅","300000","1004","8"
"32000109","0","7008","32000109","1010","所有玩家合力打倒400,000次阿剌克涅","400000","1004","9"
"32000110","1","7007","32000110","1009","挑戰1次成群的寶石蜘蛛","1","1001","10"
"32000111","1","7007","32000111","1009","打倒1次蠻賊三姊妹","1","1002","11"
"32000112","1","7007","32000112","1009","打倒1次芙蕾雅","1","1003","12"
"32000113","0","7007","32000113","1009","打倒1次阿剌克涅","1","1004","13"
