ab53f2cbc57aa59e08494f6a83632f3d068eff92e462027873ecb49c20d7a048,48f8ccf8766c0f8b7521151476025e391a452f4ae2386843de2965b139d77181,551e5334d7c56869d481e08a974e6bcca09668000dcc59304901fb8a13c2b59b,ae7a95b7ddbac64cbf519c7d3a5fc7fb76d2ada9cb48b1477dc361e261fa5deb,b8861d7d64a100162a286dddb6347dc2bfa53518b8c1c4e42dc8488f94096692,d0dec55679139e11f8b4be4ddc0583f77aa62531aecdb4393fc1685252f54405
"2146041","212","3001","211","1","803100263"
"2146042","212","3002","211","1","803100263"
"2146043","212","3003","211","1","803100263"
"2146044","212","3004","211","1","803100263"
"2147041","212","3006","213","1","803100272"
"2147042","212","3007","213","1","803100272"
"2145039","313","30011","202","1","803100253"
"2145040","302","30012","105","0","803100253"
"2145069","311","30021","204","1","803100256"
"2145070","312","30022","205","1","803100256"
"2145099","310","30031","212","1","803100259"
"2145100","301","30032","107","0","803100259"
"2146039","307","30041","110","0","803100262"
"2146040","302","30042","105","0","803100262"
"2146081","314","30051","203","1","803100267"
"2147019","312","30061","205","1","803100269"
"2147020","303","30062","106","0","803100269"
"2147039","313","30071","202","1","803100271"
"2147040","310","30072","212","1","803100271"
"2145011","100","300101","104","0","803100251"
"2145012","100","300102","104","0","803100251"
"2145013","102","300103","105","0","803100251"
"2145014","100","300104","104","0","803100251"
"2145015","102","300105","105","0","803100251"
"2145016","103","300106","106","0","803100251"
"2145017","102","300107","105","0","803100251"
"2145018","103","300108","106","0","803100251"
"2145019","111","300109","204","1","803100251"
"2145020","100","300110","104","0","803100251"
"2145021","100","300111","104","0","803100252"
"2145022","102","300112","105","0","803100252"
"2145023","100","300113","104","0","803100252"
"2145024","102","300114","105","0","803100252"
"2145025","103","300115","106","0","803100252"
"2145026","102","300116","105","0","803100252"
"2145027","103","300117","106","0","803100252"
"2145028","111","300118","204","1","803100252"
"2145029","100","300119","104","0","803100252"
"2145030","100","300120","104","0","803100252"
"2145031","102","300121","105","0","803100253"
"2145032","100","300122","104","0","803100253"
"2145033","102","300123","105","0","803100253"
"2145034","112","300124","208","1","803100253"
"2145035","110","300125","212","1","803100253"
"2145036","100","300126","104","0","803100253"
"2145037","102","300127","105","0","803100253"
"2145038","103","300128","106","0","803100253"
"2145041","101","300201","107","0","803100254"
"2145042","101","300202","107","0","803100254"
"2145043","102","300203","105","0","803100254"
"2145044","103","300204","106","0","803100254"
"2145045","113","300205","202","1","803100254"
"2145046","114","300206","203","1","803100254"
"2145047","101","300207","107","0","803100254"
"2145048","113","300208","202","1","803100254"
"2145049","114","300209","203","1","803100254"
"2145050","101","300210","107","0","803100254"
"2145051","101","300211","107","0","803100255"
"2145052","102","300212","105","0","803100255"
"2145053","103","300213","106","0","803100255"
"2145054","113","300214","202","1","803100255"
"2145055","114","300215","203","1","803100255"
"2145056","101","300216","107","0","803100255"
"2145057","113","300217","202","1","803100255"
"2145058","114","300218","203","1","803100255"
"2145059","101","300219","107","0","803100255"
"2145060","101","300220","107","0","803100255"
"2145061","102","300221","105","0","803100256"
"2145062","103","300222","106","0","803100256"
"2145063","101","300223","107","0","803100256"
"2145064","112","300224","208","1","803100256"
"2145065","110","300225","212","1","803100256"
"2145066","102","300226","105","0","803100256"
"2145067","103","300227","106","0","803100256"
"2145068","101","300228","107","0","803100256"
"2145071","100","300301","104","0","803100257"
"2145072","101","300302","107","0","803100257"
"2145073","101","300303","107","0","803100257"
"2145074","113","300304","202","1","803100257"
"2145075","114","300305","203","1","803100257"
"2145076","100","300306","104","0","803100257"
"2145077","101","300307","107","0","803100257"
"2145078","111","300308","204","1","803100257"
"2145079","112","300309","205","1","803100257"
"2145080","100","300310","104","0","803100257"
"2145081","101","300311","107","0","803100258"
"2145082","101","300312","107","0","803100258"
"2145083","113","300313","202","1","803100258"
"2145084","114","300314","203","1","803100258"
"2145085","100","300315","104","0","803100258"
"2145086","101","300316","107","0","803100258"
"2145087","111","300317","204","1","803100258"
"2145088","112","300318","205","1","803100258"
"2145089","100","300319","104","0","803100258"
"2145090","101","300320","107","0","803100258"
"2145091","100","300321","104","0","803100259"
"2145092","101","300322","107","0","803100259"
"2145093","113","300323","202","1","803100259"
"2145094","112","300324","208","1","803100259"
"2145095","100","300325","104","0","803100259"
"2145096","101","300326","107","0","803100259"
"2145097","111","300327","204","1","803100259"
"2145098","112","300328","205","1","803100259"
"2146011","102","300401","105","0","803100260"
"2146012","102","300402","105","0","803100260"
"2146013","113","300403","202","1","803100260"
"2146014","114","300404","203","1","803100260"
"2146015","102","300405","105","0","803100260"
"2146016","113","300406","202","1","803100260"
"2146017","114","300407","203","1","803100260"
"2146018","102","300408","105","0","803100260"
"2146019","102","300409","105","0","803100260"
"2146020","102","300410","105","0","803100260"
"2146021","102","300411","105","0","803100261"
"2146022","113","300412","202","1","803100261"
"2146023","114","300413","203","1","803100261"
"2146024","102","300414","105","0","803100261"
"2146025","113","300415","202","1","803100261"
"2146026","114","300416","203","1","803100261"
"2146027","102","300417","105","0","803100261"
"2146028","102","300418","105","0","803100261"
"2146029","113","300419","202","1","803100261"
"2146030","113","300420","202","1","803100261"
"2146031","113","300421","202","1","803100262"
"2146032","114","300422","203","1","803100262"
"2146033","102","300423","105","0","803100262"
"2146034","112","300424","208","1","803100262"
"2146035","110","300425","212","1","803100262"
"2146036","113","300426","202","1","803100262"
"2146037","113","300427","202","1","803100262"
"2146038","102","300428","105","0","803100262"
"2146051","100","300501","104","0","803100264"
"2146052","100","300502","104","0","803100264"
"2146053","100","300503","104","0","803100264"
"2146054","100","300504","104","0","803100264"
"2146055","102","300505","105","0","803100264"
"2146056","103","300506","106","0","803100264"
"2146057","100","300507","104","0","803100264"
"2146058","100","300508","104","0","803100264"
"2146059","102","300509","105","0","803100264"
"2146060","103","300510","106","0","803100264"
"2146061","100","300511","104","0","803100265"
"2146062","100","300512","104","0","803100265"
"2146063","100","300513","104","0","803100265"
"2146064","100","300514","104","0","803100265"
"2146065","102","300515","105","0","803100265"
"2146066","103","300516","106","0","803100265"
"2146067","100","300517","104","0","803100265"
"2146068","100","300518","104","0","803100265"
"2146069","102","300519","105","0","803100265"
"2146070","103","300520","106","0","803100265"
"2146071","100","300521","104","0","803100266"
"2146072","100","300522","104","0","803100266"
