ff254bb96dfb6cf55775937cc405a1b295c92d0cd4d2e31be5b36c6ba0aeb5b8,c853c196b0a34c17250307df73c6919444f92d66a2474ce298498d3fc613fbb6,e5238179598d56d1741337df9e78dc62e0391ce05f1fc42872a2357f39ec06e8,ce7a44745806a94a33d28a3d966132198498e4be4007b819257ccfafe74dcaff,2d2121b1bfc0fe15300a1f04a965cb24572435d0f7ea4ad9a4b1a35a4be893f0,165039f2744754bb3a83c373befa768fc81886f40b5839a89c44af4671ea6aad,fc4981257804daa1efec55c5905d888c4c53e848de3bce58b9576569a84807a5,96ff3f6ec8a590a31ff2989674da176507a991641b3d3c180f799232af3c3aac,2e025dd7247b819bec656ab2d5e35005607c790435d72f5627c82d1de84b818e,23678fa7cf1dde705fef88eae776233687d677025f7d119617e649e4adfb5ddf,f5966949b23f343a750fa129dcf29e1c35f8208364cde00033c0392cd2bcf1e2,70244bf20adeecdc822d44617dae9e2c0565d2fd41ea781e68221d2e96ed2994,59db21aee7cf374834705e282cd6f2c7718a76d514adcae9a87f86069979d6ae,e9c7e316ec5b4369f0ca4c9fe57ff48637efac440e5ceee1c4f384786c934724,5ce3633331f9512566cdaf0b0058369964a315824de375bb94c8695d2d23cae3,5b6f7ebf71c8ad32e0e814acedd3c27f3d25ea9db13c2a6d700c2126ae2f7291,bd9ca98391388606b6232e5357b9e3f0efbb136d5e532fa39209a65c060545f9,a232366d39abcb37ec5e1a2296a92d2e91f3c7eb16f77893ba4e9cc88e31f100
"12","分數累積獲得 20000 分","20000","5000","0","94002","0","0","0","0","0","0","0","0","0","0","1","0"
"12","分數累積獲得 40000 分","40000","10000","0","94002","0","0","0","0","0","0","0","0","0","0","2","0"
"12","分數累積獲得 60000 分","60000","15000","0","94002","0","0","0","0","0","0","0","0","0","0","3","0"
"12","分數累積獲得 80000 分","80000","20000","0","94002","0","0","0","0","0","0","0","0","0","0","4","0"
"8","分數累積獲得 100000 分","100000","50","0","91002","2","0","0","23001","0","0","0","5","0","0","5","0"
"12","分數累積獲得 120000 分","120000","25000","0","94002","0","0","0","0","0","0","0","0","0","0","6","0"
"12","分數累積獲得 140000 分","140000","30000","0","94002","0","0","0","0","0","0","0","0","0","0","7","0"
"12","分數累積獲得 160000 分","160000","35000","0","94002","0","0","0","0","0","0","0","0","0","0","8","0"
"12","分數累積獲得 180000 分","180000","40000","0","94002","0","0","0","0","0","0","0","0","0","0","9","0"
"8","分數累積獲得 200000 分","200000","50","0","91002","2","0","0","23001","0","0","0","5","0","0","10","0"
"12","分數累積獲得 220000 分","220000","55000","0","94002","0","0","0","0","0","0","0","0","0","0","11","0"
"12","分數累積獲得 240000 分","240000","35000","0","94002","0","0","0","0","0","0","0","0","0","0","12","0"
"12","分數累積獲得 260000 分","260000","40000","0","94002","0","0","0","0","0","0","0","0","0","0","13","0"
"12","分數累積獲得 280000 分","280000","45000","0","94002","0","0","0","0","0","0","0","0","0","0","14","0"
"8","分數累積獲得 300000 分","300000","150","0","91002","2","0","0","23001","0","0","0","10","0","0","15","0"
