2d5a822f183e802bdd61847aa3c4f46f6019829dbc30b7673e994818844c4abb,e2d17b05c589c4ee9030c0f7637339e6063af7b137711807b27c9d18a8b0b875,15ec4809e25dd6ed10d64d60f769408550e6023795667435c93668f8b06a3f33,78eac8fc092a2a8b66fd02040fba5658cbd7fa021ee82b6a8037b112caed78bb,405ae016a33c2fb6c414d2fca7fb7aad45e88b78672ced81912375c0d333078a
"2700","1","1","1","0"
"3600","2","1","2","0"
"5400","3","1","3","0"
"3600","4","1","1","1"
"5400","5","1","2","1"
"7200","6","1","3","1"
"1800","7","2","1","0"
"2700","8","2","2","0"
"3600","9","2","3","0"
"2700","10","2","1","1"
"4050","11","2","2","1"
"5400","12","2","3","1"
"1800","13","3","1","0"
"2700","14","3","2","0"
"3600","15","3","3","0"
"2700","16","3","1","1"
"4050","17","3","2","1"
"5400","18","3","3","1"
"1800","19","4","1","0"
"2700","20","4","2","0"
"3600","21","4","3","0"
"2700","22","4","1","1"
"4050","23","4","2","1"
"5400","24","4","3","1"
