1a127a1401e63d60f5d84c25c8e4dbe58f5650d9520875e431d9565ed8562496,1949b490751ad644db31ab6ee3955da03cdf69ed33bcbc1d87794426dc9fee1c,fd5755bdbad1d7c32b7f573d97af1dd59693470ea38ae22f012e66f69a112b9c,0e5351a01bcc580b0d98fd6775d0b116874bf87c3ead917db3bd41af7a2e5a5c,53258d602748c937374eb7b54ce2f92e0c18b7b1e737631eaff3fd0ed7955412,13c87842b34a6bf3f74d4c93ee3b0a705bf533e55700365f1d38a35c7fff6e8b
"1","10101001","58002001","1","15","1001"
"2","10101002","58002002","1","15","1002"
"3","10101003","58002003","1","15","1003"
"4","10201001","56011001","1","15","1001"
"5","10201002","56011002","1","15","1002"
"6","10201003","56011003","1","15","1003"
"7","91002","56011003","50","8","0"
"8","10201004","56011004","1","15","1001"
"9","10201005","56011005","1","15","1002"
"10","10201006","56011006","1","15","1003"
"11","91002","56011006","50","8","0"
"12","10201007","56011007","1","15","1001"
"13","10201008","56011008","1","15","1002"
"14","10201009","56011009","1","15","1003"
"15","91002","56011009","50","8","0"
"16","10201010","56011010","1","15","1001"
"17","10201011","56011011","1","15","1002"
"18","10201012","56011012","1","15","1003"
"19","91002","56011012","50","8","0"
"20","10201013","56011013","1","15","1001"
"21","10201014","56011014","1","15","1002"
"22","10201015","56011015","1","15","1003"
"23","91002","56011015","50","8","0"
"24","10201016","56011016","1","15","1001"
"25","10201017","56011017","1","15","1002"
"26","10201018","56011018","1","15","1003"
"27","91002","56011018","50","8","0"
"28","10201019","56011019","1","15","1001"
"29","10201020","56011020","1","15","1002"
"30","10201021","56011021","1","15","1003"
"31","91002","56011021","50","8","0"
"32","10201022","56011022","1","15","1001"
"33","10201023","56011023","1","15","1002"
"34","10201024","56011024","1","15","1003"
"35","91002","56011024","50","8","0"
"36","10201025","56011025","1","15","1001"
"37","10201026","56011026","1","15","1002"
"38","10201027","56011027","1","15","1003"
"39","91002","56011027","50","8","0"
"40","10201028","56011028","1","15","1001"
"41","10201029","56011029","1","15","1002"
"42","10201030","56011030","1","15","1003"
"43","91002","56011030","50","8","0"
"44","10201031","56011031","1","15","1001"
"45","10201032","56011032","1","15","1002"
"46","10201033","56011033","1","15","1003"
"47","91002","56011033","50","8","0"
"48","10201034","56011034","1","15","1001"
"49","10201035","56011035","1","15","1002"
"50","10201036","56011036","1","15","1003"
"51","91002","56011036","50","8","0"
"52","10201037","56011037","1","15","1001"
"53","10201038","56011038","1","15","1002"
"54","10201039","56011039","1","15","1003"
"55","91002","56011039","50","8","0"
"56","10201040","56011040","1","15","1001"
"57","10201041","56011041","1","15","1002"
"58","10201042","56011042","1","15","1003"
"59","91002","56011042","50","8","0"
"60","10201043","56011043","1","15","1001"
"61","10201044","56011044","1","15","1002"
"62","10201045","56011045","1","15","1003"
"63","91002","56011045","50","8","0"
"64","10201046","56011046","1","15","1001"
"65","10201047","56011047","1","15","1002"
"66","10201048","56011048","1","15","1003"
"67","91002","56011048","50","8","0"
"68","10201049","56011049","1","15","1001"
"69","10201050","56011050","1","15","1002"
"70","10201051","56011051","1","15","1003"
"71","91002","56011051","50","8","0"
"72","10201052","56011052","1","15","1001"
"73","10201053","56011053","1","15","1002"
"74","10201054","56011054","1","15","1003"
"75","91002","56011054","50","8","0"
"76","10201055","56011055","1","15","1001"
"77","10201056","56011056","1","15","1002"
"78","10201057","56011057","1","15","1003"
"79","91002","56011057","50","8","0"
"80","10201058","56011058","1","15","1001"
"81","10201059","56011059","1","15","1002"
"82","10201060","56011060","1","15","1003"
"83","91002","56011060","50","8","0"
"84","10201061","56011061","1","15","1001"
"85","10201062","56011062","1","15","1002"
"86","10201063","56011063","1","15","1003"
"87","91002","56011063","50","8","0"
"88","10201064","56011064","1","15","1001"
"89","10201065","56011065","1","15","1002"
"90","10201066","56011066","1","15","1003"
"91","91002","56011066","50","8","0"
"92","10201067","56011067","1","15","1001"
"93","10201068","56011068","1","15","1002"
"94","10201069","56011069","1","15","1003"
"95","91002","56011069","50","8","0"
"96","10201070","56011070","1","15","1001"
"97","10201071","56011071","1","15","1002"
"98","10201072","56011072","1","15","1003"
"99","91002","56011072","50","8","0"
"100","10201073","56011073","1","15","1001"
"101","10201074","56011074","1","15","1002"
"102","10201075","56011075","1","15","1003"
"103","91002","56011075","50","8","0"
"104","10201076","56011076","1","15","1001"
"105","10201077","56011077","1","15","1002"
"106","10201078","56011078","1","15","1003"
"107","91002","56011078","50","8","0"
"108","10201079","56011079","1","15","1001"
"109","10201080","56011080","1","15","1002"
"110","10201081","56011081","1","15","1003"
"111","91002","56011081","50","8","0"
"112","10201082","56011082","1","15","1001"
"113","10201083","56011083","1","15","1002"
"114","10201084","56011084","1","15","1003"
"115","91002","56011084","50","8","0"
"116","10201085","56011085","1","15","1001"
"117","10201086","56011086","1","15","1002"
"118","10201087","56011087","1","15","1003"
"119","91002","56011087","50","8","0"
"120","10201088","56011088","1","15","1001"
"121","10201089","56011089","1","15","1002"
"122","10201090","56011090","1","15","1003"
"123","91002","56011090","50","8","0"
"124","10201091","56011091","1","15","1001"
"125","10201092","56011092","1","15","1002"
"126","10201093","56011093","1","15","1003"
"127","91002","56011093","50","8","0"
"128","10201094","56011094","1","15","1001"
"129","10201095","56011095","1","15","1002"
"130","10201096","56011096","1","15","1003"
"131","91002","56011096","50","8","0"
"132","10201097","56011097","1","15","1001"
"133","10201098","56011098","1","15","1002"
"134","10201099","56011099","1","15","1003"
"135","91002","56011099","50","8","0"
"136","10201100","56011100","1","15","1001"
"137","10201101","56011101","1","15","1002"
"138","10201102","56011102","1","15","1003"
"139","91002","56011102","50","8","0"
"140","10201103","56011103","1","15","1001"
"141","10201104","56011104","1","15","1002"
"142","10201105","56011105","1","15","1003"
"143","91002","56011105","50","8","0"
"144","10201106","56011106","1","15","1001"
"145","10201107","56011107","1","15","1002"
"146","10201108","56011108","1","15","1003"
"147","91002","56011108","50","8","0"
"148","10201109","56011109","1","15","1001"
"149","10201110","56011110","1","15","1002"
"150","10201111","56011111","1","15","1003"
"151","91002","56011111","50","8","0"
"152","10201112","56011112","1","15","1001"
"153","10201113","56011113","1","15","1002"
"154","10201114","56011114","1","15","1003"
"155","91002","56011114","50","8","0"
"156","10201115","56011115","1","15","1001"
"157","10201116","56011116","1","15","1002"
"158","10201117","56011117","1","15","1003"
"159","91002","56011117","50","8","0"
"160","10201118","56011118","1","15","1001"
"161","10201119","56011119","1","15","1002"
"162","10201120","56011120","1","15","1003"
"163","91002","56011120","50","8","0"
"164","10201121","56011121","1","15","1001"
"165","10201122","56011122","1","15","1002"
"166","10201123","56011123","1","15","1003"
"167","91002","56011123","50","8","0"
"168","10201124","56011124","1","15","1001"
"169","10201125","56011125","1","15","1002"
"170","10201126","56011126","1","15","1003"
"171","91002","56011126","50","8","0"
"172","10201127","56011127","1","15","1001"
"173","10201128","56011128","1","15","1002"
"174","10201129","56011129","1","15","1003"
"175","91002","56011129","50","8","0"
"176","10201130","56011130","1","15","1001"
"177","10201131","56011131","1","15","1002"
"178","10201132","56011132","1","15","1003"
"179","91002","56011132","50","8","0"
"180","10201133","56011133","1","15","1001"
"181","10201134","56011134","1","15","1002"
"182","10201135","56011135","1","15","1003"
"183","91002","56011135","50","8","0"
"184","10201136","56011136","1","15","1001"
"185","10201137","56011137","1","15","1002"
"186","10201138","56011138","1","15","1003"
"187","91002","56011138","50","8","0"
"188","10201139","56011139","1","15","1001"
"189","10201140","56011140","1","15","1002"
"190","10201141","56011141","1","15","1003"
"191","91002","56011141","50","8","0"
"192","10201142","56011142","1","15","1001"
"193","10201143","56011143","1","15","1002"
"194","10201144","56011144","1","15","1003"
"195","91002","56011144","50","8","0"
"196","10201145","56011145","1","15","1001"
"197","10201146","56011146","1","15","1002"
"198","10201147","56011147","1","15","1003"
"199","91002","56011147","50","8","0"
"200","10201148","56011148","1","15","1001"
"201","10201149","56011149","1","15","1002"
"202","10201150","56011150","1","15","1003"
"203","91002","56011150","50","8","0"
"204","10201151","56011151","1","15","1001"
"205","10201152","56011152","1","15","1002"
"206","10201153","56011153","1","15","1003"
"207","91002","56011153","50","8","0"
"208","10201154","56011154","1","15","1001"
"209","10201155","56011155","1","15","1002"
"210","10201156","56011156","1","15","1003"
"211","91002","56011156","50","8","0"
"212","10201157","56011157","1","15","1001"
"213","10201158","56011158","1","15","1002"
"214","10201159","56011159","1","15","1003"
"215","91002","56011159","50","8","0"
"216","10201160","56011160","1","15","1001"
"217","10201161","56011161","1","15","1002"
"218","10201162","56011162","1","15","1003"
"219","91002","56011162","50","8","0"
"220","10201163","56011163","1","15","1001"
"221","10201164","56011164","1","15","1002"
"222","10201165","56011165","1","15","1003"
"223","91002","56011165","50","8","0"
"224","10201166","56011166","1","15","1001"
"225","10201167","56011167","1","15","1002"
"226","10201168","56011168","1","15","1003"
"227","91002","56011168","50","8","0"
"228","10201169","56011169","1","15","1001"
"229","10201170","56011170","1","15","1002"
"230","10201171","56011171","1","15","1003"
"231","91002","56011171","50","8","0"
"232","10201172","56011172","1","15","1001"
"233","10201173","56011173","1","15","1002"
"234","10201174","56011174","1","15","1003"
"235","91002","56011174","50","8","0"
"236","10201175","56011175","1","15","1001"
"237","10201176","56011176","1","15","1002"
"238","10201177","56011177","1","15","1003"
"239","91002","56011177","50","8","0"
"240","10201178","56011178","1","15","1001"
"241","10201179","56011179","1","15","1002"
"242","10201180","56011180","1","15","1003"
"243","91002","56011180","50","8","0"
"244","10201181","56011181","1","15","1001"
"245","10201182","56011182","1","15","1002"
"246","10201183","56011183","1","15","1003"
"247","91002","56011183","50","8","0"
"248","10201184","56011184","1","15","1001"
"249","10201185","56011185","1","15","1002"
"250","10201186","56011186","1","15","1003"
"251","91002","56011186","50","8","0"
"252","10201187","56011187","1","15","1001"
"253","10201188","56011188","1","15","1002"
"254","10201189","56011189","1","15","1003"
"255","91002","56011189","50","8","0"
"256","10201190","56011190","1","15","1001"
"257","10201191","56011191","1","15","1002"
"258","10201192","56011192","1","15","1003"
"259","91002","56011192","50","8","0"
"260","10201193","56011193","1","15","1001"
"261","10201194","56011194","1","15","1002"
"262","10201195","56011195","1","15","1003"
"263","91002","56011195","50","8","0"
"264","10201196","56011196","1","15","1001"
"265","10201197","56011197","1","15","1002"
"266","10201198","56011198","1","15","1003"
"267","91002","56011198","50","8","0"
"268","10201199","56011199","1","15","1001"
"269","10201200","56011200","1","15","1002"
"270","10201201","56011201","1","15","1003"
"271","91002","56011201","50","8","0"
"272","10201202","56011202","1","15","1001"
"273","10201203","56011203","1","15","1002"
"274","10201204","56011204","1","15","1003"
"275","91002","56011204","50","8","0"
"276","10201205","56011205","1","15","1001"
"277","10201206","56011206","1","15","1002"
"278","10201207","56011207","1","15","1003"
"279","91002","56011207","50","8","0"
"280","10201208","56011208","1","15","1001"
"281","10201209","56011209","1","15","1002"
"282","10201210","56011210","1","15","1003"
"283","91002","56011210","50","8","0"
"284","10201211","56011211","1","15","1001"
"285","10201212","56011212","1","15","1002"
"286","10201213","56011213","1","15","1003"
"287","91002","56011213","50","8","0"
