d14af3171265832e385f6b4c6f9a9ad6706adc307884798f9b8aaad0f6598f45,7db413d48a36aa3423a35ab3a270301690d329babc3253960e380aa03de328f0,a6e79fc14ec91ec45c1774380dd7297240ba06b73d9f2c49db9f0b0d0b11c277,8213a7a4315c9f7a5356c842ad2ec82b377621d168b05598bf49e9366bde6ad3,d0895e2639813b33a4f3026942ed0359b4e4c6e2572b449276dc96948f62e3ac,992b0255f7981baf23082dc06a5af6b8c891fba13b1caaaae69a24aaa13290df,f6b79a1a370613bf9fd50ddbe86af9d5f18e5093bc0c0dd435b4116635d362bb,dc973cb12543b49267b31874b6041710819679e851a2a6f4610b96e79a12a1e6,8a7a5f87ba973b66a8e82ad5ba301a05ccf836b6f58ee9f64661c9e1d01ae003,0efc3f8980546060f266c154edab816c0f7f4176f204e468a231d352d7264309,c3cd58db66e7cfc93e41c39c1e02dd74c756cd3e9583ccfb3186b341dcedc5b5
"1","1","lsv_idle_normal","-200","102","1.95","122711","1009801","-495","1009801001","0"
"1","1","lsv_idle_normal","100","100","1.95","122811","1009801","-480","1009801002","1"
"1","1","lsv_idle_normal","270","101","1.95","122911","1009801","-510","1009801003","1"
"1","5","lsv_white_loop","0","0","1","333","1009801","0","1009801004","0"
"333","6","","1","1","0","1","1009801","0","1009801005","0"
"122711","6","","1","1","0","1","1009801","0","1009801006","0"
"122811","6","","1","1","0","1","1009801","0","1009801007","0"
"122911","6","","1","1","0","1","1009801","0","1009801008","0"
"1","93","","","","","0","1009801","","1009801009",""
"333","6","","1","1","0.8","1","1009801","0.4","1009801010","0"
"122711","3","","lsv_idle_normal","0","0.2","lsv_jump1","1009801","1","1009801011","0.2"
"122811","3","","lsv_idle_normal","0","0.2","lsv_jump1","1009801","1","1009801012","0.2"
"122911","3","","lsv_idle_normal","0","0.2","lsv_jump1","1009801","1","1009801013","0.2"
"0.3","93","","","","","","1009801","","1009801014",""
"122711","2","","0.75","-235","","-200","1009801","0","1009801015",""
"122811","2","","0.75","-220","","100","1009801","0","1009801016",""
"122911","2","","0.75","-250","","270","1009801","0","1009801017",""
"122711","6","","1","1","0.4","1","1009801","1","1009801018","0"
"122811","6","","1","1","0.4","1","1009801","1","1009801019","0"
"122911","6","","1","1","0.4","1","1009801","1","1009801020","0"
"2","93","","","","","0","1009801","","1009801021",""
"122911","3","","","1","0.2","lsv_talk_joy1","1009801","","1009801022",""
"vo_lsv","21","","0","0","","vo_lsv_0121","1009801","","1009801023",""
"122911","11","0","1","10","0","「小繆快快長大日記」♪\n開始囉開始囉～","1009801","1","1009801024","0"
"0","91","","","","","","1009801","","1009801025",""
"122911","3","","","1","0.2","lsv_idle_normal_joyR","1009801","","1009801026",""
"122711","3","","","1","0.2","lsv_talk_normal","1009801","","1009801027",""
"vo_lsv","21","","0","0","","vo_lsv_0122","1009801","","1009801028",""
"122711","11","0","1","10","0","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","1009801","1","1009801029","0"
"0","91","","","","","","1009801","","1009801030",""
"122711","3","","","1","0.2","lsv_idle_normal","1009801","","1009801031",""
"122911","3","","","1","0.2","lsv_idle_normal","1009801","","1009801032",""
"122811","3","","lsv_talk_cool_loop","0","0","lsv_talk_cool","1009801","1","1009801033","0.2"
"vo_lsv","21","","0","0","","vo_lsv_0123","1009801","","1009801034",""
"122811","11","0","1","10","0","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","1009801","1","1009801035","0"
"0","91","","","","","","1009801","","1009801036",""
"122811","3","","","1","0.2","lsv_talk_bitter","1009801","","1009801037",""
"vo_lsv","21","","0","0","","vo_lsv_0124","1009801","","1009801038",""
"122811","11","0","1","10","0","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","1009801","1","1009801039","0"
"0","91","","","","","","1009801","","1009801040",""
"122811","3","","","1","0.2","lsv_idle_joy","1009801","","1009801041",""
"122711","3","","","1","0.2","lsv_talk_anger2","1009801","","1009801042",""
"vo_lsv","21","","0","0","","vo_lsv_0125","1009801","","1009801043",""
"122711","11","0","1","10","0","寫、寫得隨興一點……！\n這我做不到。","1009801","1","1009801044","0"
"0","91","","","","","","1009801","","1009801045",""
"122711","3","","","1","0.2","lsv_idle_anger2","1009801","","1009801046",""
"122911","3","","","1","0.2","lsv_talk_normal","1009801","","1009801047",""
"vo_lsv","21","","0","0","","vo_lsv_0126","1009801","","1009801048",""
"122911","11","0","1","10","0","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","1009801","1","1009801049","0"
"0","91","","","","","","1009801","","1009801050",""
"122911","3","","","1","0.2","lsv_idle_normal_joyR","1009801","","1009801051",""
"122711","3","","lsv_talk_guts2_anger_loop","0","0","lsv_talk_guts2_anger","1009801","1","1009801052","0.2"
"vo_lsv","21","","0","0","","vo_lsv_0127","1009801","","1009801053",""
"122711","11","0","1","10","0","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","1009801","1","1009801054","0"
"0","91","","","","","","1009801","","1009801055",""
"122711","3","","","1","0.2","lsv_talk_normal_worry","1009801","","1009801056",""
"vo_lsv","21","","0","0","","vo_lsv_0128","1009801","","1009801057",""
"122711","11","0","1","10","0","因為如果不曉得是什麼生物，\n養起來會很辛苦……\n可別忘了這點喔？","1009801","1","1009801058","0"
"0","91","","","","","","1009801","","1009801059",""
"122711","3","","","1","0.2","lsv_idle_normal","1009801","","1009801060",""
"122811","3","","lsv_idle_normal","0","0","lsv_hello","1009801","1","1009801061","0.2"
"122911","3","","lsv_idle_normal_joyR","0","0","lsv_hello","1009801","1","1009801062","0.2"
"vo_lsv","21","","0","0","","vo_lsv_0129","1009801","","1009801063",""
"122811","11","0","1","10","0","好──！","1009801","1","1009801064","0"
"122911","11","0","1","10","0","好──！","1009801","1","1009801065","0"
"0","91","","","","","","1009801","","1009801066",""
"122711","3","","","1","0.2","lsv_idle_normal","1009801","","1009801067",""
"122911","3","","","1","0.2","lsv_talk_surprise","1009801","","1009801068",""
"vo_lsv","21","","0","0","","vo_lsv_0130","1009801","","1009801069",""
"122911","11","0","1","10","0","小繆好不可思議喔～\n第一次見到時\n真的嚇了一跳！","1009801","1","1009801070","0"
"0","91","","","","","","1009801","","1009801071",""
"122911","3","","","1","0.2","lsv_idle_normal_suprise1","1009801","","1009801072",""
"122811","3","","lsv_talk_cool_loop","0","0","lsv_talk_cool","1009801","1","1009801073","0.2"
"vo_lsv","21","","0","0","","vo_lsv_0131","1009801","","1009801074",""
"122811","11","0","1","10","0","畢竟蛋也跟石頭很像嘛！\n吶，哥哥覺得\n牠是什麼生物？","1009801","1","1009801075","0"
"0","91","","","","","","1009801","","1009801076",""
"122711","3","","lsv_look_idle_normal","0","0","lsv_choice","1009801","1","1009801077","0.2"
"122811","3","","lsv_look_idle_normal","0","0","lsv_choice","1009801","1","1009801078","0.2"
