cd21cde16dbba48afadde34cdf9b3cfff9565aec12c17e599fa49a7d097678c5,8db4f4b2da9fc156bde5cf9e14257f6a820f7b77c2bfb36fb1d600b3289d5221,bacc9b438f83db881252fd77f576b26d22864f3a9ec507ea008fe5555ea9376e,930f2ad7eb6885c689c0f79db3f278092d0f0d0dea8eb07433e9fd75c975864e,ead0222b5df36d91e71d271ebc0eb03b54fc8628b4b0c96d021d617250756b38
"101","單手劍","red","#D23232","90009"
"102","雙手劍","red","#D23232","90009"
"103","短劍","red","#D23232","90009"
"104","槍","red","#D23232","90009"
"105","斧","red","#D23232","90009"
"106","弓","red","#D23232","90009"
"107","拳","red","#D23232","90009"
"108","盾","red","#D23232","90009"
"109","杖","red","#D23232","90009"
"110","書本","red","#D23232","90009"
"201","衣服","blue","#476FD8","90010"
"202","鎧甲","blue","#476FD8","90010"
"203","白長袍","blue","#476FD8","90010"
"204","黑長袍","blue","#476FD8","90010"
"301","戒指","yellow","#E5681E","90011"
"302","手鐲","yellow","#E5681E","90011"
"303","項鍊","yellow","#E5681E","90011"
"304","寶珠","yellow","#E5681E","90011"
"305","耳環","yellow","#E5681E","90011"
