f2ae926720c3a77460b63964eeda4496847a35bf6f4aef5d8864b77685c540ac,38ede7ce5fceefa246b829d7960dd1b45cdeb4e4253039b7cbc5d964b4d6a25c,383741f0a03e09cd0caa704ea1a93dd32653ed5ebe40110fb06cde11b18ba7ef,94135c22ad793fb65d0cf8bbe5079bc437266493b4520ce4cb4e8a9632beea7a,8d714c8cec2a4a109cebe33ee6a55de5b8a276a4f298646134f0c484cca142ef,94aae73230274ab54a888e60838602b3f54559bb6f4380a0e07debe81bcd5f9d
"212","2114001","802100290","1005","211","1"
"212","2114002","802100290","1006","211","1"
"212","2114003","802100290","1007","211","1"
"212","2114004","802100290","1008","211","1"
"100","2113061","802100266","100501","104","0"
"100","2113062","802100266","100502","104","0"
"102","2113063","802100266","100503","105","0"
"103","2113064","802100266","100504","106","0"
"100","2113065","802100266","100505","104","0"
"100","2113066","802100266","100506","104","0"
"102","2113067","802100266","100507","105","0"
"103","2113068","802100266","100508","106","0"
"100","2113069","802100266","100509","104","0"
"100","2113070","802100266","100510","104","0"
"100","2113071","802100267","100511","104","0"
"100","2113072","802100267","100512","104","0"
"102","2113073","802100267","100513","105","0"
"103","2113074","802100267","100514","106","0"
"100","2113075","802100267","100515","104","0"
"100","2113076","802100267","100516","104","0"
"102","2113077","802100267","100517","105","0"
"103","2113078","802100267","100518","106","0"
"100","2113079","802100267","100519","104","0"
"100","2113080","802100267","100520","104","0"
"100","2113081","802100268","100521","104","0"
"100","2113082","802100268","100522","104","0"
"102","2113083","802100268","100523","105","0"
"103","2113084","802100268","100524","106","0"
"100","2113085","802100268","100525","104","0"
"112","2113086","802100268","100526","208","1"
"110","2113087","802100268","100527","201","1"
"100","2113088","802100268","100528","104","0"
"102","2113089","802100268","100529","105","0"
"103","2113090","802100268","100530","106","0"
"114","2113031","802100263","100601","203","1"
"113","2113032","802100263","100602","202","1"
"102","2113033","802100263","100603","105","0"
"103","2113034","802100263","100604","106","0"
"114","2113035","802100263","100605","203","1"
"113","2113036","802100263","100606","202","1"
"111","2113037","802100263","100607","204","1"
"113","2113038","802100263","100608","202","1"
"113","2113039","802100263","100609","202","1"
"103","2113040","802100263","100610","106","0"
"114","2113041","802100264","100611","203","1"
"113","2113042","802100264","100612","202","1"
"102","2113043","802100264","100613","105","0"
"103","2113044","802100264","100614","106","0"
"114","2113045","802100264","100615","203","1"
"113","2113046","802100264","100616","202","1"
"111","2113047","802100264","100617","204","1"
"113","2113048","802100264","100618","202","1"
"113","2113049","802100264","100619","202","1"
"103","2113050","802100264","100620","106","0"
"102","2113051","802100265","100621","105","0"
"114","2113052","802100265","100622","203","1"
"113","2113053","802100265","100623","202","1"
"111","2113054","802100265","100624","204","1"
"103","2113055","802100265","100625","106","0"
"112","2113056","802100265","100626","208","1"
"110","2113057","802100265","100627","201","1"
"114","2113058","802100265","100628","203","1"
"113","2113059","802100265","100629","202","1"
"103","2113060","802100265","100630","106","0"
"112","2113091","802100269","100701","205","1"
"112","2113092","802100269","100702","206","1"
"117","2113093","802100269","100703","102","0"
"102","2113094","802100269","100704","105","0"
"102","2113095","802100269","100705","105","0"
"113","2113096","802100269","100706","202","1"
"114","2113097","802100269","100707","203","1"
"117","2113098","802100269","100708","102","0"
"102","2113099","802100269","100709","105","0"
"113","2113100","802100269","100710","202","1"
"112","2115001","802100270","100711","205","1"
"117","2115002","802100270","100712","102","0"
"102","2115003","802100270","100713","105","0"
"103","2115004","802100270","100714","106","0"
"114","2115005","802100270","100715","203","1"
"113","2115006","802100270","100716","202","1"
"112","2115007","802100270","100717","207","1"
"102","2115008","802100270","100718","105","0"
"103","2115009","802100270","100719","106","0"
"113","2115010","802100270","100720","202","1"
"112","2115011","802100271","100721","205","1"
"112","2115012","802100271","100722","208","1"
"117","2115013","802100271","100723","102","0"
"102","2115014","802100271","100724","105","0"
"103","2115015","802100271","100725","106","0"
"112","2115016","802100271","100726","208","1"
"110","2115017","802100271","100727","201","1"
"117","2115018","802100271","100728","102","0"
"102","2115019","802100271","100729","105","0"
"103","2115020","802100271","100730","106","0"
"104","2113001","802100260","100801","103","0"
"100","2113002","802100260","100802","104","0"
"100","2113003","802100260","100803","104","0"
"102","2113004","802100260","100804","105","0"
"102","2113005","802100260","100805","105","0"
"100","2113006","802100260","100806","104","0"
"100","2113007","802100260","100807","104","0"
"102","2113008","802100260","100808","105","0"
"102","2113009","802100260","100809","105","0"
"101","2113010","802100260","100810","107","0"
"104","2113011","802100261","100811","103","0"
"100","2113012","802100261","100812","104","0"
"100","2113013","802100261","100813","104","0"
"102","2113014","802100261","100814","105","0"
"103","2113015","802100261","100815","106","0"
"100","2113016","802100261","100816","104","0"
"100","2113017","802100261","100817","104","0"
"102","2113018","802100261","100818","105","0"
"103","2113019","802100261","100819","106","0"
"100","2113020","802100261","100820","104","0"
"104","2113021","802100262","100821","103","0"
"100","2113022","802100262","100822","104","0"
"100","2113023","802100262","100823","104","0"
"102","2113024","802100262","100824","105","0"
"102","2113025","802100262","100825","105","0"
"112","2113026","802100262","100826","208","1"
"110","2113027","802100262","100827","201","1"
"102","2113028","802100262","100828","105","0"
"103","2113029","802100262","100829","106","0"
"104","2113030","802100262","100830","103","0"
