110c63d7b3f2ea6ca95a2a92fe813df2ff99ca0c9a27aa8adfa1dbf25d61f38c,f85474fb9de39671fa29002073726c2d4e2120a20535b8e2ae89027fadbfb16a,18637b06d184a3fb358566da70ba614fc119f003d22e2258d10412a02c5a273d,9e152d83dd2b9976c5c13eb0c835fd3e266a725cb371ece14f8ad3d650f02a9d,a429ad86cd080ffaa3343b20d29ebef3d04aa960ab86a17ebe227a7a22593415,a05fc85884160f8a0d2d4a16d3f062773e9314625e00c4d8828ce7f580fc19a8
"750000011","750000101","0","0","0","0"
"750000021","750000201","0","0","0","0"
"750000031","750000301","0","0","0","0"
"750000041","750000401","0","0","0","0"
"750000051","750000501","0","0","0","0"
"750000061","750000601","0","0","0","0"
"750000071","750000701","0","0","0","0"
"750000081","750000801","0","0","0","0"
"750000091","750000901","0","0","0","0"
"750000101","750001001","0","0","0","0"
"750000111","750001101","0","0","0","0"
"750000121","750001201","0","0","0","0"
"760100011","760100101","0","0","0","0"
"760100021","760100201","0","0","0","0"
"760100031","760100301","0","0","0","0"
"760100041","760100401","0","0","0","0"
"760100051","760100501","0","0","0","0"
"760200011","760200101","0","0","0","0"
"760200021","760200201","0","0","0","0"
"760200031","760200301","0","0","0","0"
"760200041","760200401","0","0","0","0"
"760200051","760200501","0","0","0","0"
