e8b2123883a8a68cc2cc5459ac962cf4aa02c27f58b1020bacfc40608fc386e8,c9a992d08b5004fa1d374d93032eb656d4a8450f261629545ba5446078ed5245,bbdbdc82200c659cc0734b1d096060735caa391786ce9b2726edc148d10d23f7,4c0047b421381bb155cfd6b6fcaf980ee7c861e58d00373bd2f9992a46f26525,95520dd5f020988031195beb1b0bded79776cc820a1a3e8286ea2085e2cef415,8a099fb6606ac3c6e96d7d4a4dfbee765b34202a38824321ef15973423752ebe
"#76C5FD","1","1","#3F75C7","#2B5BAA","1"
"#FEAC7B","3","2","#BA5E36","#AA552B","2"
"#B3C0DF","6","4","#616593","#64737E","3"
"#FFD200","10","7","#CC8200","#A37B10","4"
"#f374ff","17","11","#95289f","#7b318a","5"
"#ff5c77","20","18","#CE0030","#a60134","6"
"#2db075","23","21","#31635c","#2c824e","7"
"#ffae00","27","24","#cc2200","#b6401f","8"
"#6EB6C4","31","28","#027FE9","#0082E4","9"
"#ffb193","39","32","#f2523d","#ea6363","10"
"#c0d400","50","40","#606820","#8c941a","11"
