6b24d572255ec13761eece004309603ed2da97d4c8e33e40c944bbef89640f7e,d2234983530b0666fa9014945ffcd4e5c3df67db48e6c8274ed3df97f9cb7a9f,68cecaac99066a27da85c1a3399c4c4349020aaef11e7c6862a30cf5105f4ea9,ff9813cd35cada88bc64529f18de76a296de8ca5f33ac20c234f19a529d89b0c,fc24a1ba9918e849778486ae33d1696a7a3b7cf77977ab1f22a25b3a9e5d7217,185cf227557fd6cfac98648ba49b2a44d5d3d946dc1ffd082b11ba6b2044ca32,75f1e7f9e9b3788717bb5a2b7f977d478c572a23686f43506069f6a196695a85,92323c84ed3daae655c5909b8eb2b99b24180cbae1cf8a3e7910a7cfa72c1c5e,3f1cff6a1b8dce3616519b82a219de520e97e8df59efd31705d5a0129433a297,d12bec8a89cc5dc6e2e5259fa31137f52fc4a11139e4627f0fc1bc187b068539,46175bcf8f8a3720dfc0e9208efb4f35e1db851ab0d4850641d222af28d3d148
"30001","380000","2015/04/01 15:00:00","1","0","380000","2018/08/08 15:59:59","0","0","1","0"
"30002","380000","2018/08/08 16:00:00","2","0","380000","2018/08/20 15:59:59","0","0","1","0"
"30003","380000","2018/08/20 16:00:00","3","0","380000","2018/08/31 15:59:59","0","0","1","0"
"30004","380000","2018/08/31 16:00:00","4","0","380000","2018/09/14 15:59:59","0","0","1","0"
"30005","380000","2018/09/14 16:00:00","5","0","380000","2018/09/21 15:59:59","0","0","1","0"
"30006","380000","2018/09/21 16:00:00","6","0","380000","2018/10/09 15:59:59","0","0","1","0"
"30007","380000","2018/10/09 16:00:00","7","0","380000","2018/10/22 15:59:59","0","0","1","0"
"30008","380000","2018/10/22 16:00:00","8","0","380000","2018/11/08 15:59:59","0","0","1","0"
"30009","380000","2018/11/08 16:00:00","9","0","380000","2018/11/15 15:59:59","0","0","1","0"
"30010","380000","2018/11/15 16:00:00","10","0","380000","2018/11/30 15:59:59","0","0","1","0"
"30011","380000","2018/11/30 16:00:00","11","0","380000","2018/12/13 15:59:59","0","0","1","0"
"30012","380000","2018/12/13 16:00:00","12","0","380000","2018/12/27 15:59:59","0","0","1","0"
"30014","380000","2019/01/09 16:00:00","14","0","380000","2019/01/22 15:59:59","0","0","1","0"
"30015","380000","2019/01/22 16:00:00","15","0","380000","2019/02/01 11:59:59","0","0","1","0"
"50018","380000","2019/02/01 12:00:00","16","380000","0","2019/02/04 23:59:59","0","380000","2","0"
"30016","380000","2019/02/13 16:00:00","17","0","380000","2019/02/27 15:59:59","0","0","1","0"
"30017","380000","2019/02/27 16:00:00","18","0","380000","2019/03/13 15:59:59","0","0","1","0"
"30019","380000","2019/03/13 16:00:00","20","0","380000","2019/03/27 15:59:59","0","0","1","0"
"30020","380000","2019/03/27 16:00:00","21","0","380000","2019/04/03 15:59:59","0","0","1","0"
"30021","380000","2019/04/03 16:00:00","22","0","380000","2019/04/19 15:59:59","0","0","1","0"
"30022","380000","2019/04/19 16:00:00","23","0","380000","2019/05/07 15:59:59","0","0","1","0"
"50023","380000","2019/05/07 16:00:00","24","380000","0","2019/05/14 15:59:59","0","380000","2","0"
