57b1042f7de3bb846256ea9d0698b76b65210dc3d030930f302bbc1bee49ec56,df32f3122de0c59dcb6b5d9a8fd479368d3762ea63d71cb0048dc0e0be728e84,89bd5bf16853ea2ced8799dc8534a9f453650e5c4dda60c3cd9b87913f245262,dd2bb897c0a3865df9e9fd09d7169a7adb8f7fc774d9bfc31ce4908f5dd1959a,41a11617763891eb2cdc5f4a516eac77d0f1fc7e470a694939478d58c1f78572,d07673adb5e01c623f6fbc021d04818d3d22a95a4b2883ca645776a221e60091,ee8030f62e6a0b7b2b3d0cc749c0c819b962d581a2c764e68b892edbc99bd3da,ef1caac39daf4206463aa303f8fdcb38f2a789bc5202dd61433e0eb92032c7ec,b95216281bceb85c7439b6a53efb81301e7b3cde9e5943528292f3a7876ee817,d0ab7f816a105ae04011c1cd708cc5a2143f9321e7464d838485afad86027513,6f1a51fddf726fa097ced1766e930a55c3807ac90ec64a1f5cb06ed97e6b90cb,df174c3aaf45de0fb1cf06ecc840602675615abdded53300b05bdf56cd695c56,24e755b7e5e59209d90cac1fa58ed2bf7203273d91a1adb51603e88ccb561f3c,28839c5b88b5ab0581c2270e1ef722c7f1482437ffb890392b216cad2a906df5,8bbc4dadb3a8a5e3074fcd946d981967a16fc2afcdfbf25ee21ab29b96e08937
"7","2","在藍天下的謁見","91002","2834","5118061","0","10118","40","20063115","吉塔去到跳蚤市場，\n遇見了從城裡偷溜出來的貪吃佩可。","1","8","與貪吃佩可的相遇","跳蚤市場會場"
"7","2","未來的騎空團\n吉祥物？","91002","2835","5118062","0","10118","40","20063115","吉塔等人在逛跳蚤市場之際，\n出來擺攤的真步叫住他們。","1","8","與真步的相遇","跳蚤市場會場"
"7","2","來自大小姐的\n緊急委託","91002","2837","5118063","0","10118","40","20063115","吉塔在確認要給騎空團的委託時，\n揚聲高笑的秋乃現身。","1","8","與秋乃的相遇","蘭德索爾市中心"
"18","2","金黃色的煩惱","91002","4108402","5118064","0","10118","40","20063115","吉塔等人在跳蚤市場會場\n看到略顯困擾的純。","1","8","與純的相遇","跳蚤市場會場"
"18","2","白熱化！格鬥大會！","91002","4107402","5118065","0","10118","40","20063115","在跳蚤市場一角舉行的格鬥大會──\n香織她人也在那裡……？","1","8","與香織的相遇","跳蚤市場會場"
"16","2","祭典太鼓是大江戶之花","91002","9000227","5118066","1","10118","40","20063115","正在準備太鼓祭典的大江戶町──\n吉塔遇見看似一臉困擾的妮諾。","1","8","與妮諾的相遇","大江戶町"
"19","3","受歡迎的人\n總是姍姍來遲","91002","2101181","5118067","0","10118","40","20063115","碧卡拉看到參與活動演出的鈴奈。\n不過，鈴奈看起來好像很困擾的樣子……？","1","8","與鈴奈的相遇","跳蚤市場會場"
"18","3","當巫女遇上魔法少女","91002","4109402","5118068","0","10118","40","20063115","碧卡拉等人在街上散步時，\n路過的七七香一臉興奮地靠了過來……？","1","8","與七七香的相遇","蘭德索爾市中心"
"18","3","老鼠耳朵再次消失","91002","4305402","5118069","0","10118","40","20063115","碧卡拉因為鼠耳不見了而感到絕望。同一時段，\n凱留和可可蘿撿到了有人掉在路上的東西……","1","8","與凱留＆可可蘿的相遇","跳蚤市場會場"
"18","3","為這次的相遇乾杯！","91002","4101402","5118070","0","10118","40","20063115","在郊外休息片刻的碧卡拉等人，\n遇見超級好心情的優花梨。","1","8","與優花梨的相遇","蘭德索爾市中心"
"18","3","陰陽合奏","91002","4106402","5118071","0","10118","40","20063115","碧卡拉擔心著害怕混雜人群的碧，\n開朗地向她搭話……","1","8","與碧的相遇","蘭德索爾市中心"
"7","3","試手氣十戰決勝負！","91002","2836","5118072","1","10118","40","20063115","碧卡拉走過跳蚤市場會場，\n正在占卜的忍出聲喊住她。","1","8","與忍的相遇","跳蚤市場會場"
"0","1","她們的嶄新日常","0","0","5118600","0","10118","0","20063115","0","0","0","序幕","0"
