eee54194e2ef02bbd6d9c6fb980e63f1ee1b79d89c728a2b7ef724aff04256ac,1f6985abb47d5af0a09ac4afc0b0871a37159a149e5b69a3104361d3c2ad7610,93c68b29fc5df6535c57c7afdcf7bd419dcb9936cd06c705873314adb3271502,f94277cf544d4ea1768d384b9aceffb7fe261f3dd2558dbe78996bb28ca431df,691c78654445eb87cef2dd7467dc64f1b17fba834de48456228a989676b42054,33f5479e32d6b795c5d79f755c2a067da08ae71752963464e35a50bfacb70e7a,dee93d57971f0bfd643baeb8e75bba44264de7ea126eb758192f6bdec124bafe,2a5a78b40e6cdd0ba208a95dcbdd2fd61e89a544216092ded88b554e30e7b8f8,4d8c29d149590cebeed8a55fde6d4ee771c767676d7311c5f0bc9f6d8c2ca8cc,06314c7ade5e82c416a57f565d53c78a1a4c12ed059b779b9a1d1322df328dde,2be190756c127e9937833daf92a632a1608926d561183cf0c083f28cef7dfecd,e538d820be71a3aeaef6360dd6e67605acbe99333e95fbad6085a5f87ff2a8a7,bc84df4714756279c30adacf8eceed10818b3e35d306710132b9522840be8fb5
"0","0","這樣子就好！","11120101","1201","vo_minigame_1012_correct_107","8","0","1","0","1","0","8"
"0","0","嗯，OK！","11120102","1201","vo_minigame_1012_correct_108","8","0","1","0","1","0","8"
"0","0","狀況不錯喔！","11120103","1201","vo_minigame_1012_correct_109","1","0","1","0","1","0","1"
"0","0","慢慢來沒關係！","11120201","1202","vo_minigame_1012_correct_115","1","0","1","13333","1","-1","1"
"0","0","答對就可以了！","11120202","1202","vo_minigame_1012_correct_117","9","0","1","13333","1","-1","9"
"0","0","好厲害喔！","11120301","1203","vo_minigame_1012_correct_118","1","0","1","0","1","0","1"
"8","0","你知道這個啊！？","11120302","1203","vo_minigame_1012_correct_119","5","0.01","1","0","1","0","5"
"0","0","看來沒問題吧！","11120401","1204","vo_minigame_1012_correct_125","1","0","1","0","1","0","1"
"4","0","複習得很完美呢！","11120501","1205","vo_minigame_1012_correct_123","7","0.01","1","0","1","0","7"
"0","0","連續答對了！","11120601","1206","vo_minigame_1012_correct_128","8","0","1","3","1","-1","8"
"0","0","挽回劣勢！","11120701","1207","vo_minigame_1012_correct_131","2","0","1","3","1","-1","2"
"0","0","重整心情！","11130101","1301","vo_minigame_1012_incorrect_107","2","0","1","0","1","0","2"
"0","0","也會有這種事啊！","11130102","1301","vo_minigame_1012_incorrect_108","9","0","1","0","1","0","9"
"0","0","那樣子不行喔！","11130103","1301","vo_minigame_1012_incorrect_109","4","0","1","0","1","0","4"
"0","0","時間到了！","11130201","1302","vo_minigame_1012_incorrect_116","4","0","1","20000","1","-1","4"
"0","0","不是，你回答啊！","11130202","1302","vo_minigame_1012_incorrect_117","5","0","1","20000","1","-1","5"
"6","0","好難啊……","11130301","1303","vo_minigame_1012_incorrect_118","3","0.01","1","0","1","0","3"
"0","0","難度真高……","11130302","1303","vo_minigame_1012_incorrect_119","4","0","1","0","1","0","4"
"0","0","不能忘記喔！","11130401","1304","vo_minigame_1012_incorrect_123","2","0","1","0","1","0","2"
"0","0","不是全錯呢！","11130501","1305","vo_minigame_1012_incorrect_126","1","0","1","0","1","0","1"
"4","1","呵呵，全都答對囉！\n你好像努力地學習了呢，\n真佩服♪","11300101","3001","vo_minigame_1012_result_1000","7","3.18","1","10","1","10","8"
"10","1","太厲害了……全部答對囉！\n不過，這也是當然的吧～\n因為是我教你的嘛♪","11300102","3001","vo_minigame_1012_result_1001","8","3.33","1","10","1","10","7"
"10","1","全對！拍手拍手拍手～♪\n這個難度已經很完美了吧？\n下次挑戰更難的題目吧！\n你一定可以的！","11300103","3001","vo_minigame_1012_result_1002","8","5.41","1","10","1","10","1"
"10","2","喔……選了很難的題目，\n但還能全對，很厲害嘛！！\n你實在太厲害了……！\n比完美還完美！","11300104","3001","vo_minigame_1012_result_1003","5","8.11","1","10","1","10","8"
"0","2","答對……答對……全部答對！\n題目這麼難還全對……！\n好驚訝……\n你是什麼時候讀了這麼多東西的！","11300105","3001","vo_minigame_1012_result_1004","10","1.31","1","10","1","10","5"
"0","2","看你完美地答對了這麼多題，\n讓我有點不甘心呢……！\n但我還是要坦率地讚美你！\n了不起，了不起，了不起～！","11300106","3001","vo_minigame_1012_result_1005","9","4.93","1","10","1","10","8"
"4","3","好厲害……你答得太完美了！\n保持這樣到下次考試，\n你拿學年第一可能也不是夢了！\n真令人期待～♪","11300107","3001","vo_minigame_1012_result_1006","5","2.99","1","10","1","10","8"
"4","3","滿分喔！呵呵。\n我已經沒東西能教你了……！\n反而希望你能教我呢！\n……好嗎，老師♪","11300108","3001","vo_minigame_1012_result_1007","8","8.37","1","10","1","10","7"
"8","3","全、部、答、對！\n裡面有超多難題耶，你好厲害……！\n難不成……\n你是天才！？","11300109","3001","vo_minigame_1012_result_1008","7","5.32","1","10","1","10","5"
"4","1","喔！分數很好看呢～！\n這下教你也有價值了♪\n好了，還要繼續學習喔！","11300110","3001","vo_minigame_1012_result_1009","7","4.77","1","7","1","9","1"
"4","1","嗯，拿到的分數很不錯！\n保持這個狀態，\n下次想看你拿滿分呢！","11300111","3001","vo_minigame_1012_result_1010","8","2.97","1","7","1","9","7"
"0","1","啊～好可惜！\n差一點就滿分了！\n下次一定可以很完美的！\n加油吧！","11300112","3001","vo_minigame_1012_result_1011","5","3.47","1","7","1","9","1"
"4","2","好厲害，你答對了很多喔！\n題目這麼難，你很行嘛！\n之後就以滿分為目標吧！","11300113","3001","vo_minigame_1012_result_1012","8","5.32","1","7","1","9","7"
