60a6c44509dfb69c586fc277ed8e24e9ffb8b610a5f9c367525832a3f0f870f2,7e970fb76fa240ed2da9e196c028319185fa0495d837e0ad891798aa7d08b42d,b4b869cc190ff56372ae441e67d37f01330f86db48de22acdc0cdb3241215dce,d4bc27f843aa1abc5b45e024f00afa5714cacb27b31c4c7d58c168a1287484b3,3a897e4c6bf961cd24701ba5f84d70871c6c7c7bd97a0df7f585dcf4c504ec4d,d78d13baac055cbd2618d8e32d6dfa50effe5462276b11f9ec79bb47836c339d,d94e5b2fa87b126aae1b37e966c43ba8c79bd7f72ed8b133f81f913a7d726eae,191a8995c03f89382af7276341c586d8302a1298d27a3e2690201b8aea4c4f91,493e36e6b12842038df30256122abb3a30a8d7cad9f776ec4344aef9903ad97f,8b9feb42c5f4e2f682505b4afe1264a010736b3d6655422dd5acff55283afa9f,a68b4dcbd46eef2f9f4a582782a883540ad0cf0d817a71eb8c40a685623294d6
"-157","105831","1010001","1","1","1","1.3","0","01_uek_cmn_idol_def_N","100","-496"
"-178","105931","1010002","1","1","1","1.3","0","01_uek_cmn_idol_def_N","110","-355"
"-124","112631","1010003","1","1","1","1.3","1","01_uek_cmn_idol_def_N","100","410"
"-258","112531","1010004","1","1","1","1.3","1","01_uek_cmn_idol_def_N","110","389"
"-234","106031","1010005","1","1","1","1.3","0","01_uek_cmn_idol_def_N","120","-415"
"-235","112431","1010006","1","1","1","1.3","1","01_uek_cmn_idol_def_N","120","262"
"1","01_uek_01_peko","1010007","3","105831","1","0","0.2","","0","01_uek_cmn_pose03"
"1","01_uek_01_kokkoro","1010008","3","105931","1","0","0.2","","0","01_uek_talk_normal"
"1","01_uek_01_kyaru","1010009","3","106031","1","0","0.2","","0","01_uek_cmn_pose02"
"1","01_uek_01_mio","1010010","3","112631","1","0","0.2","","0","01_uek_cmn_pose03"
"1","01_uek_01_rin","1010011","3","112531","1","0","0.2","","0","01_uek_cmn_pose02"
"1","01_uek_01_uduki","1010012","3","112431","1","0","0.2","","0","01_uek_cmn_pose01"
"","","1010013","93","3","1","","","","",""
"0","01_uek_cmn_pose03","1010014","3","112631","1","0.2","","","1",""
"0","01_uek_cmn_pose01","1010015","3","112431","1","0.2","","","1",""
"0","01_uek_cmn_pose03","1010016","3","105831","1","0.2","","","1",""
"1","01_uek_talk_normal","1010017","3","105931","1","0.2","0.1","","0","01_uek_cmn_idol_def_N"
"1","01_uek_cmn_pose02","1010018","3","106031","1","0.2","0.1","","0","01_uek_cmn_idol_def_N"
"1","01_uek_cmn_pose02","1010019","3","112531","1","0.2","0.1","","0","01_uek_cmn_idol_def_N"
"","唔哇……！\n變得超大的，\n太讚了吧☆","1010020","11","105831","1","","","","10",""
"","","1010021","91","0","1","","","","",""
"","盆栽小花已經長到\n讓人猜不透究竟會\n高到什麼程度了。","1010022","11","105931","1","","","","10",""
"","","1010023","91","0","1","","","","",""
"","這種情況下，\n就讓人想看看\n上面是怎樣呢！","1010024","11","112631","1","","","","10",""
"","","1010025","91","0","1","","","","",""
"","確實是呢……而且\n說不定還能知道\n變成這樣的原因。","1010026","11","112531","1","","","","10",""
"","","1010027","91","0","1","","","","",""
"","反正我也挺感興趣，\n就陪陪妳們吧。","1010028","11","106031","1","","","","10",""
"","","1010029","91","0","1","","","","",""
"","好♪大家一起\n加油以登頂\n為目標吧！","1010030","11","112431","1","","","","10",""
"","","1010031","91","0","1","","","","",""
"0","104431","1020001","1","1","2","1.3","0","02_uek_cmn_idol_def_N","100","0"
"0","02_uek_02_ilya","1020002","3","104431","2","","","","0","02_uek_02_ilya_loop"
"","哈～哈哈哈！\n妾身要踏出征服\n世界的第一步了！","1020003","11","104431","2","","","","10","0"
"0","","1020004","91","0","2","","","","",""
"-10","105831","1030001","1","1","3","1.3","0","01_uek_cmn_idol_def_N","100","-140"
"10","105931","1030002","1","1","3","1.3","1","01_uek_cmn_idol_def_N","100","120"
"0","106031","1030003","1","1","3","1.3","1","01_uek_cmn_idol_def_N","100","0"
"0","01_uek_03_peko","1030004","3","105831","3","","","","0","01_uek_03_peko_loop"
"0","01_uek_03_kyaru","1030005","3","106031","3","","","","0","01_uek_03_kyaru_loop"
"","小凱留！\n妳快看，\n景色很棒哦☆","1030006","11","105831","3","","","","10","0"
"","","1030007","91","0","3","","","","",""
"","喂，妳幹嘛啦！\n不要拉我啦！\n會掉下去的！","1030008","11","106031","3","","","","10","0"
"","","1030009","91","0","3","","","","",""
"1","01_uek_03_kokkoro","1030010","3","105931","3","","","","0","01_uek_cmn_idol_def_N"
"","呵呵，在這上面應該\n還有更棒的景色\n在等著我們。","1030011","11","105931","3","","","","10","0"
"-30","101131","1040001","1","1","4","1.3","0","02_uek_cmn_idol_def_N","100","-120"
"-5","104931","1040002","1","1","4","1.3","1","02_uek_cmn_idol_def_N","100","20"
"","02_uek_talk_joy2","1040003","3","101131","4","","","","1",""
"","千萬行星也要\n始於腳下！\n我會加油的！","1040004","11","101131","4","","","","10","0"
"","","1040005","91","0","4","","","","",""
"","02_uek_cmn_idol_def_N","1040006","3","101131","4","0.2","","","1",""
"","02_uek_04_shizuru","1040007","3","104931","4","0.2","","","1",""
"","妳要說的應該是\n千里之行始於\n足下喔，璃乃。","1040008","11","104931","4","","","","10","0"
"","","1040009","91","0","4","","","","",""
"","02_uek_cmn_idol_def_N","1040010","3","104931","4","0.2","","","1",""
"0","105031","1050001","1","1","5","1.3","0","02_uek_cmn_idol_def_N","100","-70"
"1","101631","1050002","1","1","5","1.3","1","02_uek_cmn_idol_def_N","100","70"
"-15","02_uek_05_misaki","1050003","3","105031","5","","","","0","02_uek_05_misaki_loop"
"0","02_uek_05_suzuna","1050004","3","101631","5","","","","0","02_uek_05_suzuna_loop"
"","我要登上大人\n的階梯了～！","1050005","11","105031","5","","","","10","0"
"0","","1050006","91","0","5","","","","",""
"","人家也要成為\n超級巨星名模囉！","1050007","11","101631","5","","","","10","0"
"25","100531","1060001","1","1","6","1.3","1","02_uek_cmn_idol_def_N","100","120"
"5","103731","1060002","1","1","6","1.3","0","02_uek_cmn_idol_def_N","100","-20"
"","02_uek_cmn_pose04","1060003","3","100531","6","","","","1",""
"","如果因為這點高度\n而軟腳的話，\n就不配當英雄了！","1060004","11","100531","6","","","","10","0"
"","","1060005","91","0","6","","","","",""
"","02_uek_talk_normal","1060006","3","103731","6","0.2","","","1",""
"","嗯，感覺會是\n不錯的訓練呢。\n我越來越期待了。","1060007","11","103731","6","","","","10","0"
"","","1060008","91","0","6","","","","",""
"","02_uek_cmn_idol_def_N","1060009","3","103731","6","0.2","","","1",""
"-20","103831","1070001","1","1","7","1.3","0","02_uek_cmn_idol_def_N","100","-60"
"","02_uek_07_shiori","1070002","3","103831","7","0.2","","","1",""
"","奇怪……姊姊她\n跑去哪裡了？\n……姊姊～？","1070003","11","103831","7","","","","10",""
"40","104531","1080001","1","1","8","1.3","0","02_uek_08_kuka_loop","100","90"
"1","2","1080002","31","2","8","1","","","90","60"
"0","啊，藤蔓纏住\n腳的觸感\n真叫人受不了～～！","1080003","11","104531","8","","","","10","0"
"","","1080004","91","0","8","","","","",""
"-35","105831","1090001","1","2","9","0.9","0","05_idle","100","-195"
"-30","302102","1090002","1","2","9","1.2","0","302102_idle","1000","150"
"1","15","1090003","31","102","9","1","","","150","50"
"1","16","1090004","31","103","9","1","","","150","400"
"-25","112531","1100001","1","1","10","1.3","0","01_uek_cmn_idol_def_N","100","-160"
"-5","112431","1100002","1","1","10","1.3","1","01_uek_cmn_idol_def_N","100","-40"
"20","112631","1100003","1","1","10","1.3","1","01_uek_cmn_idol_def_N","100","125"
"0","01_uek_talk_surprise2","1100004","3","112631","10","","","","1",""
"0","嗚呀……！\n腳下變成了雲朵，\n這是怎麼回事！？","1100005","11","112631","10","","","","10","0"
"","","1100006","91","0","10","","","","",""
"0","01_uek_cmn_idol_def_N","1100007","3","112631","10","0.2","","","1",""
"","01_uek_talk_joy1","1100008","3","112431","10","","","","1",""
"0","有一種不可思議的\n觸感呢～\n軟綿綿的耶♪","1100009","11","112431","10","","","","10","0"
"","","1100010","91","0","10","","","","",""
"","01_uek_cmn_idol_def_N","1100011","3","112431","10","0.2","","","1",""
"","01_uek_talk_normal","1100012","3","112531","10","","","","1",""
"0","雖然好像不會掉下去\n……不過還是邊注意\n腳下邊前進吧。","1100013","11","112531","10","","","","10","0"
"","","1100014","91","0","10","","","","",""
"","01_uek_cmn_idol_def_N","1100015","3","112531","10","0.2","","","1",""
"","","1100016","91","0","10","","","","",""
"-20","104731","1110001","1","1","11","1.3","0","03_uek_cmn_idol_def_N","100","-135"
"5","107131","1110002","1","1","11","1.3","1","03_uek_cmn_idol_def_N","100","100"
"1","03_uek_11_jun","1110003","3","104731","11","0","","","0","03_uek_11_jun_loop"
"1","03_uek_11_chris","1110004","3","107131","11","0","0.2","","0","03_uek_cmn_idol_def_N"
"0","唔，視野一片白……\n小克莉絲，\n妳要小心！","1110005","11","104731","11","","","","10",""
"","","1110006","91","0","11","","","","",""
"0","哈哈哈，鎧甲的重量\n讓妳沉下去囉團長☆\n嘿咻，釣到大魚了！","1110007","11","107131","11","","","","10","0"
"","","1110008","93","1.5","11","","","","",""
"1","-135","1110009","2","104731","11","","","","0","1.5"
"","","1110010","91","1110007","11","","","","",""
"-20","101031","1120001","1","1","12","1.3","0","03_uek_cmn_idol_def_N","100","-120"
"-5","101431","1120002","1","1","12","1.3","1","03_uek_cmn_idol_def_N","100","10"
"0","03_uek_talk_joy1","1120003","3","101031","12","","","","1",""
"0","好可愛的雲呀，\n真想一起\n帶回去啊♪","1120004","11","101031","12","","","","10","0"
"","","1120005","91","0","12","","","","",""
"0","03_uek_cmn_idol_def_N","1120006","3","101031","12","0.2","","","1",""
"0","03_uek_talk_normal","1120007","3","101431","12","","","","1",""
