e339220cfb1619b9b92bceee8f0bc618e7a9b6d2258b7e7cc2b686cccf9ce430,91a5f5ebf1712ec16bc71e47fdaadd72f83cc6b125572d65adb3284189fd542f,29aeeb524cf2916a8d8904e6a415aa0ac4d86ebb2995167028cf828b913dae39,5af641ccb9ff7e2710875f72b6b8645ce34b948bdc1b9b38e2b67e8f323e0df0,07ea65561d7245900b09627d2edb2ade59ba5c021c01425058f6ff05dd223468,391e0a14607ee4ce986276d4376a461edbb7ef7bfbb796af4199a1a520b58813
"1","101","切嚕嚕衝擊","12","特別講座發表報告","13"
"1","102","克蘿依明察秋毫","13","特別講座發表報告","14"
"1","103","消失吧學姐架子","14","特別講座發表報告","22"
"2","201","秋乃的領導力","22","墨丘利財團活動日誌","23"
"2","202","燃燒吧鯛魚燒之魂","23","墨丘利財團活動日誌","24"
"2","203","麥酒沒有不可能","24","墨丘利財團活動日誌","25"
"2","204","美冬的1日說教課程","25","墨丘利財團活動日誌","32"
"3","301","起泡與生菓子的哲學","32","優妮的筆記本","33"
"3","302","不入虎穴","33","優妮的筆記本","34"
"3","303","動作測試與破滅的誘惑","34","優妮的筆記本","0"
