524e01c0e9322d8eb0ef1939444b44a481dd83b914210b5305f1ec7c1cb23e25,1967e68961505659085f6a7fa6d74b8c1ff8c5a711ddc1d7fae0ff9a5df80061,4a45bdb32674ccc458665a09d8c367ee2069e96af5128764621244bf6be85a6a,2ddfb6996797641c4839d6f72c709c08a94ee6275f4343a0ffb9ed2accc1e67b,bb8e29bcf995abc03d0a349f32e58d1c5935aedab0a418da63fd03cc3f09e14b,79d235ee1e1ce8182390fdc04e80fa2aa86848a863ab60010d3c05c3abeb23d1,7ab33f896a02c766bcddeb26bb21a03e3fa00595392346d40d9fb3f911a4cebd,3b087c96c5f0ab408ae6388c74b336188abba8322046c260bc82bc8d015c3027,3b38cd07646c3eb018cc49d08027eabf26b9a6dff65789c50ce6f00b41cc213c,21713c6933e32c5580c1aa93aff95db807784f78c6719e83c29a115bc682bec9,3739afe5ae943164534c82471c2790bbe9913b4505ad590697c0f83a0529b95b
"1","202","wac_215_karin_idle_normal","111","-345","2","0","-273","1","118511","111001"
"1","205","wac_215_idle_joy1","111","-355","2","1","170","1","105811","111002"
"1","202","wac_215_idle_normal_joy","111","-325","2","1","50","1","105911","111003"
"1","203","wac_215_idle_arm_crossed","111","-330","2","1","300","1","106011","111004"
"1","204","wac_215_idle_normal2","111","-360","2","1","450","1","106431","111005"
"1","","","111","","","","","131","","111006"
"1","","","112","","","","","93","0","112001"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_normal","112002"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_000","112003"
"118511","10","0.5","112","1","0","0","1","11","【美食殿堂】的各位，\n謝謝你們過來！","112004"
"112004","","","112","","","","","91","","112005"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112006"
"105811","0","","112","1","0.2","0.2","wac_215_talk_normal","3","wac_215_peko_oissu","112007"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_001","112008"
"105811","10","0.5","112","1","0","0","1","11","花凜小姐，阿囉哈～！\n怎麼了嗎？\n居然找我們來\n蘭德索爾的這個角落。","112009"
"112009","","","112","","","","","91","","112010"
"105811","1","","112","","0.2","","","3","wac_215_idle_normal","112011"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_normal","112012"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_002","112013"
"118511","10","0.5","112","1","0","0","1","11","我今天有個重要的委託\n想要拜託各位。","112014"
"112014","","","112","","","","","91","","112015"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112016"
"106011","0","","112","1","0.2","0","wac_215_talk_arm_crossed_loop","3","wac_215_talk_arm_crossed","112017"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_003","112018"
"106011","10","0.5","112","1","0","0","1","11","重要的委託？\n妳該不會是又想\n把麻煩的事情推給我們吧……","112019"
"112019","","","112","","","","","91","","112020"
"106011","1","","112","","0.2","","","3","wac_215_idle_arm_crossed","112021"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_normal","112022"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_004","112023"
"118511","10","0.5","112","1","0","0","1","11","其實這次是為了發展提升景觀的\n事業，而決定著手進行在圍繞\n蘭德索爾的牆壁上畫畫，\n讓城鎮華麗起來的計畫。","112024"
"112024","","","112","","","","","91","","112025"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112026"
"106431","0","","112","1","0.2","0.2","wac_215_talk_normal","3","wac_215_shefy_humu","112027"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_005","112028"
"106431","10","0.5","112","1","0","0","1","11","在圍繞蘭德索爾的牆壁上畫畫？\n哦～好像會很開心呢。\n只要畫在這裡就行了嗎？","112029"
"112029","","","112","","","","","91","","112030"
"106431","1","","112","","0.2","","","3","wac_215_idle_normal2_joy","112031"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_normal","112032"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_006","112033"
"118511","10","0.5","112","1","0","0","1","11","是的，希望你們能從這裡開始，\n沿著蘭德索爾的牆壁繞一圈，\n用繪畫填滿整片牆。","112034"
"112034","","","112","","","","","91","","112035"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112036"
"106431","1","","112","","0.2","","","3","wac_215_talk_sad","112037"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_007","112038"
"106431","10","0.5","112","1","0","0","1","11","咦？要沿著蘭德索爾的牆壁……\n繞一圈？","112039"
"112039","","","112","","","","","91","","112040"
"106431","1","","112","","0.2","","","3","wac_215_idle_sad","112041"
"118511","1","","112","","0.2","","","3","wac_215_karin_talk_wish","112042"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_008","112043"
"118511","10","0.5","112","1","0","0","1","11","是的♪你們不覺得要是能用\n漂亮的圖畫裝飾整個蘭德索爾，\n就能讓這裡變成一座\n充滿了魅力的城鎮嗎？","112044"
"112044","","","112","","","","","91","","112045"
"118511","1","","112","","0.2","","","3","wac_215_karin_idle_normal","112046"
"105911","1","","112","","0.2","","","3","wac_215_coccoro_talk_wish","112047"
"vo_wac_220215","0","","112","","","","0","21","vo_wac_220215_009","112048"
