38e7f66aba614199ce9ee583c42aa179ae015927a94b07aad81cffc5f213a31f,1525615c99409b9819d8b8fb31e64a680f6218b16bbfa985f2138ee0e3319d36,a3cf6b7d6f5daf8eba1b6a346f74417be8a1a8c143a5be2e1d1ce1af0f2cc794,3cfcdf4bf8a491f97d83da0eb4a0caa044ccc5256358e2d45384b4e6523281dc,460daa7821ac133e8a0360fdbc438d7521da3d07ba4e4b6edb9b9b6106fb3c29,7cba0a86b83cfb2b7859a85ae78e2b159a58ff35f11397eedce110ff6c2b30e0,64268186aabe88192c4bf4d3d001f1d6223595b76f664b9dcb1dabc617fe6d08,b4eba6fec94055a752cf47dca09b5b4dc372e8313a1eb2c2384abc24f30cfac3,5348a9c77acb2e9aca1b5cc94fb4301fd377c4cdfe40dd55bdc2774df13acb2f,ee68fa7fa03da61c47c7615120ec91f21bba09242f81d2198a7c9629447e08a5,bc4edd8f358b906580a2eee375197bcf666941e3bfcf2220facfb6e010b3d42c,db726fca756fad169fc147527f58866b7c774fc1ca274d21302a2eb6ef139501,6cd0dd5fde0c18466edd2dc660c82093986df3ca0f07b8b6e227ad6ea8268c52,c4e58e029c7295c23ffe60a16dec0d52bb723f5c4d9c81a95cbc168010d23d40,ecff4c85c2ffbb3a5d9d1a05e09902bd7f969762aa84c5bdbf1b2235dc68f609
"90","924072001","前哨冒險","8","924070100","92407","92407010","1","96","25","6","92407020","0","0","924073001"
"90","924072002","前哨冒險","8","924070200","92407","92407020","2","96","25","6","92407030","92407010","0","924073002"
"90","924072003","前哨冒險","8","924070300","92407","92407030","3","96","25","6","0","92407020","0","924073003"
"90","924082001","前哨冒險","25","924080100","92408","92408010","1","540","25","25","92408020","0","0","924083001"
"90","924082002","前哨冒險","25","924080200","92408","92408020","2","540","25","25","92408030","92408010","0","924083002"
"90","924082003","前哨冒險","25","924080300","92408","92408030","3","540","25","25","0","92408020","0","924083003"
"90","924092001","前哨冒險","25","924090100","92409","92409010","1","540","25","25","92409020","0","0","924093001"
"90","924092002","前哨冒險","25","924090200","92409","92409020","2","540","25","25","92409030","92409010","0","924093002"
"90","924092003","前哨冒險","25","924090300","92409","92409030","3","540","25","25","0","92409020","0","924093003"
"90","924102001","前哨冒險","25","924100100","92410","92410010","1","540","25","25","92410020","0","0","924103001"
"90","924102002","前哨冒險","25","924100200","92410","92410020","2","540","25","25","92410030","92410010","0","924103002"
"90","924102003","前哨冒險","25","924100300","92410","92410030","3","540","25","25","0","92410020","0","924103003"
"90","924112001","前哨冒險","25","924110100","92411","92411010","1","540","25","25","92411020","0","0","924113001"
