549de2897f39daf542f39ecb0e9a85f645f541cded58d60b8af1ad589b05ee9d,665de8722f6611362af5701ba1842cf678f10e5289919037a6625451fab346fa,4deb5bbb546c7d4389dcd8bac92c695b229055358fa987ae33077ad8618a1fb2,fa2c58a85afaee9ad82f9c50055ec665d05b6107e188e5c2aec14eb7d02f624d,877fcb9f3ecb83b592a253d136e87cc8caff9fd3903200c9e575c39d2841ed98,3e34be19b3166f71629166e411935905e7b04b6f229a28f89f9422001ec7bac9,c689c8fb39ce0ef921b3e3bca01f6fadd14ccf9f6b8bb2050e033039de7a8d7b,ca5924639dd461b723969fbd346f5a5591be87b3856169cf0ef794d5682258d8,91c9445d7d674754e5cd31eebdd35118885d2ec4096cf0e4fb63086e894f8233,afd043876c5223fa0e143aedeb4bafa2e9eb9bbe49eb1bb3da944eab40508ea3,8cd51102d9d89611d16ffe16e8e28df3d62865891d31f6ad85222777246909c9
"1","1","-103","100","1","5","idle_normal","1","1001","-216","1.4"
"13","","1","-57","13","31","","1","1002","-140","0"
"14","","1","-57","14","31","","1","1003","-140","0"
"0","","","","0","91","","1","1004","",""
"top_luis_arm_crossed_in","0","1","0","1","3","","1","1005","top_luis_arm_crossed_idle","0.2"
"0","","","","4","93","","1","1006","",""
"top_luis_approach_in","0","1","0","1","3","","1","1007","top_luis_approach_idle","0.2"
"0","","","","3.5","93","","1","1008","",""
"top_luis_thinking","","","1","1","3","","1","1009","","0.2"
"0","","","","3.5","93","","1","1010","",""
"top_luis_walk_think","","","1","1","3","","1","1011","","0.2"
"-495","","0","-103","1","2","","1","1012","2",""
"0","","","","2","93","","1","1013","",""
"0","","","","1","4","","1","1014","",""
"-216","","0","-103","1","2","","1","1015","2",""
"0","","","","2","93","","1","1016","",""
"top_luis_notice","","","1","1","3","","1","1017","","0"
"0","","","","1","93","","1","1018","",""
"top_luis_walk_jog","","","1","1","3","","1","1019","","0.2"
"-100","","0","-130","1","2","","1","1020","0.5",""
"0","","","","0.5","93","","1","1021","",""
"1","","","","1","4","","1","1022","",""
"top_luis_sit_in","0","1","0","1","3","","1","1023","top_luis_sit_idle","0.2"
"0","","","","0.1","93","","1","1024","",""
"-57","","0","-140","1","2","","1","1025","0.4",""
"0","","","","1","93","","1","1026","",""
"top_luis_experiment_failer_in","","","0","1","3","","1","1027","","0.2"
"0","","","","2.3","93","","1","1028","",""
"top_luis_experiment_failer_mix","","","0","1","3","","1","1029","","0.1"
"0","","","","2.7","93","","1","1030","",""
"1","","","","13","32","","1","1031","",""
"top_luis_experiment_failer_burst","","","0","1","3","","1","1032","","0.1"
"0","","","","2.7","93","","1","1033","",""
"top_luis_experiment_failer_out","","","0","1","3","","1","1034","","0.1"
"0","","","","1.1","93","","1","1035","",""
"top_luis_sit_out","0","1","0","1","3","","1","1036","idle_normal","0.2"
"-100","","0","-130","1","2","","1","1037","0.3",""
"0","","","","1","93","","1","1038","",""
"walk_normal","","","0","1","3","","1","1039","","0.2"
"-216","","0","-103","1","2","","1","1040","1",""
"0","","","","1","93","","1","1041","",""
"idle_normal","","","0","1","3","","1","1042","","0.1"
"0","","","","0.8","93","","1","1043","",""
"0","","","","13","32","","1","1044","",""
"top_luis_arm_crossed_in","0","1","0","1","3","","1","1045","top_luis_arm_crossed_idle","0.2"
"0","","","","4","93","","1","1046","",""
"top_luis_approach_in","0","1","0","1","3","","1","1047","top_luis_approach_idle","0.2"
"0","","","","3.5","93","","1","1048","",""
"top_luis_thinking","","","1","1","3","","1","1049","","0.2"
"0","","","","3.5","93","","1","1050","",""
"top_luis_walk_think","","","1","1","3","","1","1051","","0.2"
"-495","","0","-103","1","2","","1","1052","2",""
"0","","","","2","93","","1","1053","",""
"0","","","","1","4","","1","1054","",""
"-216","","0","-103","1","2","","1","1055","2",""
"0","","","","2","93","","1","1056","",""
"top_luis_notice","","","1","1","3","","1","1057","","0"
"0","","","","1","93","","1","1058","",""
"top_luis_walk_jog","","","1","1","3","","1","1059","","0.2"
"-100","","0","-130","1","2","","1","1060","0.5",""
"0","","","","0.5","93","","1","1061","",""
"1","","","","1","4","","1","1062","",""
"top_luis_sit_in","0","1","0","1","3","","1","1063","top_luis_sit_idle","0.2"
"0","","","","0.1","93","","1","1064","",""
"-57","","0","-140","1","2","","1","1065","0.4",""
"0","","","","1","93","","1","1066","",""
"top_luis_experiment_success_in","","","0","1","3","","1","1067","","0.2"
"0","","","","2.3","93","","1","1068","",""
"top_luis_experiment_success_mix","","","0","1","3","","1","1069","","0.1"
"0","","","","2.7","93","","1","1070","",""
"1","","","","14","32","","1","1071","",""
"top_luis_experiment_success_burst","","","0","1","3","","1","1072","","0.1"
"0","","","","2.7","93","","1","1073","",""
"top_luis_experiment_success_out","","","0","1","3","","1","1074","","0.1"
"0","","","","1.1","93","","1","1075","",""
"top_luis_sit_out","0","1","0","1","3","","1","1076","idle_normal","0.2"
"-100","","0","-130","1","2","","1","1077","0.3",""
"0","","","","1","93","","1","1078","",""
"walk_normal","","","0","1","3","","1","1079","","0.2"
"-216","","0","-103","1","2","","1","1080","1",""
"0","","","","1","93","","1","1081","",""
"idle_normal","","","0","1","3","","1","1082","","0.1"
"0","","","","0.8","93","","1","1083","",""
"0","","","","14","32","","1","1084","",""
"","","","0","1005","101","","1","1085","0",""
"2","1","-130","100","2","5","top_iroha_read","2","2001","400","1.43"
"11","1","130","101","11","5","butterfly","2","2002","980","1.4"
"11","","1","400","11","31","","2","2003","-130","0"
"0","","","","0","91","","2","2004","",""
"top_iroha_read","","","1","2","3","","2","2005","","0.2"
"0","","","","9","93","","2","2006","",""
"1","","","","11","4","","2","2007","",""
"-980","","0","130","11","2","","2","2008","7",""
"0","","","","2.5","93","","2","2009","",""
"top_iroha_read_notice","","","0","2","3","","2","2010","","0.2"
"0","","","","0.6","93","","2","2011","",""
"top_iroha_notice_to_run","0","1","0","2","3","","2","2012","top_iroha_run","0"
"0","","","","0.4","93","","2","2013","",""
"1","","","","11","32","","2","2014","",""
"smokeR","","","","11","37","","2","2015","",""
"-980","","0","-130","11","33","","2","2016","4.2",""
"-980","","0","-130","2","2","","2","2017","4.2",""
"0","","","","4.2","93","","2","2018","",""
"0","","","","11","32","","2","2019","",""
"0","","","","1","93","","2","2020","",""
"0","","","","11","4","","2","2021","",""
"980","","0","130","11","2","","2","2022","7",""
"0","","","","1.5","93","","2","2023","",""
"1","","","","11","32","","2","2024","",""
"smokeL","","","","11","37","","2","2025","",""
"980","","0","-130","11","33","","2","2026","5.964",""
"top_iroha_run_joy","","","1","2","3","","2","2027","","0"
"0","","","","2","4","","2","2028","",""
"980","","0","-130","2","2","","2","2029","5.964",""
"0","","","","5.964","93","","2","2030","",""
"0","","","","11","32","","2","2031","",""
"0","","","","2","93","","2","2032","",""
"top_iroha_walk","","","1","2","3","","2","2033","","0"
"1","","","","2","4","","2","2034","",""
"400","","0","-130","2","2","","2","2035","3",""
"400","","0","-130","11","33","","2","2036","3",""
"0","","","","3","93","","2","2037","",""
"top_iroha_walk_out","0","1","0","2","3","","2","2038","idle_normal","0.2"
"0","","","","0.4","93","","2","2039","",""
"top_iroha_sit_in","0.2","","0","2","3","","2","2040","","0.2"
"0","","","","4","93","","2","2041","",""
"","","","","2005","101","","2","2042","",""
"3","1","-130","100","3","5","top_sono_readPaper","3","3001","350","1.38"
"10","","1","475","10","31","","3","3002","-18","1"
"0","","","","0","91","","3","3003","",""
"top_sono_readPaper","","","1","3","3","","3","3004","","0.2"
"0","","","","13.6","93","","3","3005","",""
"top_sono_sit_out","0","1","0","3","3","","3","3006","top_sono_stretch","0.2"
"0","","","","3.5","93","","3","3007","",""
"top_sono_drink","","","1","3","3","","3","3008","","0.2"
"","","","","10.5","93","","3","3009","",""
"top_sono_sit_in","","","0","3","3","","3","3010","","0.2"
"0","","","","2.6","93","","3","3011","",""
"","","","","3004","101","","3","3012","",""
"2","1","-130","101","2","5","top_iroha_read","4","4001","400","1.43"
"1","1","-103","100","1","5","top_luis_thinking","4","4002","-216","1.4"
"11","1","130","102","11","5","butterfly","4","4003","980","1.4"
"11","","1","400","11","31","","4","4004","-130","0"
"0","","","","0","91","","4","4005","",""
"top_luis_thinking","","","1","1","3","","4","4006","","0.2"
"top_iroha_read","","","1","2","3","","4","4007","","0.2"
"0","","","","9","93","","4","4008","",""
"1","","","","11","4","","4","4009","",""
"-980","","0","130","11","2","","4","4010","7",""
"0","","","","2.5","93","","4","4011","",""
"top_iroha_read_notice","","","0","2","3","","4","4012","","0.2"
"0","","","","0.6","93","","4","4013","",""
"top_iroha_notice_to_run","0","1","0","2","3","","4","4014","top_iroha_run","0"
"0","","","","0.4","93","","4","4015","",""
"1","","","","11","32","","4","4016","",""
"smokeR","","","","11","37","","4","4017","",""
"-980","","0","-130","11","33","","4","4018","4.2",""
"-980","","0","-130","2","2","","4","4019","4.2",""
"0","","","","1.9","93","","4","4020","",""
"top_luis_surprise_in","0","1","0","1","3","","4","4021","top_luis_surprise_idle","0.2"
"0","","","","2.3","93","","4","4022","",""
"0","","","","11","32","","4","4023","",""
"0","","","","1","93","","4","4024","",""
"0","","","","11","4","","4","4025","",""
"980","","0","130","11","2","","4","4026","7",""
"0","","","","1.5","93","","4","4027","",""
"1","","","","11","32","","4","4028","",""
"smokeL","","","","11","37","","4","4029","",""
"980","","0","-130","11","33","","4","4030","5.964",""
"top_iroha_run_joy","","","1","2","3","","4","4031","","0"
"0","","","","2","4","","4","4032","",""
"980","","0","-130","2","2","","4","4033","5.964",""
"0","","","","2.2","93","","4","4034","",""
"top_luis_surprise_look","","","1","1","3","","4","4035","","0"
"0","","","","3.764","93","","4","4036","",""
"top_luis_thinking","","","1","1","3","","4","4037","","0.2"
"0","","","","11","32","","4","4038","",""
"0","","","","2","93","","4","4039","",""
"top_iroha_walk","","","1","2","3","","4","4040","","0"
"1","","","","2","4","","4","4041","",""
"400","","0","-130","2","2","","4","4042","3",""
"400","","0","-130","11","33","","4","4043","3",""
"0","","","","3","93","","4","4044","",""
"top_iroha_walk_out","0","1","0","2","3","","4","4045","idle_normal","0.2"
"0","","","","0.4","93","","4","4046","",""
"top_iroha_sit_in","0.2","","0","2","3","","4","4047","","0.2"
"0","","","","4","93","","4","4048","",""
"","","","","4007","101","","4","4049","",""
"3","1","-130","100","3","5","top_sono_readPaper","5","5001","350","1.4"
"2","1","-130","110","2","5","top_iroha_read_loop","5","5002","452","1.4"
"0","","","","0","91","","5","5003","",""
"top_iroha_read_loop","","","1","2","3","","5","5004","","0.2"
"top_sono_readPaper","","","1","3","3","","5","5005","","0.2"
"0","","","","13.6","93","","5","5006","",""
"top_sono_sit_out","0","1","0","3","3","","5","5007","top_sono_stretch","0.2"
"287","","0","-130","3","2","","5","5008","0.3",""
"0","","","","3.5","93","","5","5009","",""
"top_sono_drink","","","1","3","3","","5","5010","","0.2"
"0","","","","2.6","93","","5","5011","",""
"top_iroha_read_look","","","0","2","3","","5","5012","","0.4"
"0","","","","7.9","93","","5","5013","",""
"top_sono_sit_in","","","0","3","3","","5","5014","","0.2"
"0","","","","0.1","93","","5","5015","",""
"top_iroha_read_loop","","","1","2","3","","5","5016","","0.2"
"350","","0","-130","3","2","","5","5017","0.3",""
"0","","","","2.5","93","","5","5018","",""
"","","","","5005","101","","5","5019","",""
"1","1","-103","100","1","5","idle_normal","6","6001","-216","1.4"
"3","1","-130","101","3","5","top_sono_readPaper_loop","6","6002","350","1.38"
"10","","1","475","10","31","","6","6003","-18","1"
"13","","1","56","13","31","","6","6004","-140","0"
"14","","1","56","14","31","","6","6005","-140","0"
"0","","","","0","91","","6","6006","",""
"top_sono_readPaper_loop","","","1","3","3","","6","6007","","0.2"
"top_luis_arm_crossed_in","0","1","0","1","3","","6","6008","top_luis_arm_crossed_idle","0.2"
"0","","","","4","93","","6","6009","",""
"top_luis_approach_in","0","1","0","1","3","","6","6010","top_luis_approach_idle","0.2"
"0","","","","3.5","93","","6","6011","",""
"top_luis_thinking","","","1","1","3","","6","6012","","0.2"
"0","","","","3.5","93","","6","6013","",""
"top_luis_walk_think","","","1","1","3","","6","6014","","0.2"
"-495","","0","-103","1","2","","6","6015","2",""
"0","","","","2","93","","6","6016","",""
"0","","","","1","4","","6","6017","",""
"-216","","0","-103","1","2","","6","6018","2",""
