001315c7bb742b624babb97ad97aaf597bad71892e2e178f2466c68ba8d93ca5,d85e72564ca493e7bb31976683054e41aa0e3223d0e74ee64b09b3c20f738cff,d48fefe08214cdbff0a1286050f4763c062dee007dc3ce7df4f92c894cac1305,39325ac72cf510c6135115d3f3afeff44da093ec83fc5e59fa0d22897619cdb7,ec46e6976c79ebe27edfb7f29b7f18003a76a416ccfb0f8b2f9458325f64d056,4b4d56d7c1ea9a08d1cd759f0c7e346efda8227e33017be009dfcfb8b6c041f7,25c8176b59575bcaf2979ab7c46e4039fb742dc11540e0bdd47553856073dd06,3e99e924640a2454e1c20fa928cb4cf32ee2f8c3b455a62f7e74ee02d9f45011,d9fb8fb06d9c210a661b6adfaa2a830a6076e72560c367f0eb6e4ea8876a98e0,c0d1177fdf20026e8c49cd61eeb8f3e80491235c2a5d24963142cbf0d467e4dc,c2b253bc52f8363446b3495a4b467b2b61e0bd4df1d31f731b9c7b9ff626a87d,2bf7628456a28f0e6f16a6dedc5e8393469a643f7cf71658dec729e2241bb393,98cc1e1759caf9dad4c8a6a07fff31dc7011383f668cb1b21078ff1153e185e4,38c7c3a25b10ad6cd3cfb316e90b70acdbd35e66b213a0120721c30037a94be8,72c20a944a4f7e1f45b34c3f9886e05135a9a8c445bcef8bab72330bd4bbaa96,13aaa388c9775cf3f27c09292d62ebfbbdb70440c440766a4a47933a89d29031,044bad5cabdd75baa7d26f6a45cf6f3a452b5de1f1970f3279705f0a01133aad,0c747673230cd2900079144c5c9a67439e5dec3c87978fc2e38a0f30fe853ce4,a41b713965fc72ecd96f5a4914ed786c075054c9005b0eaebd2936f5937bff78,bc97ce92e4677fb312989ffe21543494d2e3eb84af4c6b9116539ca2dcce5633,7d1ad5d431cce80c1477a49eac7f9db6e76175438d8df417ea5f35d5ea186bac,05108c49485caf3456133d041b861c81f1c53c357116045d4b991fa627d14ef6,643f655f0ffc7c7c667da439f6de0cec0f3caf3894139755884a6dae9f6a9566,20eb219280b0e28eb2eb053eade152c9af0c4845559440dfa324a8bd0f8881fb,608f4c3b1a0dc9caa1202ecfbe98f1c939ee508f89bb03066b2af52c09449cf0,c3f6b8f1242c8aad5a58f44c126df7566346b9e6803ad4f5b93136a4ade35ab1,9f3e1688134107ed6cd80775d6c2dadb7d4e215ab9cf64ecade335f2fc21ab72,3156e3c6b55829b8338bb7671014d97cf71633cd894b5c56641fe12b52e124b1,8d259e81aaf05f0c63e3c9465e1ca1beaf86cef9ad751645b56d84e6f03e7de3,adde61fd89fc6263959e3db39af4233d1df5b6a4f8b8870d1e49d49cb47fdcb0,c29ea1e90510b53698fbc304879530e3b8ffa1a5bd4659a15e91ce37bf76654f,816031afe694a05061b34666b9dbca10f44c0d6b28cdc827575f6bd762a1be98,1ed9ed3c20d7ff99dfb98fc6220690114c4657c71e4c423c9694eb74ee3bf0c4,6739e0d4fb3ed08c5f100607efba2525899ba48c0863d3932522c6520eb69d23,f94915c1e2838a4262b3e02b7b739c8cec7f583b86b00b7f182cfae3a6d643ab,56014efb298e0d419667150e352a6e963ea71436fe8aaa342b560bbced0da0d5,7ae691d8c9bdda1ed069db464a67391c6bf4b92c708e32186843fc4bbcb90d1d,f46d3fbbf826d2c75fd15f9c812c2cd1cfde26d3d75a1b1a8c789385077ef796,f420614d7fd78864b8236418ff17b96f5b8a5846fcc4987be8b71a0178acfabc,ddef4d6ec9b90f8bcd397e193f0b8bcf39aa4f7b653dbcbffc227c11acd41841,279e4d3d99d8eab966d636a23483df558ecd3d13b5b59c6f55a5904cb8f22301,01544f2247e780b582f49696676083ee8ca489f68119f00363ab73b62a80f115,af4d664718d64f16c4fe521e7d3582dd95b87f3c61001e4ba8a9ecdf0845edac
"0","0","0","0","200","0","900000","0","1","0","0","804100111","0","0","0","217601","0","0","1","0","0","0","2500","2500","0","50","200000001","0","0","0","0","0","0","2500","0","0","900","0","900","0","寶石蜘蛛A","5000","0"
"0","0","0","0","200","0","900000","0","1","0","0","804100121","0","0","0","217602","0","0","1","0","0","0","2500","2500","0","50","200000001","0","0","0","0","0","0","2500","0","0","600","0","600","0","寶石蜘蛛B","5000","0"
"0","0","0","0","200","0","900000","0","1","0","0","804100131","0","0","0","217603","0","0","1","0","0","0","2500","2500","0","50","200000001","0","0","0","0","0","0","2500","0","0","300","0","300","0","寶石蜘蛛C","5000","0"
"0","0","0","0","600","70","18000000","0","1","0","0","804100201","0","0","0","319901","0","0","1","0","0","100","2500","2500","0","50","300000008","0","0","2500","0","0","0","2500","0","0","700","0","700","0","倭","12000","0"
"0","0","0","0","600","0","14000000","0","1","0","0","804100211","0","0","0","319801","0","0","1","0","0","0","100","100","0","50","300000008","0","0","0","0","0","0","0","0","0","200","0","200","0","若菜","0","0"
"0","0","0","0","600","130","9000000","0","1","0","0","804100221","0","0","0","319701","0","0","1","0","0","0","300","100","0","50","300000008","0","0","2500","0","0","0","0","0","0","200","0","200","0","布武機","10000","0"
"16000","0","0","0","600","100","67000000","0","1","0","0","804100301","0","0","0","321500","0","0","1","0","0","100","2500","2500","0","50","300000008","0","0","2500","0","0","0","2500","0","0","1200","0","1200","0","芙蕾雅","16000","0"
"0","0","0","0","600","0","12000000","0","1","0","0","804100311","0","0","0","217700","0","0","1","0","0","0","2500","2500","0","50","300000008","0","0","0","0","0","0","2500","0","0","500","0","500","0","飛龍","12000","0"
"16000","0","0","0","700","160","80000000","0","1","0","0","804100401","0","0","0","321600","0","30","1","0","0","2500","2500","2500","0","50","300000008","0","0","2500","2500","0","0","2500","0","0","600","0","600","0","阿剌克涅","14000","0"
"16000","0","0","0","700","110","80000000","0","1","0","0","804100402","0","0","0","321603","0","30","1","0","0","2500","2500","2500","0","50","300000008","0","0","2500","0","0","0","2500","0","0","600","0","600","0","阿剌克涅","14000","0"
"50000","0","0","0","750","0","600000000","0","1","0","0","804100501","0","0","0","321601","0","0","1","0","0","0","5000","5000","0","50","300000009","0","0","0","0","0","0","0","0","0","50000","0","50000","0","六凶‧魔蜘蛛阿剌克涅","36000","0"
"40000","0","0","0","750","130","600000000","0","1","0","0","804100502","0","0","0","321602","0","5000","1","0","0","5000","5000","5000","0","50","300000009","150","0","5000","150","0","0","5000","0","0","1200","0","1200","0","六凶‧魔蜘蛛阿剌克涅","36000","0"
"0","0","0","0","316","50","150000","0","1","0","0","804100601","0","0","0","192701","0","0","1","0","1500","0","316","0","0","50","900000001","0","0","316","0","0","0","0","0","0","1000","0","1000","0","雪菲","40000","0"
