0bb1e8d4fc5c7faa1213ee2d9ed2462263a95762bc1f2d71500a6153deefcbe3,dc6f726686796761b67a9d4dc0106ce38ec9a3bf45159fb06343131d5be50ffb,a810663d2a092d185f4ec16c2740fecb08c3b11c19195d54287c3e50d6371e34,ac58516525423e8a3bcde5e903b54cacf17b9114bcbe15b3420b0de8e1a4be83,113147a6a5f7f92468b1a603037333cfbf73ffd171372b7980f83e02ae2240b5,c5e299ab04004983b380d79b34bc18b3d1abd82c03b1dfd4f9570d5eb80ad653,a530984a93bb2050c68d5d0aa04cee50768b4850ffb04a1a02346e6597b1cb03,e683ce801e5b0ceae5daf42d7f09c1e7431174d789b22cce21e87403a5133ec7,ef618ee38febf82483728af91486e64e9c1698aaa0067c130aa91e7ac9eebd3e,3a2b9974f769a05cd7cd8d6aa0e6b6cd83c1c1a5c94a355ba09de794dacfde80,5b173cba747a25dc8f92751d12d2ba6eeeb18b8d74ca782f9818c72b934b4ad1,584ccc0b566723571cd14b6053fd6f6db77b5f21586a5d203d12c06cab237818,bc5c5af98d50b25570d082e1ed5559fcb93f4a483aa956c0373883ed5ea6d1ca,e9a54a88e73abf63243ef54919565508992e707729df4c5c9317d4055e571ceb,299bf92b0f024e9a7e90bcc18f296041fd5ed646485dfde247b7702aab182924
"0","0","0","0","宮子的廚房","0","0","0","0","0","0","1","0","0","0"
"0","0","102","0","把你變成布丁喲","48","0","0","0","0","0","2","0","0","0"
"0","0","152","0","比幽靈還可怕的東西？","96","0","0","0","0","0","3","0","0","0"
"0","0","142","0","宴會要與做布丁並行","144","0","0","0","0","0","4","0","0","0"
"0","0","127","0","愛就是為了布丁","168","0","0","0","0","0","5","0","0","0"
"0","0","107","0","稍微成長了？","192","0","0","0","0","0","6","0","0","0"
"0","0","0","0","啾啾～！","240","0","0","0","0","0","7","0","0","0"
"154","155","153","0","可愛的三名手下","0","0","20","0","0","0","8","0","0","0"
"157","0","150","0","好奇怪的興趣喲","0","0","40","0","0","0","9","0","0","0"
"161","0","125","0","不要亂加很危險喲","0","0","50","0","0","0","10","0","0","0"
"135","0","116","0","這是食譜？","0","0","60","0","0","0","11","0","0","0"
