26f0139c4ae7762a0c5d65d829e3e496953449733ae2e301129084877ed94201,b942361f53300b51b2cceccfb3066ce67b5ac5cdaa82bb4a0d61f7d8bcda6042,00b00fa3059cf957813ad6ed46b323bc4a131a035f8ad3f8e16f1e8278fe1f41,8cd536cd089d8ef533ba71f937402d387f1475b964c533bb083a5f43150b3b70,dee6818afb6c2a5504a6ca2111293a37112b493b94c52cc3b6d7df3ec7d62ba2,a36cc62f9de183f7eb40c1098f54becd6915a112d065a3049d1ecb1515a3567a
"1","1","10008103","0","10008","10008001"
"1","2","10008104","0","10008","10008002"
"1","3","10008105","0","10008","10008003"
"1","4","10008107","0","10008","10008004"
"1","5","10008111","0","10008","10008005"
"2","201","0","0","10008","10008006"
"201","101","10008105","0","10008","10008201"
"201","102","10008107","0","10008","10008202"
"201","103","10008111","0","10008","10008203"
"202","111","10008115","0","10008","10008204"
"101","105601","0","0","10008","10008301"
"101","100901","10008103","0","10008","10008302"
"101","101301","10008104","0","10008","10008303"
"101","105601","10008105","0","10008","10008304"
"101","101301","10008107","0","10008","10008305"
"101","100901","10008111","0","10008","10008306"
"102","105601","0","0","10008","10008307"
"2","201","0","0","10010","10010001"
"1","2","10010112","0","10010","10010002"
"1","3","10010115","0","10010","10010003"
"1","4","10010103","0","10010","10010004"
"1","5","10010105","0","10010","10010005"
"1","6","10010107","0","10010","10010006"
"1","7","10010109","0","10010","10010007"
"211","101","10010112","0","10010","10010201"
"211","0","10010115","0","10010","10010202"
"501","101461","10010110","101471","10010","10010501"
"501","101462","10010110","101472","10010","10010502"
"501","101463","10010110","101473","10010","10010503"
"3","211","1001004","0","10010","10010531"
"4","1","1001201","0","10012","10012001"
"4","2","1001202","0","10012","10012002"
"4","3","1001203","0","10012","10012003"
"4","4","1001204","0","10012","10012004"
"5","101","1001201","0","10012","10012301"
"5","101","1001202","0","10012","10012302"
"5","101","1001203","0","10012","10012303"
"6","501","0","0","10012","10012401"
"3","211","1001204","0","10012","10012531"
"3","211","1001304","0","10013","10013531"
"3","211","1001504","0","10015","10015531"
"1","1","10017102","0","10017","10017001"
"1","2","10017108","0","10017","10017002"
"1","3","10017115","0","10017","10017003"
