36402eb40504b53293c8863e7d6bae07183c68227eda51def0929c252f379a04,bd5bba43288010d3a97e4aa206de6ed526835dc3011e358205551709a7d2ecbe,5daf6cb4d84c6ecbb58f92ce6710f8c2a6234c23a1b8a556f00789ad823a9edf,640630f00fc75626de9fa1b7d3395fa6df353f26426035a117130971b6dd6399,60099178762cc698722dd2919e1a2dfba5a962604ac16491195b73850ef9275e
"1","1","1","100111","1001"
"2","1","2","100112","1001"
"3","1","3","100113","1001"
"4","1","4","100114","1001"
"5","1","5","100115","1001"
"1","2","6","100121","1001"
"2","2","7","100122","1001"
"3","2","8","100123","1001"
"4","2","9","100124","1001"
"5","2","10","100125","1001"
"1","3","11","100131","1001"
"2","3","12","100132","1001"
"3","3","13","100133","1001"
"4","3","14","100134","1001"
"5","3","15","100135","1001"
"1","1","16","100211","1002"
"2","1","17","100212","1002"
"3","1","18","100213","1002"
"4","1","19","100214","1002"
"5","1","20","100215","1002"
"1","2","21","100221","1002"
"2","2","22","100222","1002"
"3","2","23","100223","1002"
"4","2","24","100224","1002"
"5","2","25","100225","1002"
"1","3","26","100231","1002"
"2","3","27","100232","1002"
"3","3","28","100233","1002"
"4","3","29","100234","1002"
"5","3","30","100235","1002"
"1","1","31","100311","1003"
"2","1","32","100312","1003"
"3","1","33","100313","1003"
"4","1","34","100314","1003"
"5","1","35","100315","1003"
"1","2","36","100321","1003"
"2","2","37","100322","1003"
"3","2","38","100323","1003"
"4","2","39","100324","1003"
"5","2","40","100325","1003"
"1","3","41","100331","1003"
"2","3","42","100332","1003"
"3","3","43","100333","1003"
"4","3","44","100334","1003"
"5","3","45","100335","1003"
