7df0e73ea1cb07f4cd594b7c41f2fdb6fec97e9be9cd7032183944ce34cc0e1a,aa125b7ca1c58ed66c474ac82779710e53b4c319b30dc843edf2ca9a92a26c3f,674f43ca88ccd99a65c27fc0da034c531534a3d800f6e3111113a217e575adcc,3013aef84171bbef941b29e415c59dc922d4df9cc24db98216e71160f4dc24ca,77fd4477484559ad0c488eb25707aa4b9dd87939705901b5343837c4c79ece4c,f1d710165a2d944ece5a154143da2d29acf42547d740634b0fc9301d01c02c6b,ca7986609a1ba74a543a186c8e9980b520935523e0df6cf8080b8e8344520560,90a5eb7230455e1864d5de3719c35318f887f3fc3d71c48b4d55fda32e545e48,685292c250a3dd632474b541a95a4dea983396faf8bcdff6f998379f148c9ee9,0720695b0491a468ed769e9c528737f1610f043161c7cc6f65cfff22d724a383,ef02ef678a9ecbfbc04144ff0d22ca2be197e2a56c5d9c0c3e51f97cb5715ef7,b20d7b337dd7fca165132a74acd57ac17f979334abb1f9db6449de9455826236,c2ead53ce6e23976b86c8b84d4a03ed7a10bbfbe70aba5d429923dcce441e335,e2208322c0910ddecc61bee24c81a18520d63e9bab4b64a82748822ef8011920,5613cd17ac695754fc53f3e1cd76715bd6843a7add0cc835fb8c29fd2bc3fc99,f885a1e0641f21f96d23928413b23fea13001cae5083bd497a7336090ebc6c98,aae996da79f5353a8aac1d29f45a6002506bc0caec0d25bed0da1b720c246a8e
"100000","7200","4104351","11001001","11001","4201401","1","克梅利亞洞窟","10","43200","4104401","4101351","108","4101401","1","-470","11001001"
"100000","7200","4110351","11001002","11001","4203401","1","盧可拉諾大瀑布","10","43200","4110401","4106351","90","4106401","2","-235","11001002"
"100000","7200","4105351","11001003","11001","4201401","1","艾里巨木","10","43200","4105401","4102351","108","4102401","3","0","11001003"
"100000","7200","4109351","11001004","11001","4203401","1","伊雷亞溪谷","10","43200","4109401","4108351","90","4108401","4","235","11001004"
"100000","7200","4107351","11001005","11001","4201401","1","史達爾斷崖","10","43200","4107401","4103351","108","4103401","5","470","11001005"
"100000","7200","4101401","11002001","11002","4301401","1","阿爾巴岸堤","10","43200","4201401","4301351","108","4104401","6","-470","11002003"
"100000","7200","4106401","11002002","11002","4305401","1","撒達爾史朵\n沙灘","10","43200","4203401","4305351","90","4110401","7","-235","11002002"
"100000","7200","4102401","11002003","11002","4302401","1","達爾里克\n巨岩","10","43200","4201401","4302351","108","4105401","8","0","11002001"
"100000","7200","4108401","11002004","11002","4304401","1","安卡爾川","10","43200","4203401","4304351","90","4109401","9","235","11001005"
"100000","7200","4103401","11002005","11002","4303401","1","達克比亞\n森林","10","43200","4201401","4303351","108","4107401","10","470","11001001"
"100000","7200","4201401","11003001","11003","4109401","1","密瑪斯\n洞穴","10","43200","4104401","4201351","108","4101401","11","-470","11003001"
"100000","7200","4202401","11003002","11003","4110401","1","雷安特河","10","43200","4102401","4202351","90","4108401","11","-155","11003002"
"100000","7200","4203401","11003003","11003","4109401","1","刻蘭德\n廢墟","10","43200","4105401","4203351","108","4103401","11","160","11003003"
"100000","7200","4204401","11003004","11003","4110401","1","迪歐涅加\n冰海","10","43200","4107401","4204351","90","4106401","11","470","11003004"
