e9d1374dbfa02febf3401333c2bd6a114b59b26d2447c5905a5c0968d5557a59,891baee5a8fcc910e58c2dfbd857f6e8a1a12f0acf53e76bed799a5e6d0a07cd,75aacfd82435d6e10cf38cf28d970ed184053b6790c7de0238efe40ca7d9832a,af532b1be5083298e33acfb74c45c25259d78cf2f36df8d38992d3eb52b015f5,652a204cc3dff478d7fd9102deab67ee583f7c128bb05dee36ab1f4a5ca087f4
"單手劍","90009","101","#D23232","red"
"雙手劍","90009","102","#D23232","red"
"短劍","90009","103","#D23232","red"
"槍","90009","104","#D23232","red"
"斧","90009","105","#D23232","red"
"弓","90009","106","#D23232","red"
"拳","90009","107","#D23232","red"
"盾","90009","108","#D23232","red"
"杖","90009","109","#D23232","red"
"書本","90009","110","#D23232","red"
"衣服","90010","201","#476FD8","blue"
"鎧甲","90010","202","#476FD8","blue"
"白長袍","90010","203","#476FD8","blue"
"黑長袍","90010","204","#476FD8","blue"
"戒指","90011","301","#E5681E","yellow"
"手鐲","90011","302","#E5681E","yellow"
"項鍊","90011","303","#E5681E","yellow"
"寶珠","90011","304","#E5681E","yellow"
"耳環","90011","305","#E5681E","yellow"
