444ab0c8317a2b3ab2809cbe1b38e9b15fb6c469737fbfe690b58a0865ceaac6,9095c603d57e69b966b79cf7ae917b0446401519c58f3517bf074f1476e169cb,35f9a790932734968ed7a067ffec654caefdd1e2c45f49e2fd6a384f79c2e673
"1","32025","1"
"2","32046","1"
"3","32048","1"
"4","32016","1"
"5","32060","1"
"5","32078","2"
"6","32031","1"
"7","32007","1"
"8","32050","1"
"9","32033","1"
"10","32058","1"
"10","32075","2"
"11","32042","1"
"12","32021","1"
"13","32023","1"
"14","32027","1"
"15","32049","1"
"16","32011","1"
"17","32045","1"
"18","32030","1"
"19","32013","1"
"20","32040","1"
"21","32018","1"
"22","32028","1"
"23","32043","1"
"24","32017","1"
"25","32010","1"
"26","32036","1"
"27","32004","1"
"28","32020","1"
"29","32059","1"
"29","32076","2"
"30","32014","1"
"31","32038","1"
"32","32003","1"
"32","32089","2"
"33","32071","1"
"34","32029","1"
"35","32044","1"
