776573175af58cb4feea6b0f89dfb83c6c9d84f824f198268c3a6577fe83fd62,fc993e572e7d77bde0806bdf4eec7698c05361016d47a16882a3ea305a8c2296,308acd2f34b908ecf6327a3ea32c628366c071de954495b2debe1d3c8ba605b4,15e81c19ea9876f2285eb7367920e350a2e8f70f6c48d7cc097c5e65cb4fe1d3,eb3ae3eecc22aec8a512aad0a92ca92373e19501d40e2696f67e5f76e974fcde,453098daedf93febb1fb91317087174f737d317428fe33a6b2d42a2b1e487556,5c56b882690bd3f1ce312408efaaa47275a2f6f5a85477749dbee1c559620060,db3baeb989e5c6a6114ee055d2d036d4e822057c0d4a9391554d092859d79a9d,80566eb5889a5b86806e39ccd701825596bb366129293b423343dcc904f533d7,2cb3e9a2950708e550a40414b3f1321a4a64d485bf1042a9b920adce16d2f576,cc4872e63cdcb6c9a582d2b9bfd2b02a816dd91225ca7a9eebcd563c4b5741f4
"0","-230","-420","1","160","100","101","cgg_idle_normal","1","5","101001"
"1","-230","375","1","1.6","100","101","cgg_idle_def","105811","1","101002"
"1","-230","490","1","1.6","101","101","cgg_idle_def","106011","1","101003"
"0","1","1","1","0.1","1","101","","1","6","101004"
"0","1","1","105811","0.1","1","101","","1","6","101005"
"0","1","1","106011","0.1","1","101","","1","6","101006"
"","","","0.2","","","101","","0","93","101007"
"","","0","vo_minigame_1007","","0","101","","vo_minigame_1007_top_talk_1_001","21","101008"
"0","0","0","105811","0","4","101","0","妳看，小凱留♪\n有好多慈樂之音的\n周邊喔☆","11","101009"
"","","","1","0.2","1","101","","cgg_idle_surprise1","3","101010"
"0","1","cgg_talk_surprise_kira","105811","0.2","0","101","","cgg_surprise_kira","3","101011"
"","","","2.1","","","101","","0","93","101012"
"","","","1","0.2","1","101","","cgg_idle_surprise3","3","101013"
"","","","105811","0.2","1","101","","cgg_talk_joy1","3","101014"
"","","","101009","","","101","","","91","101015"
"","","","105811","0.2","1","101","","cgg_idle_def","3","101016"
"","","0","vo_minigame_1007","","0","101","","vo_minigame_1007_top_talk_1_002","21","101017"
"0","0","0","106011","0","5","101","0","有這麼多啊……\n這種東西會讓人\n不由自主地\n想全部收齊呢。","11","101018"
"","","","1","0.2","1","101","","cgg_idle_reaction1","3","101019"
"","","","106011","0.2","1","101","","cgg_talk_surprise1","3","101020"
"","","","2.1","","","101","","0","93","101021"
"","","","1","0.2","1","101","","cgg_idle_nod","3","101022"
"","","","106011","0.2","1","101","","cgg_talk_bitter","3","101023"
"","","","101018","","","101","","","91","101024"
