2abe3df242379aea839aa687cc24ccc4400277f3499e706f205b9b6392cbfcc5,ae1b45742a57de31da63df99a31eefbf1c208c0fd325d35d725238d136d7d1a9,a52d68c33976c7fadd5e38049a3e30e1d66fbc53e4fdf5110754485c68d30a53,6941dbef9a1129ed1f4111765640efdb8020e3c559bcc16ef13dfa88044852fc,ed3b7885359d2f331ffe7658e5717b14daf03561d4dc34c8ab8ad8ecea9a52dd,5e3e47022a81184a4e408c44adcdde52210dedf9ef813e514907483be8d33135,2b052b825fbb9064164d0be183a8d4bb600d58c2a6efb5baac42a109a27a4edd,b76da75d9036109a4ab3762da44750c080da66f079f02accc17b65c643659d47,1f845a1d7d40ee62c2308aed284c1071b9566e183b5fa98a16529d65b6908a5d
"100000001","4101","3","3","累積獲得3個★","100101","0","1001","1"
"100000002","4101","6","6","累積獲得6個★","100102","0","1001","2"
"100000003","4101","9","9","累積獲得9個★","100103","1","1001","3"
"100000004","4101","12","12","累積獲得12個★","100104","0","1001","4"
"100000005","4101","15","15","累積獲得15個★","100105","0","1001","5"
"100000006","4101","18","18","累積獲得18個★","100106","0","1001","6"
"100000007","4101","21","21","累積獲得21個★","100107","1","1001","7"
"100000008","4101","24","24","累積獲得24個★","100108","0","1001","8"
"100000009","4101","27","27","累積獲得27個★","100109","1","1001","9"
"100000010","4101","30","30","累積獲得30個★","100110","0","1001","10"
"100000011","4101","33","33","累積獲得33個★","100111","0","1001","11"
"100000012","4101","36","36","累積獲得36個★","100112","1","1001","12"
"100000013","4101","39","39","累積獲得39個★","100113","0","1001","13"
"100000014","4101","42","42","累積獲得42個★","100114","0","1001","14"
"100000015","4101","45","45","累積獲得45個★","100115","1","1001","15"
"100000016","4101","48","48","累積獲得48個★","100116","0","1001","16"
"100000017","4101","51","51","累積獲得51個★","100117","1","1001","17"
"100000018","4101","54","54","累積獲得54個★","100118","0","1001","18"
"100200001","4101","3","3","累積獲得3個★","100201","0","1002","1"
"100200002","4101","6","6","累積獲得6個★","100202","0","1002","2"
"100200003","4101","9","9","累積獲得9個★","100203","1","1002","3"
"100200004","4101","12","12","累積獲得12個★","100204","0","1002","4"
"100200005","4101","15","15","累積獲得15個★","100205","0","1002","5"
"100200006","4101","18","18","累積獲得18個★","100206","0","1002","6"
"100200007","4101","21","21","累積獲得21個★","100207","1","1002","7"
"100200008","4101","24","24","累積獲得24個★","100208","0","1002","8"
