e6fd6e3484f1e45229cc1358af715112b6d933f3dda19f7bfae9ffca2c55bda7,346e50bdc843788b04de3cdd3c7df77e16db5b367b4f0c859cdef3c580d21673,55f13ab864bf0e5c0d6a5f200dacf17cd4d838a0f11593031c38ccae361ee95c,5e60bd4adccd97215fe9a5dace68ce974d3282bea449e218a6e794690a8bcb1b
"20","2","1","20"
"30","3","1","30"
"80","3","2","50"
"160","3","3","80"
"60","4","1","60"
"160","4","2","100"
"340","4","3","180"
"700","4","4","360"
"1200","4","5","500"
"100","5","1","100"
"260","5","2","160"
"540","5","3","280"
"1020","5","4","480"
"1800","5","5","780"
"100","6","1","100"
"260","6","2","160"
"540","6","3","280"
"1020","6","4","480"
"1800","6","5","780"
"100","7","1","100"
"260","7","2","160"
"540","7","3","280"
"1020","7","4","480"
"1800","7","5","780"
"100","8","1","100"
"260","8","2","160"
"540","8","3","280"
"1020","8","4","480"
"1800","8","5","780"
"100","9","1","100"
"260","9","2","160"
"540","9","3","280"
"1020","9","4","480"
"1800","9","5","780"
"100","10","1","100"
"260","10","2","160"
"540","10","3","280"
"1020","10","4","480"
"1800","10","5","780"
