68028e73bc8369cb8c74f1a7612a4beb420ceceba1521d1984eacb97e62e25f8,b52f81db770fcac1bf98edc580c3c83a30c237ca8ab8abbd6827b644a5b81007,7d3cbf6aaf7f97c71db45d38314555942f583a0d41d8959287a51a88b6880ad8,797469b5056bfe07902d05c8fda2e6081a46d596e4d3607b2e79e30b64649525,d8eeeb80ce6ef931d0a03a8a3cba1aecec3cf53e43e9e6e5af59a17e5e9a4346,97a5e5ccecc92f5d52abc9cdc96b193765e73132d8383c2b120a58d3eb27fbff,ed0de375ad775755a0d5c360cc3d465c0d89bc9b59d4334e5bd17f5bf74ddb74,79ffc8902f87c637da927b7b0389b02b28bde411ad136e4ce90a9dc074b91cc5,3ceb0daed60ebefb5e3d6ed12a202181ec8494d871777583c71c3092acbca3cd,2d2c0ad4df4b3affce5b60e7bba1e5eebeb1d8b0c9cc17b2f3afeb129e26f2de,5f06f1c90eb480b2ea62485b887e29e8946b83358bf32fa4b3a33849361a1d15,02ea8db9ceb236cbd76aa1b36ada5b82c83c0e4c8ca3f2395e7c427e174bd41a
"0.8","100700101","0","0","1","1007001","0","0","0","4","1","0"
"0","100700102","0","0","2","1007001","vo_svd","vo_svd_0101","0","2","0","0"
"0","100700103","1.684","300","3","1007001","0","0","1","1","0","0"
"1.949","100700104","0","0","4","1007001","0","0","0","4","1","0"
"0","100700105","1.363","327","5","1007001","0","0","2","1","0","15"
"3.027","100700106","0","0","6","1007001","0","0","0","4","1","0"
"0","100700107","0","0","7","1007001","vo_svd","vo_svd_0102","0","2","0","0"
"0","100700108","1.69","441","8","1007001","0","0","3","1","0","0"
"1.7","100700109","0","0","9","1007001","0","0","0","4","1","0"
"0","100700110","1.446","478","10","1007001","0","0","4","1","0","0"
"1.722","100700111","0","0","11","1007001","0","0","0","4","1","0"
"0","100700112","1.245","478","12","1007001","0","0","5","1","0","0"
"0.417","100700113","0","0","13","1007001","0","0","0","4","1","0"
"0","100700114","0.864","478","14","1007001","0","0","5","1","0","478"
"2.482","100700115","0","0","15","1007001","0","0","0","4","1","0"
"0","100700116","0","0","16","1007001","vo_svd","vo_svd_0103","0","2","0","0"
"0","100700117","2.352","420","17","1007001","0","0","6","1","0","0"
"1.694","100700118","0","0","18","1007001","0","0","0","4","1","0"
"0","100700119","0.953","268","19","1007001","0","0","7","1","0","0"
"2.5","100700120","0","0","20","1007001","0","0","0","4","1","0"
"0.8","100700201","0","0","1","1007002","0","0","0","4","1","0"
"0","100700202","0","0","2","1007002","vo_svd","vo_svd_0201","0","2","0","0"
"0","100700203","0.865","237","3","1007002","0","0","1","1","0","0"
"1.516","100700204","0","0","4","1007002","0","0","0","4","1","0"
"0","100700205","1.013","314","5","1007002","0","0","2","1","0","0"
"0.973","100700206","0","0","6","1007002","0","0","0","4","1","0"
"0","100700207","0.755","314","7","1007002","0","0","2","1","0","314"
"2.018","100700208","0","0","8","1007002","0","0","0","4","1","0"
"0","100700209","0","0","9","1007002","vo_svd","vo_svd_0202","0","2","0","0"
"0","100700210","0.541","76","10","1007002","0","0","3","1","0","0"
"0.517","100700211","0","0","11","1007002","0","0","0","4","1","0"
"0","100700212","0.992","330","12","1007002","0","0","3","1","0","76"
"0.792","100700213","0","0","13","1007002","0","0","0","4","1","0"
"0","100700214","0.751","0","14","1007002","0","0","4","1","0","0"
"1.887","100700215","0","0","15","1007002","0","0","0","4","1","0"
"0","100700216","0","0","16","1007002","vo_svd","vo_svd_0203","0","2","0","0"
"0","100700217","1.482","160","17","1007002","0","0","4","1","0","0"
"0.858","100700218","0","0","18","1007002","0","0","0","4","1","0"
"0","100700219","1.255","268","19","1007002","0","0","4","1","0","160"
"2.752","100700220","0","0","20","1007002","0","0","0","4","1","0"
"0","100700221","0","0","21","1007002","vo_svd","vo_svd_0204","0","2","0","0"
"0","100700222","1.827","336","22","1007002","0","0","5","1","0","0"
"1.654","100700223","0","0","23","1007002","0","0","0","4","1","0"
"0","100700224","1.773","364","24","1007002","0","0","6","1","0","0"
"2.5","100700225","0","0","25","1007002","0","0","0","4","1","0"
"0.8","100700301","0","0","1","1007003","0","0","0","4","1","0"
"0","100700302","0","0","2","1007003","vo_svd","vo_svd_0301","0","2","0","0"
"0","100700303","1.205","232","3","1007003","0","0","1","1","0","0"
"1.739","100700304","0","0","4","1007003","0","0","0","4","1","0"
"0","100700305","1.278","355","5","1007003","0","0","1","1","0","232"
"0.687","100700306","0","0","6","1007003","0","0","0","4","1","0"
"0","100700307","0.735","0","7","1007003","0","0","2","1","0","0"
"2.357","100700308","0","0","8","1007003","0","0","0","4","1","0"
"0","100700309","0","0","9","1007003","vo_svd","vo_svd_0302","0","2","0","0"
"0","100700310","1.542","364","10","1007003","0","0","2","1","0","0"
"1.9","100700311","0","0","11","1007003","0","0","0","4","1","0"
"0","100700312","1.82","336","12","1007003","0","0","3","1","0","0"
"1.754","100700313","0","0","13","1007003","0","0","0","4","1","0"
"0","100700314","1.133","255","14","1007003","0","0","4","1","0","0"
"2.697","100700315","0","0","15","1007003","0","0","0","4","1","0"
"0","100700316","0","0","16","1007003","vo_svd","vo_svd_0303","0","2","0","0"
"0","100700317","1.827","336","17","1007003","0","0","5","1","0","0"
"2.182","100700318","0","0","18","1007003","0","0","0","4","1","0"
"0","100700319","1.186","275","19","1007003","0","0","6","1","0","0"
"2.842","100700320","0","0","20","1007003","0","0","0","4","1","0"
"0","100700321","0","0","21","1007003","vo_svd","vo_svd_0304","0","2","0","0"
"0","100700322","2.067","336","22","1007003","0","0","7","1","0","0"
"1.844","100700323","0","0","23","1007003","0","0","0","4","1","0"
"0","100700324","2.068","364","24","1007003","0","0","8","1","0","0"
"2.5","100700325","0","0","25","1007003","0","0","0","4","1","0"
"0.8","100700401","0","0","1","1007004","0","0","0","4","1","0"
"0","100700402","0","0","2","1007004","vo_svd","vo_svd_0401","0","2","0","0"
"0","100700403","1.105","180","3","1007004","0","0","1","1","0","0"
"1.504","100700404","0","0","4","1007004","0","0","0","4","1","0"
"0","100700405","0.62","313","5","1007004","0","0","1","1","0","180"
"0.554","100700406","0","0","6","1007004","0","0","0","4","1","0"
"0","100700407","0.728","122","7","1007004","0","0","2","1","0","0"
"2.154","100700408","0","0","8","1007004","0","0","0","4","1","0"
"0","100700409","0","0","9","1007004","vo_svd","vo_svd_0402","0","2","0","0"
"0","100700410","1.051","334","10","1007004","0","0","2","1","0","122"
"0.915","100700411","0","0","11","1007004","0","0","0","4","1","0"
"0","100700412","0.927","91","12","1007004","0","0","3","1","0","0"
"1.701","100700413","0","0","13","1007004","0","0","0","4","1","0"
"0","100700414","0.905","360","14","1007004","0","0","3","1","0","91"
"0.816","100700415","0","0","15","1007004","0","0","0","4","1","0"
"0","100700416","1.249","329","16","1007004","0","0","4","1","0","0"
"1.252","100700417","0","0","17","1007004","0","0","0","4","1","0"
"0","100700418","0.987","268","18","1007004","0","0","5","1","0","0"
"2.864","100700419","0","0","19","1007004","0","0","0","4","1","0"
"0","100700420","0","0","20","1007004","vo_svd","vo_svd_0403","0","2","0","0"
"0","100700421","2.056","336","21","1007004","0","0","6","1","0","0"
"1.844","100700422","0","0","22","1007004","0","0","0","4","1","0"
"0","100700423","1.963","364","23","1007004","0","0","7","1","0","0"
"2.5","100700424","0","0","24","1007004","0","0","0","4","1","0"
"0.8","100700501","0","0","1","1007005","0","0","0","4","1","0"
"0","100700502","0","0","2","1007005","vo_svd","vo_svd_0501","0","2","0","0"
"0","100700503","1.741","329","3","1007005","0","0","1","1","0","0"
"2.972","100700504","0","0","4","1007005","0","0","0","4","1","0"
"0","100700505","0","0","5","1007005","vo_svd","vo_svd_0502","0","2","0","0"
"0","100700506","1.539","320","6","1007005","0","0","2","1","0","0"
"1.258","100700507","0","0","7","1007005","0","0","0","4","1","0"
"0","100700508","0.762","320","8","1007005","0","0","2","1","0","320"
"2.583","100700509","0","0","9","1007005","0","0","0","4","1","0"
"0","100700510","0","0","10","1007005","vo_svd","vo_svd_0503","0","2","0","0"
"0","100700511","1.131","336","11","1007005","0","0","3","1","0","0"
"1.924","100700512","0","0","12","1007005","0","0","0","4","1","0"
"0","100700513","1.131","336","13","1007005","0","0","4","1","0","0"
"1.924","100700514","0","0","14","1007005","0","0","0","4","1","0"
"0","100700515","1.868","329","15","1007005","0","0","5","1","0","0"
"3.266","100700516","0","0","16","1007005","0","0","0","4","1","0"
"0","100700517","0","0","17","1007005","vo_svd","vo_svd_0504","0","2","0","0"
"0","100700518","1.269","275","18","1007005","0","0","6","1","0","0"
"2.653","100700519","0","0","19","1007005","0","0","0","4","1","0"
"0","100700520","0","0","20","1007005","vo_svd","vo_svd_0505","0","2","0","0"
"0","100700521","2.056","336","21","1007005","0","0","7","1","0","0"
"1.844","100700522","0","0","22","1007005","0","0","0","4","1","0"
"0","100700523","1.965","364","23","1007005","0","0","8","1","0","0"
"2.5","100700524","0","0","24","1007005","0","0","0","4","1","0"
"0.8","100700601","0","0","1","1007006","0","0","0","4","1","0"
"0","100700602","0","0","2","1007006","vo_svd","vo_svd_0601","0","2","0","0"
"0","100700603","1.875","336","3","1007006","0","0","1","1","0","0"
"3.353","100700604","0","0","4","1007006","0","0","0","4","1","0"
"0","100700605","0","0","5","1007006","vo_svd","vo_svd_0602","0","2","0","0"
