9ec34adef77109be06dc9ac56c32df7fca7d885886ca34ced2d45c33eb780aa7,41fe67e9b92a99c0c3ead418109f714f4f41c0608c795331002e8110b5a5154e,1b953ae93f23d17ae1c6c0a97f636e7218f34357b718f8fa6c107c1bdb7924d5,2d0cc41c6aee4e6d41efee5775a0137fc5dc8b2cc38f40c0ea5cd567cb75ef06,e2317404f0f0a49fe076b4de663aad666b8a3f32a68b38028f09947186c1d411,a6585f74959ea4c15adc4eb4d2c421082e19fe204613c9af471f29825fd88487,f8247d9af0f7006a248df289d43e3c6b7070405400dee9a00cb667cd07227f54,a50ca7e96ea659b50d06c36f038a7aaf95a9880fea003582dd1e1f0fa33eee6e,6fd1212510da7d4a364384351f041af5eb2a269a28dbf5c7689aebc3df1018e2,7176e41e9366f7575a7b3ea1816441d401598f39dd34b80e41cb0d1764577c7e,642e2031c75f8295d296451306a3dfb8992947c866d1935ed90405c9916a67e2,d430d4bbcb48f4a5a3e77d69b6d7b6fb1e4d1be41928a397356babc587685cf3
"1005801","0","0","1","0","0","0","0","0.8","1","4","100580101"
"1005801","0","vo_ske_0101","0","vo_ske","0","0","0","0","2","2","100580102"
"1005801","0.705","0","0","0","1","94","0","0","3","1","100580103"
"1005801","0","0","1","0","0","0","0","1.549","4","4","100580104"
"1005801","1.807","0","0","0","1","362","94","0","5","1","100580105"
"1005801","0","0","1","0","0","0","0","3.027","6","4","100580106"
"1005801","1.141","0","0","0","2","263","0","0","7","1","100580107"
"1005801","0","0","1","0","0","0","0","1.9","8","4","100580108"
"1005801","1.78","0","0","0","2","400","263","0","9","1","100580109"
"1005801","0","0","1","0","0","0","0","4.544","10","4","100580110"
"1005801","0","vo_ske_0102","0","vo_ske","0","0","0","0","11","2","100580111"
"1005801","1.322","0","0","0","3","195","0","0","12","1","100580112"
"1005801","0","0","1","0","0","0","0","2.917","13","4","100580113"
"1005801","0","vo_ske_0103","0","vo_ske","0","0","0","0","14","2","100580114"
"1005801","1.932","0","0","0","4","228","0","0","15","1","100580115"
"1005801","0","0","1","0","0","0","0","2.582","16","4","100580116"
"1005801","0.996","0","0","0","4","367","228","0","17","1","100580117"
"1005801","0","0","1","0","0","0","0","3.856","18","4","100580118"
"1005801","0","vo_ske_0104","0","vo_ske","0","0","0","0","19","2","100580119"
"1005801","0.67","0","0","0","5","90","0","0","20","1","100580120"
"1005801","0","0","1","0","0","0","0","1.785","21","4","100580121"
"1005801","2.253","0","0","0","5","364","90","0","22","1","100580122"
"1005801","0","0","1","0","0","0","0","2.253","23","4","100580123"
"1005801","0.962","0","0","0","6","0","0","0","24","1","100580124"
"1005801","0","0","1","0","0","0","0","2.244","25","4","100580125"
"1005801","1.707","0","0","0","6","334","0","0","26","1","100580126"
"1005801","0","0","1","0","0","0","0","4.225","27","4","100580127"
"1005801","0","vo_ske_0105","0","vo_ske","0","0","0","0","28","2","100580128"
"1005801","1.256","0","0","0","7","227","0","0","29","1","100580129"
"1005801","0","0","1","0","0","0","0","3.119","30","4","100580130"
"1005801","0","vo_ske_0106","0","vo_ske","0","0","0","0","31","2","100580131"
"1005801","0.702","0","0","0","8","73","0","0","32","1","100580132"
"1005801","0","0","1","0","0","0","0","1.386","33","4","100580133"
"1005801","1.352","0","0","0","8","318","73","0","34","1","100580134"
"1005801","0","0","1","0","0","0","0","2.053","35","4","100580135"
"1005801","0.733","0","0","0","8","383","318","0","36","1","100580136"
"1005801","0","0","1","0","0","0","0","1.868","37","4","100580137"
"1005801","1.764","0","0","0","9","340","0","0","38","1","100580138"
"1005801","0","0","1","0","0","0","0","2.905","39","4","100580139"
"1005801","0.969","0","0","0","9","340","340","0","40","1","100580140"
"1005801","0","0","1","0","0","0","0","0.969","41","4","100580141"
"1005801","0.808","0","0","0","10","0","0","0","42","1","100580142"
"1005801","0","0","1","0","0","0","0","2.8","43","4","100580143"
"1005801","0","vo_ske_0107","0","vo_ske","0","0","0","0","44","2","100580144"
"1005801","0.25","0","0","0","10","52","0","0","45","1","100580145"
"1005801","0","0","1","0","0","0","0","0.25","46","4","100580146"
"1005801","1.817","0","0","0","10","328","52","0","47","1","100580147"
"1005801","0","0","1","0","0","0","0","3.312","48","4","100580148"
"1005801","0.666","0","0","0","10","389","328","0","49","1","100580149"
"1005801","0","0","1","0","0","0","0","1.17","50","4","100580150"
"1005801","1.616","0","0","0","11","0","0","0","51","1","100580151"
"1005801","0","0","1","0","0","0","0","4.15","52","4","100580152"
"1005801","0","vo_ske_0108","0","vo_ske","0","0","0","0","53","2","100580153"
"1005801","1.198","0","0","0","11","142","0","0","54","1","100580154"
"1005801","0","0","1","0","0","0","0","2.442","55","4","100580155"
"1005801","1.934","0","0","0","11","267","142","0","56","1","100580156"
"1005801","0","0","1","0","0","0","0","4.434","57","4","100580157"
"1005802","0","0","1","0","0","0","0","0.8","1","4","100580201"
"1005802","0","vo_ske_0201","0","vo_ske","0","0","0","0","2","2","100580202"
"1005802","1.122","0","0","0","1","202","0","0","3","1","100580203"
"1005802","0","0","1","0","0","0","0","1.689","4","4","100580204"
"1005802","1.13","0","0","0","1","370","202","0","5","1","100580205"
"1005802","0","0","1","0","0","0","0","2.883","6","4","100580206"
"1005802","0","vo_ske_0202","0","vo_ske","0","0","0","0","7","2","100580207"
"1005802","1.057","0","0","0","2","249","0","0","8","1","100580208"
"1005802","0","0","1","0","0","0","0","1.962","9","4","100580209"
"1005802","1.166","0","0","0","2","367","249","0","10","1","100580210"
"1005802","0","0","1","0","0","0","0","1.747","11","4","100580211"
"1005802","1.216","0","0","0","3","78","0","0","12","1","100580212"
"1005802","0","0","1","0","0","0","0","1.216","13","4","100580213"
"1005802","1.868","0","0","0","3","389","78","0","14","1","100580214"
"1005802","0","0","1","0","0","0","0","3.78","15","4","100580215"
"1005802","0","vo_ske_0203","0","vo_ske","0","0","0","0","16","2","100580216"
"1005802","0.655","0","0","0","4","252","0","0","17","1","100580217"
"1005802","0","0","1","0","0","0","0","1.632","18","4","100580218"
"1005802","1.586","0","0","0","4","366","252","0","19","1","100580219"
"1005802","0","0","1","0","0","0","0","2.357","20","4","100580220"
"1005802","0.386","0","0","0","4","366","366","0","21","1","100580221"
"1005802","0","0","1","0","0","0","0","0.386","22","4","100580222"
"1005802","0.872","0","0","0","5","0","0","0","23","1","100580223"
"1005802","0","0","1","0","0","0","0","3.189","24","4","100580224"
"1005802","0","vo_ske_0204","0","vo_ske","0","0","0","0","25","2","100580225"
"1005802","1.065","0","0","0","5","137","0","0","26","1","100580226"
"1005802","0","0","1","0","0","0","0","1.882","27","4","100580227"
"1005802","0.888","0","0","0","5","400","137","0","28","1","100580228"
"1005802","0","0","1","0","0","0","0","0.888","29","4","100580229"
"1005802","0.607","0","0","0","6","0","0","0","30","1","100580230"
"1005802","0","0","1","0","0","0","0","1.21","31","4","100580231"
"1005802","0.933","0","0","0","6","53","0","0","32","1","100580232"
"1005802","0","0","1","0","0","0","0","2.332","33","4","100580233"
"1005802","1.649","0","0","0","6","360","53","0","34","1","100580234"
"1005802","0","0","1","0","0","0","0","4.223","35","4","100580235"
"1005802","0","vo_ske_0205","0","vo_ske","0","0","0","0","36","2","100580236"
"1005802","0.349","0","0","0","7","81","0","0","37","1","100580237"
"1005802","0","0","1","0","0","0","0","1.46","38","4","100580238"
"1005802","1.532","0","0","0","7","350","81","0","39","1","100580239"
"1005802","0","0","1","0","0","0","0","2.11","40","4","100580240"
