a6bbd12d77818ccb5ff28ccc357edda17bf8374df5ef0326a2c6920252998121,00d35daf1d6040637888a6aef2f2c0dbdcfc2738ef6635f06dca679039dc597a,8911b99c88c6603b317e66203a9b269934fd259131d8cc9e5011d1cc613d590e,2637195f68c0f47188a69082291cea2e9aa514df299e57f7eeab1d6da15bdb6e,da8e06b06f0226b24105f7dd463bb265ea426c4fd0dfc9e62e90e2f0e3adf317,424aff35190870f0b11602dec0297ef4be9fc14cbd0d6b8f433a79e10a733cb8,c9864bf15508e076054c6de6eea440ba294c7e0809b3962f6b11d6838f45f21d,ca97c795249c55b4df06ae2f1d1fe940869d49ea2776d0c39275eede8424eee7,7397c21e40ee8e4b7e7a9b02f68c6e38ef96975087485bd2b649fb93bb2576ff,c20471dd9b82584e1ca0a7b23e53b9df8c3210500a687a56b1ab9449277ed366,db636dc2b32002b06e7ee5a968b3d3c018a2e2806430ec66677d0c9867006a5a,ab62888f297f5660b1a07225483794e53571fa0f90b89a01a46b776bad54039f,9ea75183609fa5c6448b16c814e504b2cb7d57e83179fae98622c8f58c503621,4d108b49b4bb43f2d29bb75d8778803d92c63b381dd792ec581d467d194a680e,381d523621858c81e5e05b9a8379caa868b074072cb9303bca1b3f351ed3debd,816b882b085a3b8ce124eb089c99122a15f81d3389b0c69bc7fb816def7d304b,6acdcefb5974903c64076c900b0d133beb5d1a7bf96d67c497ff36169ec15e4f,c0a06ca2ca99261aa4342ff324c74e36149208be95f7f7b55849771ae3d66aee
"0","0","0","0","12","0","0","1","0","0","20000","0","0","32000","分數累積獲得 32000 分","94002","0","0"
"0","0","0","0","12","0","0","2","0","0","30000","0","0","64000","分數累積獲得 64000 分","94002","0","0"
"0","0","0","0","12","0","0","3","0","0","40000","0","0","96000","分數累積獲得 96000 分","94002","0","0"
"0","0","0","0","12","0","0","4","0","0","50000","0","0","128000","分數累積獲得 128000 分","94002","0","0"
"0","0","0","0","8","0","0","5","0","0","25","0","0","160000","分數累積獲得 160000 分","91002","0","0"
"0","0","0","0","15","0","0","6","0","0","1","0","0","192000","分數累積獲得 192000 分","11001071","0","0"
"0","0","0","0","2","0","0","7","0","0","20","0","0","224000","分數累積獲得 224000 分","23001","0","0"
"0","0","0","0","8","0","0","8","0","0","50","0","0","256000","分數累積獲得 256000 分","91002","0","0"
"0","0","0","0","12","0","0","9","0","0","70000","0","0","288000","分數累積獲得 288000 分","94002","0","0"
"0","0","0","0","12","0","0","10","0","0","80000","0","0","320000","分數累積獲得 320000 分","94002","0","0"
"0","0","0","0","8","0","0","11","0","0","75","0","0","352000","分數累積獲得 352000 分","91002","0","0"
"0","0","0","0","12","0","0","12","0","0","100000","0","0","384000","分數累積獲得 384000 分","94002","0","0"
"0","0","0","0","2","0","0","13","0","0","45","0","0","416000","分數累積獲得 416000 分","23001","0","0"
"0","0","0","0","8","0","0","14","0","0","100","0","0","448000","分數累積獲得 448000 分","91002","0","0"
"0","0","0","0","15","0","0","15","0","0","1","0","0","480000","分數累積獲得 480000 分","11001072","0","0"
