6905ef555a3d4a9dd50f2401ae008e32fb02658cf505fc6bfe1e708921508248,ab73162f00b8c818e53266287f9b2709ecec967588864cc2a58a0117bb118362,9827dae540d62e285471e963625b3ebeeab33a98348f22bbf08832830bcefdf3,fac7f69120acc9f6b191833dc4dc2aa79c192ab60e25d59b43f5ff87c4811975,5982662ec0ee4a08aaa7a034c5c320262b954cc39ea6b81ade980932bf1df1fe,c7bee54f4bb660da447393ec9957b8e3b6631972404a2d8f63a3a1deed2d70c5,2aeadf8748ca798ad11b947b51e9bae1f1894480d45541785e5cb53bea0d0561,fde1944fb8d56c3ea6a773814f02980feb6f2ec4b6a4f49068c06c0e7292d254,a89427dc6fe8247c88c5a2abf05bb7a9dfa539c75602b9725e1ae61232e07a13,95d46df1d273ddb9520c20cc6e5f9bbbc384766d281add3a6932e4a7c5a96069,6c3d6e8461669c7e494345b282cad5c9f5ffbc7972b5f5798299c2a1e9fc8ffe
"1","1.4","1","-103","-216","5","idle_normal","100","1","1001","1"
"13","0","1","1","-140","31","","-57","13","1002",""
"14","0","1","1","-140","31","","-57","14","1003",""
"0","","1","","","91","","","0","1004",""
"top_luis_arm_crossed_in","0.2","1","1","top_luis_arm_crossed_idle","3","","0","1","1005","0"
"0","","1","","","93","","","4","1006",""
"top_luis_approach_in","0.2","1","1","top_luis_approach_idle","3","","0","1","1007","0"
"0","","1","","","93","","","3.5","1008",""
"top_luis_thinking","0.2","1","","","3","","1","1","1009",""
"0","","1","","","93","","","3.5","1010",""
"top_luis_walk_think","0.2","1","","","3","","1","1","1011",""
"-495","","1","0","2","2","","-103","1","1012",""
"0","","1","","","93","","","2","1013",""
"0","","1","","","4","","","1","1014",""
"-216","","1","0","2","2","","-103","1","1015",""
"0","","1","","","93","","","2","1016",""
"top_luis_notice","0","1","","","3","","1","1","1017",""
"0","","1","","","93","","","1","1018",""
"top_luis_walk_jog","0.2","1","","","3","","1","1","1019",""
"-100","","1","0","0.5","2","","-130","1","1020",""
"0","","1","","","93","","","0.5","1021",""
"1","","1","","","4","","","1","1022",""
"top_luis_sit_in","0.2","1","1","top_luis_sit_idle","3","","0","1","1023","0"
"0","","1","","","93","","","0.1","1024",""
"-57","","1","0","0.4","2","","-140","1","1025",""
"0","","1","","","93","","","1","1026",""
"top_luis_experiment_failer_in","0.2","1","","","3","","0","1","1027",""
"0","","1","","","93","","","2.3","1028",""
"top_luis_experiment_failer_mix","0.1","1","","","3","","0","1","1029",""
"0","","1","","","93","","","2.7","1030",""
"1","","1","","","32","","","13","1031",""
"top_luis_experiment_failer_burst","0.1","1","","","3","","0","1","1032",""
"0","","1","","","93","","","2.7","1033",""
"top_luis_experiment_failer_out","0.1","1","","","3","","0","1","1034",""
"0","","1","","","93","","","1.1","1035",""
"top_luis_sit_out","0.2","1","1","idle_normal","3","","0","1","1036","0"
"-100","","1","0","0.3","2","","-130","1","1037",""
"0","","1","","","93","","","1","1038",""
"walk_normal","0.2","1","","","3","","0","1","1039",""
"-216","","1","0","1","2","","-103","1","1040",""
"0","","1","","","93","","","1","1041",""
"idle_normal","0.1","1","","","3","","0","1","1042",""
"0","","1","","","93","","","0.8","1043",""
"0","","1","","","32","","","13","1044",""
"top_luis_arm_crossed_in","0.2","1","1","top_luis_arm_crossed_idle","3","","0","1","1045","0"
"0","","1","","","93","","","4","1046",""
"top_luis_approach_in","0.2","1","1","top_luis_approach_idle","3","","0","1","1047","0"
"0","","1","","","93","","","3.5","1048",""
"top_luis_thinking","0.2","1","","","3","","1","1","1049",""
"0","","1","","","93","","","3.5","1050",""
"top_luis_walk_think","0.2","1","","","3","","1","1","1051",""
"-495","","1","0","2","2","","-103","1","1052",""
"0","","1","","","93","","","2","1053",""
"0","","1","","","4","","","1","1054",""
"-216","","1","0","2","2","","-103","1","1055",""
"0","","1","","","93","","","2","1056",""
"top_luis_notice","0","1","","","3","","1","1","1057",""
"0","","1","","","93","","","1","1058",""
"top_luis_walk_jog","0.2","1","","","3","","1","1","1059",""
"-100","","1","0","0.5","2","","-130","1","1060",""
"0","","1","","","93","","","0.5","1061",""
"1","","1","","","4","","","1","1062",""
"top_luis_sit_in","0.2","1","1","top_luis_sit_idle","3","","0","1","1063","0"
"0","","1","","","93","","","0.1","1064",""
"-57","","1","0","0.4","2","","-140","1","1065",""
"0","","1","","","93","","","1","1066",""
"top_luis_experiment_success_in","0.2","1","","","3","","0","1","1067",""
"0","","1","","","93","","","2.3","1068",""
"top_luis_experiment_success_mix","0.1","1","","","3","","0","1","1069",""
"0","","1","","","93","","","2.7","1070",""
"1","","1","","","32","","","14","1071",""
"top_luis_experiment_success_burst","0.1","1","","","3","","0","1","1072",""
"0","","1","","","93","","","2.7","1073",""
"top_luis_experiment_success_out","0.1","1","","","3","","0","1","1074",""
"0","","1","","","93","","","1.1","1075",""
"top_luis_sit_out","0.2","1","1","idle_normal","3","","0","1","1076","0"
"-100","","1","0","0.3","2","","-130","1","1077",""
"0","","1","","","93","","","1","1078",""
"walk_normal","0.2","1","","","3","","0","1","1079",""
"-216","","1","0","1","2","","-103","1","1080",""
"0","","1","","","93","","","1","1081",""
"idle_normal","0.1","1","","","3","","0","1","1082",""
"0","","1","","","93","","","0.8","1083",""
"0","","1","","","32","","","14","1084",""
"","","1","","0","101","","0","1005","1085",""
"2","1.43","2","-130","400","5","top_iroha_read","100","2","2001","1"
"11","1.4","2","130","980","5","butterfly","101","11","2002","1"
"11","0","2","1","-130","31","","400","11","2003",""
"0","","2","","","91","","","0","2004",""
"top_iroha_read","0.2","2","","","3","","1","2","2005",""
"0","","2","","","93","","","9","2006",""
"1","","2","","","4","","","11","2007",""
"-980","","2","0","7","2","","130","11","2008",""
"0","","2","","","93","","","2.5","2009",""
"top_iroha_read_notice","0.2","2","","","3","","0","2","2010",""
"0","","2","","","93","","","0.6","2011",""
"top_iroha_notice_to_run","0","2","1","top_iroha_run","3","","0","2","2012","0"
"0","","2","","","93","","","0.4","2013",""
"1","","2","","","32","","","11","2014",""
"smokeR","","2","","","37","","","11","2015",""
"-980","","2","0","4.2","33","","-130","11","2016",""
"-980","","2","0","4.2","2","","-130","2","2017",""
"0","","2","","","93","","","4.2","2018",""
"0","","2","","","32","","","11","2019",""
"0","","2","","","93","","","1","2020",""
"0","","2","","","4","","","11","2021",""
"980","","2","0","7","2","","130","11","2022",""
"0","","2","","","93","","","1.5","2023",""
"1","","2","","","32","","","11","2024",""
"smokeL","","2","","","37","","","11","2025",""
"980","","2","0","5.964","33","","-130","11","2026",""
"top_iroha_run_joy","0","2","","","3","","1","2","2027",""
"0","","2","","","4","","","2","2028",""
"980","","2","0","5.964","2","","-130","2","2029",""
"0","","2","","","93","","","5.964","2030",""
"0","","2","","","32","","","11","2031",""
"0","","2","","","93","","","2","2032",""
"top_iroha_walk","0","2","","","3","","1","2","2033",""
"1","","2","","","4","","","2","2034",""
"400","","2","0","3","2","","-130","2","2035",""
"400","","2","0","3","33","","-130","11","2036",""
"0","","2","","","93","","","3","2037",""
"top_iroha_walk_out","0.2","2","1","idle_normal","3","","0","2","2038","0"
"0","","2","","","93","","","0.4","2039",""
