1c8d4a46c1fc3f2cd3ca1aae1b90acc714cb621c7a84e41794527ad212d9ea2d,f6210aa9cc6656366b27efeaa74122faec3c2a9a9e19d206e238b3df4c2b5bc5,a26b12c44d3f2fab4f30b79f2ff6aaf17d823e5b6891c7867a98573c31ae1c62,a4491311bada2ac94a7b4c5546bb0cbc13229c9338c43e9b7f6f0b544e181c2b,909dd6cdc089e318310b2cd565ffe0d1df5d09623ce1c41af97245e2327e635e,a359a848e7ed85cd7560bc86c783e11876dbe01e8022f97050d3521bc9624df9,347992f2744030235e0c182e045e240ddbdd1002cdfe034a8ac74610ac80d4b4,fb25e881c2a118fb3786b6e40c48304c9d9801cd19a26a406c9038486bbba55d,376233baf33d88cfb4bf6612fee66cf7f0657f9838070c249ab4244484a9f8c2,246321194f980f85850dd13f418d5e00f01e62706cf7b7a678bc514af8a5f5dc,1f23da3c7f98ab46dc76b8286adb789d1db93973390d790dcce955a6cdec7d7b,2f990941b9b4795e3d46633ae1f8fd07ac97759a10b12d2127cbe9c01ad98f6a,67622871f361e3f1789d9a86273faaacdf6f5be01a2fbf73157ea08877431e1c
"60001","0","31038","0","0","10001","0","0","0","0","60002","0","31012"
"60011","0","31004","0","0","10002","0","0","0","0","60012","0","31020"
"60021","0","31017","0","0","10003","0","0","0","0","60022","0","31010"
"60031","0","31028","0","0","10004","0","0","0","0","60032","0","31076"
"60041","0","31032","0","0","10005","0","0","0","0","60042","0","31080"
"60051","0","31034","0","0","10006","0","0","0","0","60052","0","31047"
"60061","0","31022","0","0","10007","0","0","0","0","60062","0","31082"
"60071","0","31051","0","0","10008","0","0","0","0","60072","0","31009"
"60081","0","31029","0","0","10009","0","0","0","0","60082","0","31085"
"60091","0","31002","0","0","10010","0","0","0","0","60092","0","31089"
"60101","0","31011","0","0","10011","0","0","0","0","60102","0","31090"
"60111","0","31008","0","0","10012","0","0","0","0","60112","0","31043"
"60121","0","31018","0","0","10013","0","0","0","0","60122","0","31093"
"60131","0","31038","0","0","10014","0","0","0","0","60132","0","31012"
"60141","0","31045","0","0","10015","0","0","0","0","60142","0","31053"
"60151","0","31004","0","0","10016","0","0","0","0","60152","0","31020"
"60161","0","31025","0","0","10017","0","0","0","0","60162","0","31098"
"60171","0","31017","0","0","10018","0","0","0","0","60172","0","31010"
"60181","0","31050","0","0","10019","0","0","0","0","60182","0","31101"
"60191","0","31028","0","0","10020","0","0","0","0","60192","0","31076"
"60201","0","31014","0","0","10021","0","0","0","0","60202","0","31105"
"60211","0","31032","0","0","10022","0","0","0","0","60212","0","31080"
"60221","0","31040","0","0","10023","0","0","0","0","60222","0","31056"
"60231","0","31034","0","0","10024","0","0","0","0","60232","0","31047"
"60241","0","31036","0","0","10025","0","0","0","0","60242","0","31112"
"60251","0","31022","0","0","10026","0","0","0","0","60252","0","31082"
"60261","0","31005","0","0","10027","0","0","0","0","60262","0","31037"
"60271","0","31051","0","0","10028","0","0","0","0","60272","0","31009"
"60281","0","31044","0","0","10029","0","0","0","0","60282","0","31116"
"60291","0","31029","0","0","10030","0","0","0","0","60292","0","31085"
"60301","0","31021","0","0","10031","0","0","0","0","60302","0","31121"
"60311","0","31002","0","0","10032","0","0","0","0","60312","0","31089"
"60321","0","31049","0","0","10033","0","0","0","0","60322","0","31123"
"60331","0","31011","0","0","10034","0","0","0","0","60332","0","31090"
"60341","0","31042","0","0","10035","0","0","0","0","60342","0","31126"
"60341","0","31042","0","0","10036","0","0","0","0","60342","0","31126"
"60361","0","31008","0","0","10037","0","0","0","0","60362","0","31043"
"60371","0","31046","0","0","10038","0","0","0","0","60372","0","31107"
"60381","0","31018","0","0","10039","0","0","0","0","60382","0","31093"
"60391","0","31033","0","0","10040","0","0","0","0","60392","0","31028"
"60401","0","31045","0","0","10041","0","0","0","0","60402","0","31053"
"60411","0","31065","0","0","10042","0","0","0","0","60412","0","31130"
"60421","0","31050","0","0","10043","0","0","0","0","60422","0","31101"
"60431","0","31027","0","0","10044","0","0","0","0","60432","0","31132"
"60441","0","31014","0","0","10045","0","0","0","0","60442","0","31105"
"60451","0","31023","0","0","10046","0","0","0","0","60452","0","31135"
"60461","0","31040","0","0","10047","0","0","0","0","60462","0","31056"
"60471","0","31013","0","0","10048","0","0","0","0","60472","0","31016"
"60481","0","31036","0","0","10049","0","0","0","0","60482","0","31112"
"60491","0","31054","0","0","10050","0","0","0","0","60492","0","31141"
