250c82d122a77d8975b91453ef79285e034b8563da9219154bc66e57bf37164c,49cb88a63543c3857610250b8100a1fb5338b5f600f49af9e76683f168783ea1,7ab982e7f925a9ce04c4adcdd0edfcb062ce35afb5598a0b213135c61c50cee0,485924eec81701ef33eb89b1b2f1337978dbb8c6f812e12cbe10bdb8d964ee9e,4d545acd36883f85dd608dfb8cf2a637bdc575b73387451a8b5fb68dfa251c2a,8a0573197a53aa4406e197456948ae915d277d417563a2cf3337eb6a1217a270,31a1bbb4cff130963681a222b4a27b20d44f141b07eef1fb9c51de3519d12914
"1","0","1","0","1","1","1"
"4","0","1","0","2","1","2"
"5","12","1","0","3","1","1"
"2","0","1","0","4","1","2"
"8","0","2","0","5","1","1"
"1","0","1","0","1","2","1"
"1","0","1","0","2","2","2"
"6","0","1","0","3","2","1"
"1","0","1","0","4","2","2"
"1","0","1","0","5","2","3"
"3","11","3","0","6","2","1"
"1","0","1","0","7","2","2"
"3","0","1","0","8","2","1"
"1","0","2","0","9","2","1"
"1","0","1","0","1","3","1"
"10","0","1","0","2","3","2"
"11","0","1","0","3","3","1"
"5","0","1","0","4","3","2"
"6","0","1","0","5","3","3"
"3","0","1","0","6","3","3"
"3","9","2","0","7","3","4"
"7","0","1","0","8","3","4"
"1","0","1","0","9","3","4"
"9","8","3","0","10","3","1"
"4","0","1","0","11","3","2"
"1","0","1","0","12","3","1"
"3","0","1","0","13","3","4"
"3","11","2","0","14","3","3"
"4","10","1","0","1","4","1"
"12","12","1","0","2","4","1"
"1","10","1","0","3","4","2"
"11","4","1","0","4","4","1"
"1","0","1","0","5","4","2"
"4","13","1","0","6","4","1"
"2","6","1","0","7","4","2"
"8","0","1","0","8","4","1"
"8","10","1","0","9","4","2"
"1","10","1","0","1","5","1"
"11","5","1","0","2","5","2"
"1","7","1","0","3","5","1"
"5","12","1","0","4","5","2"
"1","11","1","0","5","5","1"
"3","4","1","0","6","5","2"
"5","12","1","0","7","5","2"
"2","6","1","0","8","5","1"
"11","4","1","0","9","5","2"
"8","8","1","0","10","5","1"
"4","10","1","0","11","5","1"
"5","10","1","0","12","5","2"
"8","7","1","0","1","6","1"
"4","10","1","0","2","6","2"
"1","11","1","0","3","6","1"
"8","8","1","0","4","6","2"
"11","6","1","0","5","6","1"
"2","7","2","0","6","6","1"
"5","4","1","0","7","6","1"
"4","10","1","0","8","6","2"
"10","13","2","0","9","6","1"
"8","7","1","0","1","7","1"
"12","10","1","0","2","7","2"
"4","12","1","0","3","7","2"
"11","7","1","0","4","7","1"
"1","10","1","0","5","7","1"
"5","12","1","0","6","7","2"
"5","11","1","0","7","7","2"
"8","10","1","0","8","7","2"
"2","8","1","0","9","7","1"
"8","7","1","0","10","7","1"
"4","9","1","0","11","7","2"
"1","10","2","0","1","8","1"
"12","10","1","0","2","8","2"
"12","5","1","0","3","8","1"
"5","12","1","0","4","8","1"
"1","10","1","0","5","8","2"
"5","12","1","0","6","8","1"
"5","12","1","0","7","8","1"
"1","10","1","0","8","8","2"
"8","9","1","0","9","8","2"
"4","9","2","0","10","8","1"
"4","8","1","0","1","9","1"
"5","10","1","0","2","9","1"
"4","7","1","0","3","9","2"
"6","8","1","0","4","9","2"
"1","10","1","0","5","9","1"
"11","11","1","0","6","9","1"
"1","6","1","0","7","9","1"
"5","8","1","0","8","9","2"
"8","7","1","0","9","9","2"
"4","6","1","0","10","9","1"
"11","10","1","0","1","10","2"
"1","7","1","0","2","10","1"
"8","8","2","0","3","10","1"
"5","9","1","0","4","10","2"
"10","8","1","0","5","10","1"
"1","7","2","0","6","10","1"
"2","6","2","0","7","10","1"
"11","10","1","0","8","10","1"
"8","10","1","0","9","10","2"
"9","8","1","0","1","11","1"
"5","0","1","0","2","11","2"
"6","12","1","0","3","11","2"
"1","5","1","0","4","11","1"
"5","10","1","0","5","11","2"
"6","12","1","0","6","11","2"
"1","4","1","0","7","11","1"
"11","0","1","0","8","11","1"
"6","0","1","0","9","11","1"
"1","10","1","0","10","11","2"
"6","11","1","0","11","11","1"
"1","12","1","0","12","11","2"
"5","6","1","0","13","11","2"
"10","7","1","0","14","11","1"
"4","7","1","0","15","11","2"
"11","4","1","0","1","12","2"
"1","5","1","0","2","12","1"
"6","10","1","0","3","12","2"
"5","10","1","0","4","12","2"
"11","0","1","0","5","12","1"
"6","0","1","0","6","12","2"
"12","17","1","0","7","12","2"
"5","1","1","0","8","12","1"
"1","2","1","0","9","12","1"
"6","10","1","0","10","12","2"
"4","10","1","0","11","12","2"
"1","0","1","0","12","12","1"
"5","13","1","0","13","12","1"
"11","8","1","0","14","12","2"
"8","10","1","0","15","12","1"
"11","10","1","0","1","13","1"
"11","8","1","0","2","13","3"
"6","0","1","0","3","13","2"
"11","10","1","0","4","13","1"
"11","7","1","0","5","13","2"
"2","6","1","0","6","13","3"
"1","0","1","1500","7","13","3"
"11","5","3","0","8","13","1"
"5","10","1","0","9","13","3"
"1","4","1","0","10","13","2"
"1","4","1","0","11","13","1"
"6","6","1","0","12","13","3"
"4","6","1","0","13","13","1"
"9","10","3","0","14","13","1"
"8","10","1","0","15","13","3"
"4","6","1","0","16","13","1"
"1","0","1","0","17","13","3"
"8","8","1","0","18","13","2"
"11","0","1","0","1","14","1"
"2","13","2","0","2","14","1"
"11","10","1","0","3","14","3"
"1","10","1","0","4","14","1"
"4","10","2","0","5","14","1"
"11","0","1","0","6","14","2"
"1","0","1","0","7","14","2"
"1","10","1","0","8","14","1"
"12","12","1","0","9","14","3"
"12","12","1","0","10","14","3"
"5","0","1","0","11","14","3"
"5","12","1","0","12","14","1"
"10","6","2","0","13","14","1"
"11","10","1","0","14","14","1"
"10","6","3","0","15","14","1"
"11","10","1","0","16","14","1"
"2","6","3","0","17","14","1"
"10","6","2","0","18","14","1"
"11","4","1","0","19","14","1"
"8","10","1","0","20","14","2"
"8","4","3","0","21","14","1"
"12","10","1","0","1","15","2"
"12","12","1","0","2","15","1"
"11","12","1","0","3","15","3"
"11","6","1","0","4","15","1"
"12","12","1","0","5","15","2"
"5","0","1","0","6","15","2"
"11","12","1","0","7","15","1"
"1","0","1","0","8","15","1"
"5","0","1","0","9","15","1"
"12","12","2","0","10","15","1"
"11","0","1","0","11","15","3"
"12","11","1","0","12","15","3"
"1","9","1","0","13","15","2"
"1","12","1","0","14","15","1"
"12","0","1","0","15","15","1"
"12","9","1","0","16","15","1"
"11","4","1","0","17","15","2"
"11","4","3","0","18","15","1"
"5","12","1","0","19","15","2"
"12","0","1","0","20","15","2"
"12","7","1","0","21","15","2"
"12","12","3","0","22","15","1"
"1","7","3","0","23","15","1"
"4","0","1","0","24","15","3"
"4","10","3","0","25","15","1"
"8","0","1","0","26","15","2"
"11","0","1","0","27","15","1"
"11","0","1","0","28","15","2"
"6","0","1","0","1","16","1"
"11","10","1","0","2","16","2"
"12","0","1","0","3","16","3"
"4","0","1","0","4","16","2"
"6","12","1","0","5","16","1"
"6","0","1","0","6","16","1"
"4","4","1","0","7","16","2"
"5","4","1","0","8","16","3"
"1","0","1","0","9","16","3"
"12","17","1","0","10","16","1"
"11","0","1","0","11","16","2"
"1","10","1","0","12","16","3"
"11","11","1","0","13","16","2"
"11","0","1","0","14","16","3"
"12","12","1","0","15","16","1"
"11","10","1","0","16","16","1"
"11","10","1","0","17","16","1"
"6","6","1","0","18","16","1"
"11","6","1","0","19","16","2"
"1","8","1","0","20","16","3"
"5","8","1","0","21","16","3"
"4","9","1","0","22","16","1"
"11","10","1","0","23","16","1"
"11","4","1","0","1","17","1"
"4","10","3","0","2","17","1"
"11","4","1","0","3","17","1"
"1","0","1","0","4","17","1"
"1","10","2","0","5","17","1"
"11","4","1","0","6","17","2"
"1","10","2","0","7","17","1"
"11","4","1","0","8","17","2"
"1","0","1","0","9","17","3"
"8","10","2","0","10","17","1"
"12","12","1","0","11","17","1"
"11","4","1","0","12","17","3"
"1","4","3","0","13","17","1"
"11","10","1","0","14","17","1"
"1","0","2","0","15","17","1"
"11","4","2","0","16","17","1"
"8","7","2","0","17","17","1"
"11","0","1","0","18","17","1"
"2","6","3","0","19","17","1"
"10","10","1","0","20","17","1"
"11","10","1","0","21","17","2"
"8","7","1","0","22","17","3"
"11","4","1","0","1","18","1"
"5","13","2","0","2","18","1"
"4","10","1","0","3","18","1"
"4","10","1","0","4","18","2"
"11","10","1","0","5","18","3"
"5","7","3","0","6","18","1"
"11","10","1","0","7","18","1"
"4","10","1","0","8","18","3"
"11","10","1","0","9","18","2"
"5","6","3","0","10","18","1"
"11","10","1","0","11","18","1"
"11","10","1","0","12","18","2"
"4","10","1","0","13","18","3"
"5","8","2","0","14","18","1"
"6","6","2","0","15","18","1"
"10","0","1","0","16","18","3"
"10","0","1","0","17","18","2"
"10","0","1","0","18","18","1"
"10","7","2","0","19","18","1"
"8","10","1","0","20","18","1"
"11","10","1","0","21","18","1"
"2","9","2","0","22","18","1"
"13","0","2","0","1","19","1"
"4","8","2","0","2","19","1"
"8","0","2","0","3","19","1"
"14","10","2","0","1","20","1"
"8","0","2","0","2","20","1"
"15","13","2","0","1","21","1"
"15","0","2","0","1","22","1"
"13","0","2","0","2","22","1"
"42","0","2","0","1","23","1"
"72","0","2","0","2","23","1"
"43","0","2","0","1","24","1"
"44","0","2","0","1","25","1"
"45","0","2","0","1","26","1"
"46","0","2","0","1","27","1"
"47","0","2","0","1","28","1"
"14","0","2","0","1","29","1"
"15","0","1","0","1","30","1"
"8","0","1","0","2","30","2"
"10","13","1","0","3","30","1"
"10","13","1","0","4","30","2"
"12","9","1","0","5","30","2"
"72","6","1","0","6","30","1"
"2","8","2","0","7","30","1"
"13","0","2","0","8","30","1"
"4","8","1","0","1","31","1"
"1","0","1","0","2","31","2"
"10","6","1","0","3","31","1"
"4","0","1","0","4","31","2"
"9","7","1","0","5","31","1"
"1","0","1","0","6","31","2"
"10","6","1","0","1","32","1"
"10","13","1","0","2","32","2"
"1","0","1","0","3","32","3"
"2","11","1","0","4","32","2"
"2","8","1","0","5","32","1"
"1","0","1","0","6","32","3"
"72","7","1","0","7","32","3"
