tbl,idx,stat
"v1_70bb6503468c1c0f6055135dc0bb8ac13079d56417360374ec60976bed3e41af","sqlite_autoindex_v1_70bb6503468c1c0f6055135dc0bb8ac13079d56417360374ec60976bed3e41af_1","33 1 1"
"v1_add6ec9eb775771d3e45848b5715a93ff8baf5b1df12b6cf9ff32de314cf2500","","36"
"v1_97ba4625f173cae84dffd77db731ba62ed1f905c5aa609877fdf4f5e6ddaa6b0","","45"
"v1_d9356969422a2b3f97d67b1bab7629e408ef9e1a32d4d151a771e188935f498a","v1_d9356969422a2b3f97d67b1bab7629e408ef9e1a32d4d151a771e188935f498a_0_e820b2ffb246dddc3bec5dfc808a7a6e2b034fd391d948796c5fa932b990830f","257 7"
"v1_c8955d15689776406b66849f00fc466fbac6749bd5118cb7c1c970094104f219","v1_c8955d15689776406b66849f00fc466fbac6749bd5118cb7c1c970094104f219_0_832fb1e559c6e7d0ed8abe6f83d45add3b6f77f4d6e415c225eef02e6cf9f783","36 9"
"v1_df36696a840cad6ce818049003f3dbe85053ae4fbe88e170f89160a61dac8d86","","5"
"v1_349bda5445f973d26e259d69ec2d395ba5e4851d6baa1e32121c25a3d7d8e150","v1_349bda5445f973d26e259d69ec2d395ba5e4851d6baa1e32121c25a3d7d8e150_0_42f1a89c0604a1c5d511e30ba8b40adb6b49ca2c1d44775d3dbd118f9abd4c07","324 54"
"v1_2892c26e537326c292893c327d3d700a41bd1a41b1b95241b25f9df93151ba08","","10"
"v1_f00b6e6232758a45ff34a909d146733af70d5e397c1d984ad641eb01f4f37964","","91"
"v1_4ee854895c42ff6508dcd1fa34428620f1943d9c0348ae30039337637db70b24","","41"
"v1_0ec8f1bf9356b9ed24ee9a5a4be42cd6d16a54d143f2522766cadf9a90ca9366","","26"
"v1_b7bb0735cf91a9638fbbad9ead0d9f3fdc248ef885c04b8f99eeecceccb704eb","v1_b7bb0735cf91a9638fbbad9ead0d9f3fdc248ef885c04b8f99eeecceccb704eb_0_a959d397f1c098a0d1f194f148e3ee20664524bf7ac34043e4c1e9fcafbb88f8","70 5"
"v1_5a465dc24d5ddf2d3703e1270ac54cf029a987fd3a176f6d40eea8630d460b8a","v1_5a465dc24d5ddf2d3703e1270ac54cf029a987fd3a176f6d40eea8630d460b8a_0_725506d689d99efd4c44e7de9cddd47536ae1a03448376b9b5a875bd9200e92a","90 1"
"v1_89fd4fde80f234f101f42e50b135e476e71087cfe196af96ca171d633cc2fb54","","66"
"v1_0bfa3e2a76ea31b2e8115422da40340c1bb58ac09960f7065efb801ec5d3f0f0","v1_0bfa3e2a76ea31b2e8115422da40340c1bb58ac09960f7065efb801ec5d3f0f0_0_102a05fbcbf286a8e94517374bf63d46e840f235cbf27a238ca48467606c1d7d","638 107"
"v1_e3065fb6d3cdb156d9b306985acb673ceef907241ae7561feea77fc1a9d5314b","","1"
"v1_7fe2f6760e51a0d65fc8f6eadd8c99ccc2406a95e25f897a3acda94a6eff8855","","4"
"v1_29b70cd16a72e583598ed99952ee68f03eb13a801b7459dd72dfa23f38231e7c","v1_29b70cd16a72e583598ed99952ee68f03eb13a801b7459dd72dfa23f38231e7c_0_b955032a799b611c930673a9ec85515286d0f74d20c8deef85effa9b43b5c7ab_1_81e22b7d861e9efff50d6c00e8eb9b197b46295fbec3a0a4929fd49f72068369","199 100 2"
"v1_9b346f564365bda43a43a3f6e74b45cf58585712d76fdd630904d366956888e3","","2"
"v1_ebd018d77699e41502e66a33e20a84ff1ab9c7c2fbfd0d4177c30c6dc93115da","v1_ebd018d77699e41502e66a33e20a84ff1ab9c7c2fbfd0d4177c30c6dc93115da_0_31d793d9928161c496666890bce9dd2d7617d03dfd917ef1e8afdc8841dac6ca","76 11"
"v1_ebd018d77699e41502e66a33e20a84ff1ab9c7c2fbfd0d4177c30c6dc93115da","sqlite_autoindex_v1_ebd018d77699e41502e66a33e20a84ff1ab9c7c2fbfd0d4177c30c6dc93115da_1","76 11 1"
"v1_a0c152bbe41799d028240709de9ebbae9a555e9b82e8bad9d3cba3335716fb0a","","10"
"v1_a85812760e77b139353da0d83958bcf9252139e2047e763ad88ded8dcde0bd37","","166"
"v1_b9a575cac6cc7f39bf38bb94316a0153f03df5ac8726b9b5f2f4c39fac8d603b","","43"
"v1_492bf7ab30f07ac3d7c3981e45d1ab1158b7a9fbdd008fdaa48063fac54bcd97","","5"
"v1_dcf2172497f07d5ce77e5e8a1c8b2648f87981dfc1760f704c08e1a3f04e4b53","sqlite_autoindex_v1_dcf2172497f07d5ce77e5e8a1c8b2648f87981dfc1760f704c08e1a3f04e4b53_1","13 3 1"
"v1_98f35cd4505248c1eb752e3bc13e6ecdaa1901fb36a67a823e1afe71941f2731","","12"
"v1_16897217c9a2e3ab31e88ab7ec3e748b330c984c5ef7186fbbde5456c06ed4f3","v1_16897217c9a2e3ab31e88ab7ec3e748b330c984c5ef7186fbbde5456c06ed4f3_0_2fef10c424f74a7a32392db4fdcd73432fc6f7d98c8c8ef3e2d1ce0d5dc17ebe","18 6"
"v1_6d22adc24260bfbac1310076fb62b316aa5615c60b4e0b6b0ad2f35584cc687f","","48"
"v1_1f36a6dbbcbd8c191284c96730dc579e68746d207d53dd025c015925bf8ccf2a","v1_1f36a6dbbcbd8c191284c96730dc579e68746d207d53dd025c015925bf8ccf2a_0_a56794f12cb82932d6b2064c4b748497b61db8936ec505a7dbfdceaefbda76c3","707 9"
"v1_2da3556cc8df0f540c752e4a36067bff1762b963deb36e79bf09588e1380275f","v1_2da3556cc8df0f540c752e4a36067bff1762b963deb36e79bf09588e1380275f_0_18e02ddca70db10400b9ec4b1fdbe1c6d2b335db1c02af44db5b4bc63bc7ec5e","4 4"
"v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6","v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6_0_20d4c6edcbfe147bdf643b0ade75cb6d1583ec933c72a2bec1d9b5c7f2b2ff87_1_aef3bd9c1594df6ff123e02302fd4bccaf2c0594cbc2131091259fa1ff336a22","805 16 1"
"v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6","v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6_0_20d4c6edcbfe147bdf643b0ade75cb6d1583ec933c72a2bec1d9b5c7f2b2ff87","805 16"
"v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6","sqlite_autoindex_v1_375bef4c9bbb8f6d7dc119854bf1d642798de299decdc259872feb2fbaa5f2f6_1","805 16 1"
"v1_e89b71f4f5e75b06f33792a3b26723f6bb94ea7b75764649689e2813f31f887e","","455"
"v1_44117bf77b8ceb43a5cb1ef1bd8dd587e64b0f93def8b1a7d9615769a6e34733","","1"
"v1_275bd251487b7eaeb510eb2a1f814f56d12b838b3b2399ffcd98437e4dad261c","v1_275bd251487b7eaeb510eb2a1f814f56d12b838b3b2399ffcd98437e4dad261c_0_b180c50cd23616e3b69086d7c6e6e209b2e5571f2a30665ba4e3a1d3e4a43115_1_4b59d83026504d3893c8a6515aa42a5664127e0b9b30f04f0b10553070a94099","110 10 3"
"v1_275bd251487b7eaeb510eb2a1f814f56d12b838b3b2399ffcd98437e4dad261c","v1_275bd251487b7eaeb510eb2a1f814f56d12b838b3b2399ffcd98437e4dad261c_0_b180c50cd23616e3b69086d7c6e6e209b2e5571f2a30665ba4e3a1d3e4a43115","110 10"
"v1_85205a5de3bba6ff8241233f383cadec35f1334fffc5f274b42bc4798f44cc36","","15"
"v1_16dd6ce8061ea7789180970792dc5b21be82f274a8ead6f6c9fc88773ec6e22a","v1_16dd6ce8061ea7789180970792dc5b21be82f274a8ead6f6c9fc88773ec6e22a_0_575a0213163fe9b3e0e2fb7b332d36fe784b4ed3b9cfb9e8966267fd098b5bf6","3283 2"
"v1_1e968feaad1a67035b0573d25d490dc673553a7ba5a05be4ecd949a0f4f7c547","v1_1e968feaad1a67035b0573d25d490dc673553a7ba5a05be4ecd949a0f4f7c547_0_82797e4a3f049361eed1325de2112411c71c6d7f19372e35fcda379eb38564ef","176 3"
"v1_3fdad0e7ffba12b0256808e22b6bb50e836156883e0f038b785d4b87ad7ff6b1","v1_3fdad0e7ffba12b0256808e22b6bb50e836156883e0f038b785d4b87ad7ff6b1_0_2b9563675a97c3bb43558c83051caaec64126da3e5ce4f4d5e81d820c7060b22","17 9"
"v1_0217cae7078ea1c3ed65b4539948685a60f19568daf729a5bdb84e11962f9c88","v1_0217cae7078ea1c3ed65b4539948685a60f19568daf729a5bdb84e11962f9c88_0_2e0ac72da55bbc7afcdcdb0a8cda03f9ae992167ab5c9152bd9f7a15a197245f_1_2b38a9873654232136d95162fb3958f03f5cc60f39c02aba3aa54d7a29580519","8 4 1"
"v1_0217cae7078ea1c3ed65b4539948685a60f19568daf729a5bdb84e11962f9c88","v1_0217cae7078ea1c3ed65b4539948685a60f19568daf729a5bdb84e11962f9c88_0_2e0ac72da55bbc7afcdcdb0a8cda03f9ae992167ab5c9152bd9f7a15a197245f","8 4"
