6bbb6ff188cf7a7954466d35c86379748fe5d1a39689039fd78b582f40344f11,d84582afc773243b89f266ddb1ec5bb1282598f9a548865b9f5085d99a5f1a86,87ed0e9eeef60f8c42dd2cc349532e786c8367ff4fb91eaf658500e5277f3956
"電光・怪人","6","32001"
"壞亂黑鎧騎士","7","32001"
"雷雷","8","32001"
"芒刺爬行者","9","32001"
"白陽・黑月守護像","10","32001"
"電光・怪人","6","32002"
"壞亂黑鎧騎士","7","32002"
"雷雷","8","32002"
"芒刺爬行者","9","32002"
"白陽・黑月守護像","10","32002"
"高等加爾格","6","32003"
"詛咒・奧拉姆","7","32003"
"狂暴格里芬","8","32003"
"貪婪豺狼","9","32003"
"黑月・白陽守護像","10","32003"
"擲岩猴仙","6","32004"
"殺人虎鯨","7","32004"
"沙陸樹懶","8","32004"
"狂焰戰熊","9","32004"
"狂怒綠龍","10","32004"
"岩之錘","6","32005"
"水瑚麟","7","32005"
"飛龍","8","32005"
"稜鏡夫人","9","32005"
"狂怒綠龍","10","32005"
"邪惡領主","6","32006"
"紅極鳥","7","32006"
"雷雷","8","32006"
"獸人酋長","9","32006"
"狂怒綠龍","10","32006"
"電光・怪人","6","32007"
"水晶魔像","7","32007"
"沙陸樹懶","8","32007"
"劍蛇","9","32007"
"究極守護獸","10","32007"
"擲岩猴仙","6","32008"
"詛咒・奧拉姆","7","32008"
"哥布林騎兵","8","32008"
"雷電","9","32008"
"究極守護獸","10","32008"
"岩之錘","6","32009"
"紅極鳥","7","32009"
"飛龍","8","32009"
"三重搖滾","9","32009"
"究極守護獸","10","32009"
"擲岩猴仙","6","32010"
"哥布林大師","7","32010"
"冰霜獵犬","8","32010"
"蒼天女武神","9","32010"
"哥布林領主","10","32010"
"壞亂黑鎧騎士","6","32011"
"奧克塔斯基德","7","32011"
"哥布林王者","8","32011"
"泰坦龍龜","9","32011"
"哥布林領主","10","32011"
