ae8040c9e5ce4526b39f8c553af87c7490e48d038659a09bdbcada69b1c64171,a8492f94677d341e9b29c13444802663a250f05562ea8029fd97fc3d0bbce895,9831a8c4f26522f96476766625d8f356cfb2c365a5bac864d7adb3b4fcce7bc2,b177a294b32629c945280f4f95de9e8a4c5d632469dd4f55cde0a2d3d5dfd4dc,6ba0fcd57a434d205e8a8850b56beb31414eb1fa1c09d287217ab09750b2ee14,2f60aa169c15f6235aa73c7caa2212bd0160b4b56a107de4bc26e45559b7cbb9
"99001001","1","15","1001","1","11001001"
"99001001","10","8","0","2","91002"
"99001002","1","15","1001","3","11001002"
"99001002","10","8","0","4","91002"
"99001003","1","15","1002","5","11001003"
"99001003","20","8","0","6","91002"
"99001004","1","15","1003","7","11001004"
"99001004","30","8","0","8","91002"
"99001005","1","15","1001","9","11001005"
"99001005","10","8","0","10","91002"
"99001006","1","15","1001","11","11001006"
"99001006","10","8","0","12","91002"
"99001007","1","15","1002","13","11001007"
"99001007","20","8","0","14","91002"
"99001008","1","15","1003","15","11001008"
"99001008","30","8","0","16","91002"
"99001009","1","15","1001","17","11001009"
"99001009","10","8","0","18","91002"
"99001010","1","15","1001","19","11001010"
"99001010","10","8","0","20","91002"
"99001011","1","15","1002","21","11001011"
"99001011","20","8","0","22","91002"
"99001012","1","15","1003","23","11001012"
"99001012","30","8","0","24","91002"
"99001017","1","15","1001","33","11001017"
"99001017","30","8","0","34","91002"
"99001018","1","15","1001","35","11001018"
"99001018","30","8","0","36","91002"
"99001019","1","15","1002","37","11001019"
"99001019","30","8","0","38","91002"
"99001020","1","15","1003","39","11001020"
"99001020","30","8","0","40","91002"
"99001021","0","15","1001","41","11001021"
"99001022","0","15","1002","42","11001022"
"99001023","1","15","1001","43","11001023"
"99001023","30","8","0","44","91002"
"99001024","1","15","1001","45","11001024"
"99001024","30","8","0","46","91002"
"99001025","1","15","1002","47","11001025"
"99001025","30","8","0","48","91002"
"99001026","1","15","1003","49","11001026"
"99001026","30","8","0","50","91002"
"99001027","1","15","1001","51","11001027"
"99001027","30","8","0","52","91002"
"99001028","1","15","1001","53","11001028"
"99001028","30","8","0","54","91002"
"99001029","1","15","1002","55","11001029"
"99001029","30","8","0","56","91002"
"99001030","1","15","1003","57","11001030"
"99001030","30","8","0","58","91002"
"99001031","1","15","1001","59","11001031"
"99001031","30","8","0","60","91002"
"99001032","1","15","1001","61","11001032"
"99001032","30","8","0","62","91002"
"99001033","1","15","1002","63","11001033"
"99001033","30","8","0","64","91002"
"99001034","1","15","1003","65","11001034"
"99001034","30","8","0","66","91002"
"99001039","0","15","1001","75","11001039"
"99001040","0","15","1002","76","11001040"
"99001041","0","15","1003","77","11001041"
"99001042","1","15","1001","78","11001042"
"99001042","30","8","0","79","91002"
"99001043","1","15","1001","80","11001043"
"99001043","30","8","0","81","91002"
"99001044","1","15","1002","82","11001044"
"99001044","30","8","0","83","91002"
"99001045","1","15","1003","84","11001045"
"99001045","30","8","0","85","91002"
"99001046","1","15","1001","86","11001046"
"99001046","1","15","1001","87","11001050"
"99001046","30","8","0","88","91002"
"99001047","1","15","1001","89","11001047"
"99001047","30","8","0","90","91002"
"99001048","1","15","1002","91","11001048"
"99001048","30","8","0","92","91002"
"99001049","1","15","1003","93","11001049"
"99001049","30","8","0","94","91002"
"99001051","1","15","1001","95","11001051"
"99001051","30","8","0","96","91002"
"99001052","1","15","1001","97","11001052"
"99001052","30","8","0","98","91002"
"99001053","1","15","1002","99","11001053"
"99001053","30","8","0","100","91002"
"99001054","1","15","1003","101","11001054"
"99001054","30","8","0","102","91002"
"99001055","1","15","1001","103","11001055"
"99001055","30","8","0","104","91002"
"99001056","1","15","1001","105","11001056"
"99001056","30","8","0","106","91002"
"99001057","1","15","1002","107","11001057"
"99001057","30","8","0","108","91002"
"99001058","1","15","1003","109","11001058"
"99001058","30","8","0","110","91002"
"99001059","1","15","1001","111","11001059"
"99001059","30","8","0","112","91002"
"99001060","1","15","1001","113","11001060"
"99001060","30","8","0","114","91002"
"99001061","1","15","1002","115","11001061"
"99001061","30","8","0","116","91002"
"99001062","1","15","1003","117","11001062"
"99001062","30","8","0","118","91002"
"99001063","1","15","1001","119","11001063"
"99001063","30","8","0","120","91002"
"99001064","1","15","1001","121","11001064"
"99001064","30","8","0","122","91002"
"99001065","1","15","1002","123","11001065"
"99001065","30","8","0","124","91002"
"99001066","1","15","1003","125","11001066"
"99001066","30","8","0","126","91002"
"99001067","1","15","1001","127","11001067"
"99001067","30","8","0","128","91002"
"99001068","1","15","1001","129","11001068"
"99001068","30","8","0","130","91002"
"99001069","1","15","1002","131","11001069"
"99001069","30","8","0","132","91002"
"99001070","1","15","1003","133","11001070"
"99001070","30","8","0","134","91002"
"99001071","0","15","1001","135","11001071"
"99001072","0","15","1002","136","11001072"
"99001073","0","15","1003","137","11001073"
"99001074","1","15","1001","138","11001074"
"99001074","30","8","0","139","91002"
"99001075","1","15","1001","140","11001075"
"99001075","30","8","0","141","91002"
"99001076","1","15","1002","142","11001076"
"99001076","30","8","0","143","91002"
"99001077","1","15","1003","144","11001077"
"99001077","30","8","0","145","91002"
"99001078","1","15","1001","146","11001078"
"99001078","30","8","0","147","91002"
"99001079","1","15","1001","148","11001079"
"99001079","30","8","0","149","91002"
"99001080","1","15","1002","150","11001080"
"99001080","30","8","0","151","91002"
"99001081","1","15","1003","152","11001081"
"99001081","30","8","0","153","91002"
"99001082","1","15","1001","154","11001082"
"99001082","30","8","0","155","91002"
"99001083","1","15","1001","156","11001083"
"99001083","30","8","0","157","91002"
"99001084","1","15","1002","158","11001084"
"99001084","30","8","0","159","91002"
"99001085","1","15","1003","160","11001085"
"99001085","30","8","0","161","91002"
"99001086","0","15","1001","162","11001086"
"99001087","0","15","1002","163","11001087"
"99001088","0","15","1002","164","11001088"
"99001089","0","15","1002","165","11001089"
"99001090","0","15","1003","166","11001090"
"99001091","1","15","1001","167","11001091"
"99001091","30","8","0","168","91002"
"99001092","1","15","1001","169","11001092"
"99001092","30","8","0","170","91002"
"99001093","1","15","1002","171","11001093"
"99001093","30","8","0","172","91002"
"99001094","1","15","1003","173","11001094"
"99001094","30","8","0","174","91002"
"99001095","1","15","1001","175","11001095"
"99001095","30","8","0","176","91002"
"99001096","1","15","1001","177","11001096"
"99001096","30","8","0","178","91002"
"99001097","1","15","1002","179","11001097"
"99001097","30","8","0","180","91002"
"99001098","1","15","1003","181","11001098"
"99001098","30","8","0","182","91002"
"99001099","1","15","1001","183","11001099"
"99001099","30","8","0","184","91002"
"99001100","1","15","1001","185","11001100"
"99001100","30","8","0","186","91002"
"99001101","1","15","1002","187","11001101"
"99001101","30","8","0","188","91002"
"99001102","1","15","1003","189","11001102"
"99001102","30","8","0","190","91002"
"99001103","1","15","1001","191","11001103"
"99001103","30","8","0","192","91002"
"99001104","1","15","1001","193","11001104"
"99001104","30","8","0","194","91002"
"99001105","1","15","1002","195","11001105"
"99001105","30","8","0","196","91002"
"99001106","1","15","1003","197","11001106"
"99001106","30","8","0","198","91002"
"99001107","1","15","1001","199","11001107"
"99001107","30","8","0","200","91002"
"99001108","1","15","1001","201","11001108"
"99001108","30","8","0","202","91002"
"99001109","1","15","1002","203","11001109"
"99001109","30","8","0","204","91002"
"99001110","1","15","1003","205","11001110"
"99001110","30","8","0","206","91002"
"99001111","1","15","1001","207","11001111"
"99001111","30","8","0","208","91002"
"99001112","1","15","1001","209","11001112"
"99001112","30","8","0","210","91002"
"99001113","1","15","1002","211","11001113"
"99001113","30","8","0","212","91002"
"99001114","1","15","1003","213","11001114"
"99001114","30","8","0","214","91002"
"99001115","1","15","1001","215","11001115"
"99001115","30","8","0","216","91002"
"99001116","1","15","1001","217","11001116"
"99001116","30","8","0","218","91002"
"99001117","1","15","1002","219","11001117"
"99001117","30","8","0","220","91002"
"99001118","1","15","1003","221","11001118"
"99001118","30","8","0","222","91002"
"99001119","1","15","1001","223","11001119"
"99001119","30","8","0","224","91002"
"99001120","1","15","1001","225","11001120"
"99001120","30","8","0","226","91002"
"99001121","1","15","1002","227","11001121"
"99001121","30","8","0","228","91002"
"99001122","1","15","1003","229","11001122"
"99001122","30","8","0","230","91002"
"99001123","1","15","1001","231","11001123"
"99001123","30","8","0","232","91002"
"99001124","1","15","1001","233","11001124"
"99001124","30","8","0","234","91002"
"99001125","1","15","1002","235","11001125"
"99001125","30","8","0","236","91002"
"99001126","1","15","1003","237","11001126"
"99001126","30","8","0","238","91002"
"99001127","1","15","1001","239","11001127"
"99001127","30","8","0","240","91002"
"99001128","1","15","1001","241","11001128"
"99001128","30","8","0","242","91002"
"99001129","1","15","1002","243","11001129"
"99001129","30","8","0","244","91002"
"99001130","1","15","1003","245","11001130"
"99001130","30","8","0","246","91002"
"99001131","1","15","1003","247","11001131"
"99001132","1","15","1001","248","11001132"
"99001132","30","8","0","249","91002"
"99001133","1","15","1001","250","11001133"
"99001133","30","8","0","251","91002"
"99001134","1","15","1002","252","11001134"
"99001134","30","8","0","253","91002"
"99001135","1","15","1003","254","11001135"
"99001135","30","8","0","255","91002"
"99001136","1","15","1001","256","11001136"
"99001136","30","8","0","257","91002"
"99001137","1","15","1001","258","11001137"
"99001137","30","8","0","259","91002"
"99001138","1","15","1002","260","11001138"
"99001138","30","8","0","261","91002"
"99001139","1","15","1003","262","11001139"
"99001139","30","8","0","263","91002"
"99001140","1","15","1003","264","11001140"
"99001142","1","15","1001","265","11001142"
"99001142","30","8","0","266","91002"
"99001143","1","15","1001","267","11001143"
"99001143","30","8","0","268","91002"
"99001144","1","15","1002","269","11001144"
"99001144","30","8","0","270","91002"
"99001145","1","15","1003","271","11001145"
"99001145","30","8","0","272","91002"
"99001146","0","15","1001","273","11001146"
"99001147","0","15","1002","274","11001147"
"99001148","1","15","1001","275","11001148"
"99001148","30","8","0","276","91002"
"99001149","1","15","1001","277","11001149"
"99001149","30","8","0","278","91002"
"99001150","1","15","1002","279","11001150"
"99001150","30","8","0","280","91002"
"99001151","1","15","1003","281","11001151"
"99001151","30","8","0","282","91002"
"99001152","1","15","1001","283","11001152"
"99001152","30","8","0","284","91002"
"99001153","1","15","1001","285","11001153"
"99001153","30","8","0","286","91002"
"99001154","1","15","1002","287","11001154"
"99001154","30","8","0","288","91002"
"99001155","1","15","1003","289","11001155"
"99001155","30","8","0","290","91002"
"99001156","1","15","1001","291","11001156"
"99001156","30","8","0","292","91002"
"99001157","1","15","1001","293","11001157"
"99001157","30","8","0","294","91002"
"99001158","1","15","1002","295","11001158"
"99001158","30","8","0","296","91002"
