b804c5f1af37eb76e337e052dbaf491b5d45dd3dc0d4749b87b70bb08f3ea0f9,7973cb62acdc756c82e0c34ad2cf5a783f52c6730241d7539652f5d9a51ae807,41af5cd973553cb3617041d3eacae3db989ac8e3991ad34f0a8af72949d24651,bbe9b098f0f5f045d5ef0e112b79c5f851b0ef365c5247a27d218a93f39e861d
"0","20","10101","1"
"1","40","10101","1"
"2","50","10101","1"
"3","60","10101","1"
"4","70","10101","1"
"5","90","10101","1"
"0","20","10101","2"
"1","40","10101","2"
"2","50","10101","2"
"3","60","10101","2"
"4","70","10101","2"
"5","90","10101","2"
"0","20","10101","3"
"1","40","10101","3"
"2","50","10101","3"
"3","60","10101","3"
"4","70","10101","3"
"5","90","10101","3"
"0","20","10101","4"
"1","40","10101","4"
"2","50","10101","4"
"3","60","10101","4"
"4","70","10101","4"
"5","90","10101","4"
"0","20","10101","5"
"1","40","10101","5"
"2","50","10101","5"
"3","60","10101","5"
"4","70","10101","5"
"5","90","10101","5"
"0","20","10102","1"
"1","40","10102","1"
"2","50","10102","1"
"3","60","10102","1"
"4","70","10102","1"
"5","90","10102","1"
"0","20","10102","2"
"1","40","10102","2"
"2","50","10102","2"
"3","60","10102","2"
"4","70","10102","2"
"5","90","10102","2"
"0","20","10102","3"
"1","40","10102","3"
"2","50","10102","3"
"3","60","10102","3"
"4","70","10102","3"
"5","90","10102","3"
"0","20","10102","4"
"1","40","10102","4"
"2","50","10102","4"
"3","60","10102","4"
"4","70","10102","4"
"5","90","10102","4"
"0","20","10102","5"
"1","40","10102","5"
"2","50","10102","5"
"3","60","10102","5"
"4","70","10102","5"
"5","90","10102","5"
"0","20","10103","1"
"1","40","10103","1"
"2","50","10103","1"
"3","60","10103","1"
"4","70","10103","1"
"5","90","10103","1"
"0","20","10103","2"
"1","40","10103","2"
"2","50","10103","2"
"3","60","10103","2"
"4","70","10103","2"
"5","90","10103","2"
"0","20","10103","3"
"1","40","10103","3"
"2","50","10103","3"
"3","60","10103","3"
"4","70","10103","3"
"5","90","10103","3"
"0","20","10103","4"
"1","40","10103","4"
"2","50","10103","4"
"3","60","10103","4"
"4","70","10103","4"
"5","90","10103","4"
"0","20","10103","5"
"1","40","10103","5"
"2","50","10103","5"
"3","60","10103","5"
"4","70","10103","5"
"5","90","10103","5"
"0","20","10104","1"
"1","40","10104","1"
"2","50","10104","1"
"3","60","10104","1"
"4","70","10104","1"
"5","90","10104","1"
"0","20","10104","2"
"1","40","10104","2"
"2","50","10104","2"
"3","60","10104","2"
"4","70","10104","2"
"5","90","10104","2"
"0","20","10104","3"
"1","40","10104","3"
"2","50","10104","3"
"3","60","10104","3"
"4","70","10104","3"
"5","90","10104","3"
"0","20","10104","4"
"1","40","10104","4"
"2","50","10104","4"
"3","60","10104","4"
"4","70","10104","4"
"5","90","10104","4"
"0","20","10104","5"
"1","40","10104","5"
"2","50","10104","5"
"3","60","10104","5"
"4","70","10104","5"
"5","90","10104","5"
"0","20","10201","1"
"1","40","10201","1"
"2","50","10201","1"
"3","60","10201","1"
"4","70","10201","1"
"5","90","10201","1"
"0","20","10201","2"
"1","40","10201","2"
"2","50","10201","2"
"3","60","10201","2"
"4","70","10201","2"
"5","90","10201","2"
"0","20","10201","3"
"1","40","10201","3"
"2","50","10201","3"
"3","60","10201","3"
"4","70","10201","3"
"5","90","10201","3"
"0","20","10201","4"
"1","40","10201","4"
"2","50","10201","4"
"3","60","10201","4"
"4","70","10201","4"
"5","90","10201","4"
"0","20","10201","5"
"1","40","10201","5"
"2","50","10201","5"
"3","60","10201","5"
"4","70","10201","5"
"5","90","10201","5"
"0","20","10202","1"
"1","40","10202","1"
"2","50","10202","1"
"3","60","10202","1"
"4","70","10202","1"
"5","90","10202","1"
"0","20","10202","2"
"1","40","10202","2"
"2","50","10202","2"
"3","60","10202","2"
"4","70","10202","2"
"5","90","10202","2"
"0","20","10202","3"
"1","40","10202","3"
"2","50","10202","3"
"3","60","10202","3"
"4","70","10202","3"
"5","90","10202","3"
"0","20","10202","4"
"1","40","10202","4"
"2","50","10202","4"
"3","60","10202","4"
"4","70","10202","4"
"5","90","10202","4"
"0","20","10202","5"
"1","40","10202","5"
"2","50","10202","5"
"3","60","10202","5"
"4","70","10202","5"
"5","90","10202","5"
"0","20","10203","1"
"1","40","10203","1"
"2","50","10203","1"
"3","60","10203","1"
"4","70","10203","1"
"5","90","10203","1"
"0","20","10203","2"
"1","40","10203","2"
"2","50","10203","2"
"3","60","10203","2"
"4","70","10203","2"
"5","90","10203","2"
"0","20","10203","3"
"1","40","10203","3"
"2","50","10203","3"
"3","60","10203","3"
"4","70","10203","3"
"5","90","10203","3"
"0","20","10203","4"
"1","40","10203","4"
"2","50","10203","4"
"3","60","10203","4"
"4","70","10203","4"
"5","90","10203","4"
"0","20","10203","5"
"1","40","10203","5"
"2","50","10203","5"
"3","60","10203","5"
"4","70","10203","5"
"5","90","10203","5"
"0","20","10204","1"
"1","40","10204","1"
"2","50","10204","1"
"3","60","10204","1"
"4","70","10204","1"
"5","90","10204","1"
"0","20","10204","2"
"1","40","10204","2"
"2","50","10204","2"
"3","60","10204","2"
"4","70","10204","2"
"5","90","10204","2"
