134b3e99d9c58b527d2cd7dda98873a49e439118e1c7ca9b3cbe1f3cd0fb5297,68b30c6916150f7483a3b9c41508cd26b8e1f330b6d2fa38de0cc895f3a21974,2f0574f9c04c69ebc0ef2b4a79bbb1c9eee08e9f1dda122de352bc1442bf11dd,d99a490cf8029e36d89b5be3ef1430e76fdfe9f5051301873c9871d9d30b8f2c,b73d7521786694b72447a1529099c3ca0caa7023b97284049509daba1a564b25
"310001011","31000101","12","150000","94002"
"310001012","31000101","2","10","22003"
"310001021","31000102","12","500000","94002"
"310001022","31000102","2","10","22003"
"310001031","31000103","12","500000","94002"
"310001032","31000103","4","5","140001"
"310001033","31000103","2","5","25001"
"310001041","31000104","12","500000","94002"
"310001042","31000104","2","10","22003"
"310001051","31000105","12","500000","94002"
"310001052","31000105","4","5","140001"
"310001053","31000105","2","5","25001"
"310001061","31000106","12","500000","94002"
"310001062","31000106","2","10","22003"
"310001071","31000107","12","500000","94002"
"310001072","31000107","4","5","140001"
"310001073","31000107","2","5","25001"
"310001081","31000108","12","500000","94002"
"310001082","31000108","2","10","22003"
"310001091","31000109","12","500000","94002"
"310001092","31000109","4","5","140001"
"310001093","31000109","2","5","25001"
"310011011","31001101","12","150000","94002"
"310011012","31001101","2","5","22003"
"310011021","31001102","12","150000","94002"
"310011022","31001102","2","5","22003"
"310011031","31001103","12","150000","94002"
"310011032","31001103","2","5","22003"
"310011111","31001111","12","150000","94002"
"310011112","31001111","2","5","22003"
"310011121","31001112","12","200000","94002"
"310011122","31001112","2","5","22003"
"310012011","31001201","12","150000","94002"
"310012012","31001201","2","5","22003"
"310012021","31001202","12","150000","94002"
"310012022","31001202","2","5","22003"
"310012031","31001203","12","150000","94002"
"310012032","31001203","2","5","22003"
"310012111","31001211","12","150000","94002"
"310012112","31001211","2","5","22003"
"310012121","31001212","12","200000","94002"
"310012122","31001212","2","5","22003"
"310013011","31001301","12","150000","94002"
"310013012","31001301","2","5","22003"
"310013021","31001302","12","150000","94002"
"310013022","31001302","2","5","22003"
"310013031","31001303","12","150000","94002"
"310013032","31001303","2","5","22003"
"310013111","31001311","12","150000","94002"
"310013112","31001311","2","5","22003"
"310013121","31001312","12","200000","94002"
"310013122","31001312","2","5","22003"
"310014011","31001401","12","150000","94002"
"310014012","31001401","2","5","22003"
"310014021","31001402","12","150000","94002"
"310014022","31001402","2","5","22003"
"310014031","31001403","12","150000","94002"
"310014032","31001403","2","5","22003"
"310014111","31001411","12","150000","94002"
"310014112","31001411","2","5","22003"
"310014121","31001412","12","200000","94002"
"310014122","31001412","2","5","22003"
"310021011","31002101","12","150000","94002"
"310021012","31002101","2","5","22003"
"310021021","31002102","12","150000","94002"
"310021022","31002102","2","5","22003"
"310021031","31002103","12","150000","94002"
"310021032","31002103","2","5","22003"
"310021041","31002104","8","50","91002"
"310021111","31002111","12","150000","94002"
"310021112","31002111","2","5","22003"
"310021121","31002112","12","200000","94002"
"310021122","31002112","2","5","22003"
"310021131","31002113","8","100","91002"
"310031011","31003101","12","150000","94002"
"310031012","31003101","2","5","22003"
"310031021","31003102","12","150000","94002"
"310031022","31003102","2","5","22003"
"310031031","31003103","12","150000","94002"
"310031032","31003103","2","5","22003"
"310031041","31003104","8","50","91002"
"310031111","31003111","12","150000","94002"
"310031112","31003111","2","5","22003"
"310031121","31003112","12","200000","94002"
"310031122","31003112","2","5","22003"
"310031131","31003113","8","100","91002"
"310032011","31003201","12","150000","94002"
"310032012","31003201","2","5","22003"
"310032021","31003202","12","150000","94002"
"310032022","31003202","2","5","22003"
"310032031","31003203","12","150000","94002"
"310032032","31003203","2","5","22003"
"310032041","31003204","8","50","91002"
"310032111","31003211","12","150000","94002"
"310032112","31003211","2","5","22003"
"310032121","31003212","12","200000","94002"
"310032122","31003212","2","5","22003"
"310032131","31003213","8","100","91002"
