70a3b81667af5b17bbb942e707283584523ac31b469884fc320f3664583ae8a2,bde059512becc0d17267730e4161475a6d3d136f57868daea58e178f811cd2af,60aec3e880fdf52602c8936e86688d3527f9c6d7f7d06d1a308f0e0a5684294b,eda10feb619a044aee8875eeb08f70b574bfac5ebf4fde6f26aeae8c3ef4387e,b370544704b3cd2c323dc846eba26c0eaacaa937ef4b0defd209a11d7136d774
"10001001","5","60002","2","61001001"
"10001002","5","60002","2","61001002"
"10001003","30","91002","8","71001001"
"10001004","1","22002","2","71001001"
"10001005","30","91002","8","71001002"
"10001006","1","22002","2","71001002"
"10001007","30","91002","8","71001003"
"10001008","1","22002","2","71001003"
"10001009","30","91002","8","71001004"
"10001010","1","22002","2","71001004"
"10001011","30","91002","8","71001005"
"10001012","1","22002","2","71001005"
"10001013","30","91002","8","71001006"
"10001014","1","22002","2","71001006"
"10001015","30","91002","8","71001007"
"10001016","1","22002","2","71001007"
"10001017","30","91002","8","71001008"
"10001018","1","22002","2","71001008"
"10001019","30","91002","8","71001009"
"10001020","1","22002","2","71001009"
"10001021","30","91002","8","71001010"
"10001022","1","22002","2","71001010"
"10001023","30","91002","8","71001011"
"10001024","1","22002","2","71001011"
"10001025","30","91002","8","71001012"
"10001026","1","22002","2","71001012"
"10001027","30","91002","8","71001013"
"10001028","1","22002","2","71001013"
"10001029","30","91002","8","71001014"
"10001030","1","22002","2","71001014"
"10001031","30","91002","8","71001015"
"10001032","1","22002","2","71001015"
"10001033","60","91002","8","71001016"
"10001034","2","22002","2","71001016"
"10001035","60","91002","8","71001017"
"10001036","2","22002","2","71001017"
"10001037","60","91002","8","71001018"
"10001038","2","22002","2","71001018"
"10001039","60","91002","8","71001019"
"10001040","2","22002","2","71001019"
"10001041","60","91002","8","71001020"
"10001042","2","22002","2","71001020"
"10001043","50000","94002","12","71001021"
"10001044","100000","94002","12","71001022"
"10001045","150000","94002","12","71001023"
"10001046","200000","94002","12","71001024"
"10001047","2","31038","2","71001025"
"10001048","2","31012","2","71001026"
"10001049","3","31038","2","71001027"
"10001050","3","31012","2","71001028"
"10001051","5","31038","2","71001029"
"10001052","5","31012","2","71001030"
"10002001","5","60012","2","61002001"
"10002002","5","60012","2","61002002"
"10002003","30","91002","8","71002001"
"10002004","1","22002","2","71002001"
"10002005","30","91002","8","71002002"
"10002006","1","22002","2","71002002"
"10002007","30","91002","8","71002003"
"10002008","1","22002","2","71002003"
"10002009","30","91002","8","71002004"
"10002010","1","22002","2","71002004"
"10002011","30","91002","8","71002005"
"10002012","1","22002","2","71002005"
"10002013","30","91002","8","71002006"
"10002014","1","22002","2","71002006"
"10002015","30","91002","8","71002007"
"10002016","1","22002","2","71002007"
"10002017","30","91002","8","71002008"
"10002018","1","22002","2","71002008"
"10002019","30","91002","8","71002009"
"10002020","1","22002","2","71002009"
"10002021","30","91002","8","71002010"
"10002022","1","22002","2","71002010"
"10002023","30","91002","8","71002011"
"10002024","1","22002","2","71002011"
"10002025","30","91002","8","71002012"
"10002026","1","22002","2","71002012"
"10002027","30","91002","8","71002013"
"10002028","1","22002","2","71002013"
"10002029","30","91002","8","71002014"
"10002030","1","22002","2","71002014"
"10002031","30","91002","8","71002015"
"10002032","1","22002","2","71002015"
"10002033","60","91002","8","71002016"
"10002034","2","22002","2","71002016"
"10002035","60","91002","8","71002017"
"10002036","2","22002","2","71002017"
"10002037","60","91002","8","71002018"
"10002038","2","22002","2","71002018"
"10002039","60","91002","8","71002019"
"10002040","2","22002","2","71002019"
"10002041","60","91002","8","71002020"
"10002042","2","22002","2","71002020"
"10002043","50000","94002","12","71002021"
"10002044","100000","94002","12","71002022"
"10002045","150000","94002","12","71002023"
"10002046","200000","94002","12","71002024"
"10002047","2","31004","2","71002025"
"10002048","2","31020","2","71002026"
"10002049","3","31004","2","71002027"
"10002050","3","31020","2","71002028"
"10002051","5","31004","2","71002029"
"10002052","5","31020","2","71002030"
"10003001","5","60022","2","61003001"
"10003002","5","60022","2","61003002"
"10003003","30","91002","8","71003001"
"10003004","1","22002","2","71003001"
"10003005","30","91002","8","71003002"
"10003006","1","22002","2","71003002"
"10003007","30","91002","8","71003003"
"10003008","1","22002","2","71003003"
"10003009","30","91002","8","71003004"
"10003010","1","22002","2","71003004"
"10003011","30","91002","8","71003005"
"10003012","1","22002","2","71003005"
"10003013","30","91002","8","71003006"
"10003014","1","22002","2","71003006"
"10003015","30","91002","8","71003007"
"10003016","1","22002","2","71003007"
"10003017","30","91002","8","71003008"
"10003018","1","22002","2","71003008"
"10003019","30","91002","8","71003009"
"10003020","1","22002","2","71003009"
"10003021","30","91002","8","71003010"
"10003022","1","22002","2","71003010"
"10003023","30","91002","8","71003011"
"10003024","1","22002","2","71003011"
"10003025","30","91002","8","71003012"
"10003026","1","22002","2","71003012"
"10003027","30","91002","8","71003013"
"10003028","1","22002","2","71003013"
"10003029","30","91002","8","71003014"
"10003030","1","22002","2","71003014"
"10003031","30","91002","8","71003015"
"10003032","1","22002","2","71003015"
"10003033","60","91002","8","71003016"
"10003034","2","22002","2","71003016"
"10003035","60","91002","8","71003017"
"10003036","2","22002","2","71003017"
"10003037","60","91002","8","71003018"
"10003038","2","22002","2","71003018"
"10003039","60","91002","8","71003019"
"10003040","2","22002","2","71003019"
"10003041","60","91002","8","71003020"
"10003042","2","22002","2","71003020"
"10003043","50000","94002","12","71003021"
"10003044","100000","94002","12","71003022"
"10003045","150000","94002","12","71003023"
"10003046","200000","94002","12","71003024"
"10003047","2","31017","2","71003025"
"10003048","2","31010","2","71003026"
"10003049","3","31017","2","71003027"
"10003050","3","31010","2","71003028"
"10003051","5","31017","2","71003029"
"10003052","5","31010","2","71003030"
"10004001","5","60032","2","61004001"
"10004002","5","60032","2","61004002"
"10004003","30","91002","8","71004001"
"10004004","1","22002","2","71004001"
"10004005","30","91002","8","71004002"
"10004006","1","22002","2","71004002"
"10004007","30","91002","8","71004003"
"10004008","1","22002","2","71004003"
"10004009","30","91002","8","71004004"
"10004010","1","22002","2","71004004"
"10004011","30","91002","8","71004005"
"10004012","1","22002","2","71004005"
"10004013","30","91002","8","71004006"
"10004014","1","22002","2","71004006"
"10004015","30","91002","8","71004007"
"10004016","1","22002","2","71004007"
"10004017","30","91002","8","71004008"
"10004018","1","22002","2","71004008"
"10004019","30","91002","8","71004009"
"10004020","1","22002","2","71004009"
"10004021","30","91002","8","71004010"
"10004022","1","22002","2","71004010"
"10004023","30","91002","8","71004011"
"10004024","1","22002","2","71004011"
"10004025","30","91002","8","71004012"
"10004026","1","22002","2","71004012"
"10004027","30","91002","8","71004013"
"10004028","1","22002","2","71004013"
"10004029","30","91002","8","71004014"
"10004030","1","22002","2","71004014"
"10004031","30","91002","8","71004015"
"10004032","1","22002","2","71004015"
"10004033","60","91002","8","71004016"
"10004034","2","22002","2","71004016"
"10004035","60","91002","8","71004017"
"10004036","2","22002","2","71004017"
"10004037","60","91002","8","71004018"
"10004038","2","22002","2","71004018"
"10004039","60","91002","8","71004019"
"10004040","2","22002","2","71004019"
"10004041","60","91002","8","71004020"
"10004042","2","22002","2","71004020"
"10004043","50000","94002","12","71004021"
"10004044","100000","94002","12","71004022"
"10004045","150000","94002","12","71004023"
"10004046","200000","94002","12","71004024"
