218161e2d24491543c2626f492569fde78615600c040af480f2002041a99c2b9,c041c49ca13d2d913c4e4d107e492f0f54f560cad0bfb1014dc57836bdd086ff,db1996bd2615c7ea7b5448a1054c0c5b618095fe8cf93d1db85a5c10e74c16fe,4cc1658865d68dc1e653ac8803d1f2aa5227af38293b6ca008d444ae4d512c00,06e06dd895ab01ed0ce046955eb1ff7e74b6093c8babc17b47de68e6f75e50a9,62fb6ac1bbf61f3495a753724dfb06a761c8468dc20d36f5959666ee6b3eb336,3cf14bb0465d396d7218205a9badb001e04f16c3007732ed9f2fc97eb0cd0460
"1","1","0","10008111","","10008101","0"
"1","2","0","10008115","","10008112","0"
"3","3","0","10008103","","10008101","0"
"3","4","0","10008115","","10008105","0"
"4","5","0","150","","10008112","0"
"1","6","0","10028111","","10028101","0"
"1","7","0","10028115","","10028112","0"
"3","8","0","10028103","","10028101","0"
"3","9","0","10028115","","10028105","0"
"4","10","0","150","","10028112","0"
"11","11","20012107","20012104","","20012104","0"
"11","12","20012109","20012108","","20012108","0"
"11","13","20012114","20012110","","20012110","0"
"11","14","20012115","20012115","","20012115","0"
"4","15","0","120","","20012110","0"
"1","16","0","20008111","","20008101","0"
"1","17","0","20008115","","20008112","0"
"3","18","0","20008103","","20008101","0"
"3","19","0","20008115","","20008105","0"
"4","20","0","150","","20008112","0"
