5aca16f8eab08d133cc3888f6cb6cc01ecd5f665187f9ea5120d90dccd484173,6aac0998feaaa18e3f857b639c7765213311c307163c670afbedf36a0a546d8b,ad1668f42f900564553d443d9e9da5621985cb785eaef439a0a3ecbb69592ef6,bba1a61f57b0c8640ce9448aa9b606ab47f978d9f9e6015005d082e02d4f3e05,85be95d7295e51f13f8c552882dab56cbf52cd934bd7dc371b7c4c588b8373cb,f07d9bc94793bb4e864e6ec931a2e42db81098a0ddfa39aa8903b170962b4072,34e9cce5d446ce1aa3c9b81af0afc5c026ff5e6ca8835a841b039fb5cd4ea407,851465f7d1cd88bb5009dda77c590e605d92050ce0feb20b98ccfe20de1352b8,3675317716d06490db685b8ff26ce0e086ae8e67ca5d47175651d742122dde67,eefb0c11ad835cbd021e1a3d9012df294cce22447f44f99cf7bb47a0238d7875,0601dbb3eac0f2a4b2087af2ac58f85f2aed71e64ef7ce5c58977c097d979801,1a7a6f6b63b44016f61bd870cd8574adee770e3929ce8669ca4e0ec6aacb4034,54af7f5ec98ade64003139f517cf2e1dfc490fe5ebe4652a065799e6aba64399,c75a5812231b96757a03258e7bf0efe4fd5633ca68ba0830016d72d0aa096d8a,1a26b03066d6d5fe768e2410baa01b6f6c20fbdf15dd6258ca2f1d32ebce980e,85cd6eaecd983564f8eff3b6ea74c3fdd7dd610c6d96a00a60abf6e5d0090da0,a469eb367862e9e9d59bffe21cd26ee7c0d0d8877bf3a8fcacc701ee1feba06f,b66211833c8ebbc303edd2883a193274af23b5b3a8982b0aa13c27c0e050a19a,c5cd4046a75b303df8b7e49cf7f6a07184e13a0365cb9db7375d072a8d2c9763,3f396b97995d2e63f8b9446c7c8dc2f166290b541e79c84a3bc0ff0e5af00d80,94748fa4031d71c8fa2d3ba7596dc082c95439de1c565f0f576a4ba33ef6b0d9,d3e8a24c60772d320c9d49992cc1947b83845eea70cc7e8f556f51a9a6c200bc,bbaecd791d253e4b477430f87b342664804ee1719c1366fda55fbeaea0b5d5f7,3092028d05ef3333beec1b1ec4204633f96417ae949d5b46f086a93dad3da726
"7","2030/12/31 15:00:00","450","0","100101","【物理】位於前衛，壓制敵方前線，精神百倍並帶著笑容的女孩。\n擁有能大幅度攻擊前衛的必殺技，以及能加強自身攻擊力的技能的攻擊者。","200","1","0","0","0","100101","0","2.295","日和","1","0","100101","日和","0","100101","2015/04/01 15:00:00","1","1"
"7","2030/12/31 15:00:00","450","0","100201","【魔法】位於最後列，恢復及輔助己方的魔法師。\n打擊力量微弱，但擁有高度魔法攻擊力，當 Rank 上升，其攻擊力及輔助能力將會取得平衡。","800","1","0","0","0","100201","0","2.27","優衣","7","0","100201","優衣","0","100201","2015/04/01 15:00:00","7","2"
"7","2030/12/31 15:00:00","450","0","100301","【物理】位於前衛，能使出單點突破來討伐敵方，是一名\n孤高的劍士。必殺技與一般技能，皆為了打倒眼前敵人而\n特化，並驅使高火力攻擊技能來壓制前線。","250","1","0","0","0","100301","0","1.965","怜","4","0","100301","怜","0","100301","2015/04/01 15:00:00","4","1"
"13","2030/12/31 15:00:00","450","0","100401","【物理】在最前線干擾敵人物理攻擊的淘氣少女。\n擁有能使眼前的敵人陷入黑暗狀態、命中率大幅下降之外，\n還能使一名敵人的物理攻擊力下降的技能。","205","1","0","0","0","100401","0","2.17","禊","1","0","100401","禊","0","100401","2015/04/01 15:00:00","1","1"
"2","2030/12/31 15:00:00","450","0","100501","【物理】以機敏的行動在敵陣穿梭的先鋒見習騎士。\n以必殺技衝進對手陣地中央，\n再攻擊自己周圍的技能來進攻對手。","185","2","0","0","0","100501","0","2.125","茉莉","2","0","100501","茉莉","0","100501","2019/01/22 16:00:00","2","1"
"14","2030/12/31 15:00:00","450","0","100601","【魔法】位於中衛，擔任魔法隊中強化與恢復的角色，是雙胞胎中的妹妹。\n擁有能大幅降低敵人魔法防禦力的技能，以及可提升魔法攻擊力及擁有恢復效果的必殺技。","570","2","0","0","0","100601","0","2.19","茜里","6","0","100601","茜里","0","100601","2015/04/01 15:00:00","6","2"
"14","2030/12/31 15:00:00","450","0","100701","【物理】在最前線專門閃避敵人攻擊的幽靈少女。\n以技能變身成為幽靈來躲避敵人攻擊，\n必殺技則是把敵人變成布丁吃掉。","125","2","0","0","0","100701","0","1.7","宮子","3","0","100701","宮子","0","100701","2015/04/01 15:00:00","3","1"
"12","2030/12/31 15:00:00","450","0","100801","【魔法】位於後衛，能輔助物理隊伍，是個活生生的藝術品。\n除了能提早發動己方必殺技的技能，還擁有能使敵人陷入黑暗狀態，藉此封鎖敵人物理攻擊的技能。","805","2","0","0","0","100801","0","2.07","雪","21","0","100801","雪","0","100801","2015/04/01 15:00:00","7","2"
"11","2030/12/31 15:00:00","450","0","100901","【魔法】可從中衛發動壓倒性的魔力來攻擊敵人，人稱之疾風之冥姬。\n施展必殺技能雖能給予敵軍全體大規模的傷害，\n然而卻因這份魔力過於強大，對自己也有相當的風險。","440","3","0","0","0","100901","0","2.25","杏奈","5","0","100901","杏奈","0","100901","2015/04/01 15:00:00","5","2"
"4","2030/12/31 15:00:00","450","0","101001","【魔法】位於後衛，負責支援己方的童話少女。\n擁有可加強己方全體，恢復ＴＰ之必殺技，\n以及可恢復ＨＰ，使敵方陷入黑暗的技能，能使戰況好轉。","795","3","0","0","0","101001","0","2.27","真步","7","0","101001","真步","0","101001","2015/04/01 15:00:00","7","2"
"6","2030/12/31 15:00:00","450","0","101101","【物理】能從後衛降下箭雨，是一名妹妹屬性的弓箭手。\n擁有能提高自己的暴擊率的一般技能，\n還能使傷害次數較高的必殺技，擁有更顯著的效果。","700","3","0","0","0","101101","0","1.97","璃乃","8","0","101101","璃乃","0","101101","2015/04/01 15:00:00","8","1"
"9","2030/12/31 15:00:00","450","0","101201","【魔法】位於後衛，擅長對付物理攻擊型敵軍，\n是一位超能力少女。\n因為能對物理攻擊型的敵軍發揮真正的價值，\n因此可將物理攻擊型的敵軍給一網打盡。","755","3","0","0","0","101201","0","2.07","初音","7","0","101201","初音","0","101201","2015/04/01 15:00:00","7","2"
"9","2030/12/31 15:00:00","450","0","101301","【魔法】從後衛位置施放多采多姿的魔法，是一名魔法宅少女。\n針對體力最多的對象所使用的必殺技或技能，\n是會依敵人的 HP 狀況改變攻擊目標的高威力魔法攻擊。","740","2","0","0","0","101301","0","2.07","七七香","7","0","101301","七七香","0","101301","2019/03/27 16:00:00","7","2"
"9","2030/12/31 15:00:00","450","0","101401","【魔法】位於後衛，特別強化於妨礙對手行動的名偵探。\n能以造成束縛與混亂的技能來使對手的行動遭受妨礙，\n並展開降低魔法防禦力的領域來解決對手。","730","3","0","0","0","101401","0","2.27","霞","21","0","101401","霞","0","101401","2019/07/15 16:00:00","7","2"
"9","2030/12/31 15:00:00","450","0","101501","【魔法】位於後衛支援使用魔法的角色，是大家的老師。\n負責必殺技的 HP 恢復及提升魔法防禦，持續恢復前方角色 HP，大幅提升己方的持久度。","735","2","0","0","0","101501","0","2.27","美里","9","0","101501","美里","0","101501","2015/04/01 15:00:00","7","2"
"15","2030/12/31 15:00:00","450","0","101601","【物理】會從後衛進行暴擊攻擊的超級名模。\n暴擊的傷害不僅能使傷害增倍，\n再加上還能靠技能提升攻擊力，使破壞力更甚。","705","2","0","0","0","101601","0","1.97","鈴奈","8","0","101601","鈴奈","0","101601","2015/04/01 15:00:00","8","1"
"4","2030/12/31 15:00:00","450","0","101701","【物理】在最前線利用累積技能賺傷害的南國少女。\n一旦發動「精神統一」技能，香織的攻擊會隨次數\n對敵人累積效果，後續的攻擊會逐漸增加。","145","2","0","0","0","101701","0","2.17","香織","1","0","101701","香織","0","101701","2015/04/01 15:00:00","1","1"
"15","2030/12/31 15:00:00","450","0","101801","【魔法】在後方誘惑全體敵人的性感老師。\n以奪取敵人ＴＰ技能使其必殺技延遲發動，\n或施放誘惑的必殺技，使戰場陷入大混亂。","715","3","0","0","0","101801","0","2.6","伊緒","5","0","101801","伊緒","0","101801","2015/04/01 15:00:00","5","2"
"13","2030/12/31 15:00:00","450","0","102001","【物理】位於中衛，崩毀敵方前衛，是一隻小兔兔女孩。\n必殺技為，在給予離自己最近的敵人大幅傷害後，\n能順便攻擊到該對象旁邊的敵軍，能有效早期攻略敵人的前衛。","360","2","0","0","0","102001","0","2.125","美美","5","0","102001","美美","0","102001","2015/04/01 15:00:00","5","1"
"3","2030/12/31 15:00:00","450","0","102101","【物理】位於前衛，能守護己方，是一名極度害羞的女孩子。\n技能能提高自己周圍的物理、魔法防禦力，\n並且能使接近的敵方暈眩難以靠近。","240","1","0","0","0","102101","0","1.675","胡桃","3","0","102101","胡桃","0","102101","2015/04/01 15:00:00","3","1"
"14","2030/12/31 15:00:00","450","0","102201","【魔法】位於中衛，發散強力的魔法，是雙胞胎中的姊姊。\n可以犧牲自身的 HP，來增強魔法攻擊力，\n能使得必殺技與技能的威力更上一層樓。","575","1","0","0","0","102201","0","2.19","依里","6","0","102201","依里","0","102201","2015/04/01 15:00:00","6","2"
"3","2030/12/31 15:00:00","450","0","102301","【物理】位於前衛，能使戰場混亂，是一個熊孩子。\n在以必殺技將對手吹飛的同時，以暈眩及給予大幅度的傷害使敵方陣形大亂。","210","2","0","0","0","102301","0","1.425","綾音","3","0","102301","綾音","0","102301","2015/04/01 15:00:00","3","1"
"3","2030/12/31 15:00:00","450","0","102501","【魔法】位於後衛，同時擅長恢復擊攻擊的冒失女僕。\n可一邊恢復己方 HP 一邊提高物理攻擊力的技能，適合與負責攻擊的中衛、後衛搭配。","720","1","0","0","0","102501","0","2.27","鈴莓","7","0","102501","鈴莓","0","102501","2015/04/01 15:00:00","7","2"
"3","2030/12/31 15:00:00","450","0","102601","【物理】中衛，能加強物理攻擊的怕麻煩的少女。\n能同時提升己方的物理攻擊力及魔法防禦，能同時支援隊伍的攻守兩方。","550","2","0","0","0","102601","0","2.34","鈴","6","0","102601","鈴","0","102601","2015/04/01 15:00:00","6","1"
"11","2030/12/31 15:00:00","450","0","102701","【物理】位於前衛，以毒技能粉碎敵人，通稱破壞者。\n擁有最頂級的攻擊力，用必殺技給予敵人致命一擊時，\n攻擊力會一次次地向上提升。","230","2","0","0","0","102701","0","1.425","惠理子","3","0","102701","惠理子","0","102701","2015/04/01 15:00:00","3","1"
"3","2030/12/31 15:00:00","450","0","102801","【物理】位於中衛，能瞬間翻轉局勢，大家的咲戀媽媽。\n有著ＨＰ越低，傷害力就越高的必殺技，\n和可以恢復己方的技能，一口氣逆轉局勢。","430","3","0","0","0","102801","0","2.09","咲戀","4","0","102801","咲戀","0","102801","2015/04/01 15:00:00","4","1"
"10","2030/12/31 15:00:00","450","0","102901","【物理】位於前衛，成為大家的防護的偶像望望。\n當她立於舞台上時，能夠大大提升己方的物理攻擊力，\n並且還可以一人擔下敵方的注意。","160","3","0","0","0","102901","0","1.965","望","4","0","102901","望","0","102901","2015/04/01 15:00:00","4","1"
"12","2030/12/31 15:00:00","450","0","103001","【物理】位於中衛，能反覆操作強力的範圍攻擊，是擅用忍法的熟手。\n當範圍攻擊的技能將敵人擊敗時，可大幅地累積 TP，\n發動強力必殺技的頻率也隨之提高。","415","3","0","0","0","103001","0","2.25","妮諾","5","0","103001","妮諾","0","103001","2015/04/01 15:00:00","5","1"
"14","2030/12/31 15:00:00","450","0","103101","【物理】位於中衛，能召喚父親的骷髏頭戰鬥的通靈少女。\n召喚來的父親除了能和自己分開攻擊之外，\n還能夠替自己抵擋傷害。","365","2","0","0","0","103101","0","2.25","忍","5","0","103101","忍","0","103101","2015/04/01 15:00:00","5","1"
"8","2030/12/31 15:00:00","450","0","103201","【物理】位於前衛，能大鬧攻擊，是一名千金小姐劍士。\n能夠在自身周遭創造出能使夥伴恢復的領域。而挺身佇立前線的無畏身影，更不負身為名家之名。","180","3","0","0","0","103201","0","2.125","秋乃","5","0","103201","秋乃","0","103201","2015/04/01 15:00:00","5","1"
"5","2030/12/31 15:00:00","450","0","103301","【物理】位於中衛，可擾亂敵人動作的牧場主人。\n能將敵方的前衛擊退，進而崩壞敵方陣形，逼迫其他敵人成為對象攻擊範圍。","395","2","0","0","0","103301","0","2.34","真陽","6","0","103301","真陽","0","103301","2015/04/01 15:00:00","6","1"
"8","2030/12/31 15:00:00","450","0","103401","【物理】位於中衛，能以屏障和恢復守護己方的曾經的聖戰士。\n能夠操作受傷的己方角色恢復 HP 與 TP 的技能，進而在你來我往的消耗戰中，給出相當關鍵的支援。","405","1","0","0","0","103401","0","2.4","優花梨","5","0","103401","優花梨","0","103401","2015/04/01 15:00:00","5","1"
"0","2030/12/31 15:00:00","450","0","103601","【魔法】位於後衛，能施以強力魔法攻擊的小小優等生。\n藉由技能，能瞬間提高魔法攻擊力後施放必殺技，\n對敵方單體的威力卓越。","810","3","0","0","0","103601","0","2.07","鏡華","7","0","103601","鏡華","0","103601","2015/04/01 15:00:00","7","2"
"2","2030/12/31 15:00:00","450","0","103701","【物理】在前線施展快速斬擊屠殺敵人的劍術少女。\n必殺技則是使自己的攻擊力和行動速度上升，\n將其他攻擊技能的殲滅能力提高到極限來輾壓敵人。","220","3","0","0","0","103701","0","1.965","智","4","0","103701","智","0","103701","2019/01/09 16:00:00","4","1"
"5","2030/12/31 15:00:00","450","0","103801","【物理】從最後方連續施展高火力技能的狙擊手。\n擁有造成傷害後接著恢復ＴＰ的技能，\n可以快速發動強力的必殺技。","710","2","0","0","0","103801","0","1.97","栞","8","0","103801","栞","0","103801","2015/04/01 15:00:00","8","1"
"9","2030/12/31 15:00:00","450","0","104001","【物理】從最後方射出異常狀態之箭，孤獨的射手。\n透過和傷害共同施加的毒或麻痺等追加效果，\n就算是防御力高的敵人也能確實地削減其ＨＰ。","785","1","0","0","0","104001","0","1.97","碧","8","0","104001","碧","0","104001","2015/04/01 15:00:00","8","1"
