503015272ac5422429425508e404bf8eb9521ffadf3cba8e90a2ed77543c553b,f176b13ce51638524577d76234f75876943ffe782b0a73023990aa344b48576c,e9519ba874b47cba7177d6cf2c8bbf991ce82a96799789a4c155a19b99023970
"2","118401","180701"
"3","118301","180701"
"4","118401","180701"
"5","118401","180701"
"6","118301","180701"
"7","118401","180701"
"8","118301","180701"
"9","170101","105701"
"10","170101","105701"
"11","170101","105701"
"12","170101","105701"
"2","120401","180801"
"3","120501","180801"
"4","120601","180801"
"5","120501","180801"
"6","120601","180801"
"7","120501","180801"
"8","120401","180801"
"2","121701","180901"
"3","121801","180901"
"4","121701","180901"
"5","121801","180901"
"6","121701","180901"
"7","121801","180901"
"8","121801","180901"
"2","124401","181001"
"3","124301","181001"
"4","124401","181001"
"5","124401","181001"
"6","124301","181001"
"7","124401","181001"
"8","124301","181001"
"2","128201","181101"
"3","128101","181101"
"4","128201","181101"
"5","128201","181101"
"6","128101","181101"
"7","128201","181101"
"8","128101","181101"
