f813d980a0a4bcde99a525dd39b950a5af6d0ad6892a6d3a6d1de836508739c1,109ad53b9040780b6f0b88393979e0cf246eda90421a721a3539306911658844,245c48357e024ff8522b1605d91bbb5b700db9de5a4f6027a78eab1a94f3b37c,70b0022db8a9a58a56797c60bf0f94b39b8ed22a508e71f67185eac640df9077,be09742f8b62f5ca0d69468ec4945d5ca4cd9ffa7dce0fd4b95f535ad925cf20
"100100101","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001001","火屬性獎勵特大幅度提升"
"100100102","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001001","深域怪物"
"100100103","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001001","賦予TP上升上限"
"100100104","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001001","提升物理防禦力（不可降低）"
"100100105","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","81001001","提升魔法防禦力（不可降低）"
"100100106","戰鬥開始時，大幅度降低全體角色的HP吸收。","9","81001001","降低HP吸收"
"100100201","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001002","火屬性獎勵特大幅度提升"
"100100202","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001002","深域怪物"
"100100203","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001002","賦予TP上升上限"
"100100204","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001002","提升物理防禦力（不可降低）"
"100100205","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","81001002","提升魔法防禦力（不可降低）"
"100100206","戰鬥開始時，大幅度降低全體角色的HP吸收。","9","81001002","降低HP吸收"
"100100301","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001003","火屬性獎勵特大幅度提升"
"100100302","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001003","深域怪物"
"100100303","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001003","賦予TP上升上限"
"100100304","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001003","提升物理防禦力（不可降低）"
"100100305","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","81001003","提升魔法防禦力（不可降低）"
"100100306","戰鬥開始時，大幅度降低全體角色的HP吸收。","9","81001003","降低HP吸收"
"100100401","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001004","火屬性獎勵特大幅度提升"
"100100402","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001004","深域怪物"
"100100403","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001004","賦予TP上升上限"
"100100404","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001004","提升物理防禦力（不可降低）"
"100100405","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","81001004","提升魔法防禦力（不可降低）"
"100100406","戰鬥開始時，大幅度降低全體角色的HP吸收。","9","81001004","降低HP吸收"
"100100501","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001005","火屬性獎勵特大幅度提升"
"100100502","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001005","深域怪物"
"100100503","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001005","賦予TP上升上限"
"100100504","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001005","提升物理防禦力（不可降低）"
"100100505","戰鬥開始時，中幅度提升所有怪物的魔法防禦力。此效果不會受到魔法防禦力下降的影響。","boss_magic_def_lower_limit","81001005","提升魔法防禦力（不可降低）"
"100100506","戰鬥開始時，大幅度降低全體角色的HP吸收。","9","81001005","降低HP吸收"
"100100601","當編成4名以上火屬性角色時，屬性獎勵數值將會強化，火屬性以外的屬性獎勵將會無效。","12","81001006","火屬性獎勵特大幅度提升"
"100100602","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","11","81001006","深域怪物"
"100100603","戰鬥開始時，將全體角色TP上升的上限值提升至150。","17","81001006","賦予TP上升上限"
"100100604","戰鬥開始時，中幅度提升所有怪物的物理防禦力。此效果不會受到物理防禦力下降的影響。","boss_def_lower_limit","81001006","提升物理防禦力（不可降低）"
